Month,Interest
2018-01,51
2018-02,53
2018-03,35
2018-04,42
2018-05,23
2018-06,0
2018-07,37
2018-08,0
2018-09,26
2018-10,51
2018-11,42
2018-12,32
2019-01,38
2019-02,32
2019-03,37
2019-04,0
2019-05,0
2019-06,0
2019-07,45
2019-08,40
2019-09,44
2019-10,0
2019-11,46
2019-12,0
2020-01,48
2020-02,38
2020-03,0
2020-04,0
2020-05,0
2020-06,40
2020-07,36
2020-08,61
2020-09,56
2020-10,58
2020-11,44
2020-12,33
2021-01,75
2021-02,92
2021-03,54
2021-04,57
2021-05,48
2021-06,73
2021-07,57
2021-08,40
2021-09,62
2021-10,84
2021-11,100
2021-12,69
2022-01,43
2022-02,50
2022-03,47
2022-04,67
2022-05,33
2022-06,47
2022-07,30
2022-08,48
2022-09,46
2022-10,57
2022-11,42
2022-12,49
2023-01,44
2023-02,56
2023-03,61
2023-04,63
2023-05,45
2023-06,55
2023-07,45
2023-08,63
2023-09,62
2023-10,65
2023-11,53
2023-12,60
