Month,Price
May-94,31.5
Jun-94,31.5
Jul-94,31.5
Aug-94,31.5
Sep-94,31.5
Oct-94,31.5
Nov-94,33.5
Dec-94,33.5
Jan-95,33.5
Feb-95,31.5
Mar-95,31.5
Apr-95,31.5
May-95,31.5
Jun-95,31.5
Jul-95,33.5
Aug-95,33.5
Sep-95,33.5
Oct-95,33.5
Nov-95,33.5
Dec-95,33.5
Jan-96,33.5
Feb-96,33.5
Mar-96,33.5
Apr-96,33.5
May-96,33.5
Jun-96,33.5
Jul-96,32.9
Aug-96,32.5
Sep-96,32.5
Oct-96,32.5
Nov-96,32.5
Dec-96,32.5
Jan-97,32.5
Feb-97,32.5
Mar-97,32.5
Apr-97,32.5
May-97,32.5
Jun-97,32.5
Jul-97,32.5
Aug-97,32.5
Sep-97,32.5
Oct-97,32.5
Nov-97,32.5
Dec-97,32.5
Jan-98,32.5
Feb-98,32.5
Mar-98,32.5
Apr-98,32.5
May-98,32.5
Jun-98,32.5
Jul-98,32.5
Aug-98,32.5
Sep-98,32.5
Oct-98,32.5
Nov-98,32.5
Dec-98,32.5
Jan-99,32.5
Feb-99,41.13
Mar-99,44
Apr-99,44
May-99,44
Jun-99,44
Jul-99,44
Aug-99,44
Sep-99,44
Oct-99,44
Nov-99,44
Dec-99,44
Jan-00,44
Feb-00,44
Mar-00,44
Apr-00,44
May-00,44
Jun-00,44
Jul-00,44
Aug-00,44
Sep-00,44
Oct-00,44
Nov-00,44
Dec-00,44
Jan-01,44
Feb-01,44
Mar-01,44
Apr-01,44
May-01,44
Jun-01,44
Jul-01,44
Aug-01,44
Sep-01,44
Oct-01,44
Nov-01,44
Dec-01,44
Jan-02,44
Feb-02,44
Mar-02,44
Apr-02,44
May-02,44
Jun-02,44
Jul-02,44
Aug-02,44
Sep-02,44
Oct-02,44
Nov-02,44
Dec-02,44
Jan-03,44
Feb-03,44
Mar-03,44
Apr-03,44
May-03,44
Jun-03,44
Jul-03,44
Aug-03,44
Sep-03,44
Oct-03,44
Nov-03,44
Dec-03,44
Jan-04,44
Feb-04,44
Mar-04,44
Apr-04,44
May-04,44
Jun-04,44
Jul-04,44
Aug-04,44
Sep-04,44
Oct-04,44
Nov-04,44
Dec-04,44
Jan-05,44
Feb-05,44
Mar-05,44
Apr-05,44
May-05,44
Jun-05,44
Jul-05,44
Aug-05,44
Sep-05,44
Oct-05,44
Nov-05,44
Dec-05,44
Jan-06,44
Feb-06,44
Mar-06,44
Apr-06,44
May-06,44
Jun-06,44
Jul-06,44
Aug-06,44
Sep-06,44
Oct-06,44
Nov-06,44
Dec-06,44
Jan-07,44
Feb-07,44
Mar-07,44
Apr-07,44
May-07,44
Jun-07,44
Jul-07,44
Aug-07,44
Sep-07,57.75
Oct-07,71.5
Nov-07,71.5
Dec-07,71.5
Jan-08,71.5
Feb-08,71.5
Mar-08,71.5
Apr-08,160.38
May-08,190
Jun-08,190
Jul-08,240
Aug-08,290
Sep-08,278
Oct-08,450
Nov-08,450
Dec-08,450
Jan-09,450
Feb-09,450
Mar-09,450
Apr-09,315
May-09,270
Jun-09,198
Jul-09,90
Aug-09,90
Sep-09,90
Oct-09,90
Nov-09,90
Dec-09,90
Jan-10,90
Feb-10,90
Mar-10,90
Apr-10,90
May-10,90
Jun-10,90
Jul-10,98.75
Aug-10,125
Sep-10,125
Oct-10,125
Nov-10,125
Dec-10,125
Jan-11,125
Feb-11,140
Mar-11,145
Apr-11,145
May-11,147
Jun-11,155
Jul-11,161.88
Aug-11,182.5
Sep-11,182.5
Oct-11,188.75
Nov-11,195
Dec-11,195
Jan-12,195
Feb-12,190
Mar-12,160
Apr-12,185
May-12,195
Jun-12,193.13
Jul-12,188.5
Aug-12,182.5
Sep-12,182.5
Oct-12,182.5
Nov-12,182.5
Dec-12,182.5
Jan-13,182.5
Feb-13,182.5
Mar-13,160
Apr-13,111.5
May-13,157.5
Jun-13,125.63
Jul-13,115
Aug-13,115
Sep-13,97.5
Oct-13,84.38
Nov-13,87.5
Dec-13,96.88
Jan-14,97.5
Feb-14,97.5
Mar-14,106.6
Apr-14,111.5
May-14,112.63
Jun-14,111.4
Jul-14,111
Aug-14,111
Sep-14,111.38
Oct-14,116
Nov-14,119.5
Dec-14,119.5
Jan-15,119.5
Feb-15,121.25
Mar-15,123
Apr-15,114.13
May-15,110.5
Jun-15,118.9
Jul-15,121
Aug-15,121
Sep-15,124
Oct-15,123.5
Nov-15,123.5
Dec-15,123.5
Jan-16,122.6
Feb-16,114.5
Mar-16,114.5
Apr-16,114.13
May-16,110.5
Jun-16,110.5
Jul-16,110.5
Aug-16,109.75
Sep-16,109
Oct-16,109
Nov-16,103
Dec-16,97.5
Jan-17,96.88
Feb-17,95
Mar-17,97.5
Apr-17,95.63
May-17,92.5
Jun-17,92.5
Jul-17,92.5
Aug-17,88.75
Sep-17,85
Oct-17,80
Nov-17,80
Dec-17,80
Jan-18,80
Feb-18,82.5
Mar-18,84.7
Apr-18,88
May-18,88
Jun-18,86.8
Jul-18,86.88
Aug-18,87.5
Sep-18,87.5
Oct-18,91.25
Nov-18,92.5
Dec-18,99.17
Jan-19,102.5
Feb-19,102.5
Mar-19,98.5
Apr-19,97.5
May-19,97.5
Jun-19,97.5
Jul-19,80
Aug-19,78
Sep-19,77.5
Oct-19,77.5
Nov-19,74
Dec-19,72.5
Jan-20,72.5
Feb-20,72.5
Mar-20,71.88
Apr-20,70.75
May-20,72.9
Jun-20,75
Jul-20,75
Aug-20,76.88
Sep-20,79.38
Oct-20,80
Nov-20,82.5
Dec-20,83.33
Jan-21,85
Feb-21,88.13
Mar-21,96.25
Apr-21,95
May-21,102.5
Jun-21,125
Jul-21,125
Aug-21,136.88
Sep-21,147.5
Oct-21,147.5
Nov-21,153.13
Dec-21,176.67
Jan-22,173.13
Feb-22,172.5
Mar-22,178.75
Apr-22,249.5
May-22,255
Jun-22,287.5
Jul-22,320
Aug-22,320
Sep-22,320
Oct-22,317.5
Nov-22,300
Dec-22,300
Jan-23,300
Feb-23,322.5
Mar-23,345
Apr-23,345
May-23,345
Jun-23,344.5
Jul-23,342.5
Aug-23,346.25
Sep-23,347.5
Oct-23,347.5
Nov-23,347.5
Dec-23,152.5
Jan-24,152.5
Feb-24,152.5
Mar-24,152.5
Apr-24,152.5
