"Date","Price","Open","High","Low","Vol.","Change %"
"04/11/2024","10.36","10.37","10.38","10.17","14.53K","1.27%"
"04/10/2024","10.23","10.24","10.31","10.00","14.71K","-1.63%"
"04/09/2024","10.40","10.34","10.43","10.28","17.18K","1.96%"
"04/08/2024","10.20","9.95","10.23","9.95","9.65K","4.29%"
"04/05/2024","9.78","9.81","9.86","9.77","6.66K","-1.41%"
"04/04/2024","9.92","10.19","10.19","9.84","15.10K","-1.68%"
"04/03/2024","10.09","9.90","10.10","9.88","17.58K","2.13%"
"04/02/2024","9.88","9.81","9.90","9.78","5.58K","-0.60%"
"04/01/2024","9.94","9.99","10.00","9.90","8.86K","-0.50%"
"03/28/2024","9.99","9.91","10.02","9.80","17.41K","0.10%"
"03/27/2024","9.98","9.51","9.98","9.48","9.55K","6.17%"
"03/26/2024","9.40","9.65","9.65","9.40","4.16K","-3.04%"
"03/25/2024","9.69","9.78","9.81","9.67","17.29K","-0.94%"
"03/22/2024","9.79","10.00","10.00","9.77","7.13K","-2.63%"
"03/21/2024","10.05","10.15","10.34","10.05","13.11K","-0.79%"
"03/20/2024","10.13","9.93","10.23","9.88","10.53K","1.00%"
"03/19/2024","10.03","10.00","10.03","9.90","9.52K","-0.10%"
"03/18/2024","10.04","10.16","10.16","10.04","7.56K","-0.89%"
"03/15/2024","10.13","10.05","10.13","10.01","18.49K","-0.64%"
"03/14/2024","10.19","10.48","10.48","10.15","10.54K","-2.53%"
"03/13/2024","10.46","10.40","10.53","10.40","11.14K","0.87%"
"03/12/2024","10.37","10.41","10.48","10.31","4.32K","0.88%"
"03/11/2024","10.28","10.08","10.29","10.08","15.86K","2.21%"
"03/08/2024","10.06","10.30","10.35","10.03","6.91K","-1.64%"
"03/07/2024","10.23","10.24","10.35","10.18","12.14K","1.47%"
"03/06/2024","10.08","9.91","10.13","9.82","14.40K","4.20%"
"03/05/2024","9.67","10.08","10.09","9.62","17.77K","-7.29%"
"03/04/2024","10.43","10.75","10.75","10.43","18.24K","-4.75%"
"03/01/2024","10.95","10.71","10.95","10.40","8.77K","4.09%"
"02/29/2024","10.52","10.30","10.57","10.30","24.13K","3.54%"
"02/28/2024","10.16","9.97","10.18","9.97","25.33K","3.88%"
"02/27/2024","9.78","9.59","9.82","9.59","10.21K","2.41%"
"02/26/2024","9.55","9.49","9.61","9.48","4.36K","3.06%"
"02/23/2024","9.27","9.30","9.31","9.11","5.31K","-0.78%"
"02/22/2024","9.34","9.37","9.37","9.27","2.49K","0.13%"
"02/21/2024","9.33","9.38","9.40","9.33","9.22K","1.39%"
"02/20/2024","9.20","9.55","9.55","9.17","10.65K","-3.58%"
"02/16/2024","9.54","9.41","9.68","9.41","20.72K","4.62%"
"02/15/2024","9.12","8.99","9.33","8.99","5.62K","0.88%"
"02/14/2024","9.04","8.92","9.05","8.89","9.67K","4.03%"
"02/13/2024","8.69","9.00","9.01","8.67","25.23K","-5.85%"
"02/12/2024","9.23","9.03","9.32","9.03","13.41K","1.26%"
"02/09/2024","9.11","9.00","9.15","8.99","9.96K","1.05%"
"02/08/2024","9.02","8.87","9.03","8.87","9.56K","1.58%"
"02/07/2024","8.88","8.90","8.92","8.85","6.61K","0.91%"
"02/06/2024","8.80","8.59","8.82","8.59","14.75K","2.80%"
"02/05/2024","8.56","8.75","8.75","8.54","14.14K","-4.78%"
"02/02/2024","8.99","9.18","9.18","8.94","13.63K","-2.71%"
"02/01/2024","9.24","9.29","9.35","9.17","13.69K","-0.43%"
"01/31/2024","9.28","9.59","9.65","9.28","26.18K","-4.19%"
"01/30/2024","9.69","9.78","9.90","9.67","10.34K","-1.47%"
"01/29/2024","9.83","9.75","9.87","9.66","17.51K","1.55%"
"01/26/2024","9.68","9.70","9.72","9.66","5.71K","-0.20%"
"01/25/2024","9.70","9.75","9.77","9.65","2.91K","-1.22%"
"01/24/2024","9.82","9.93","9.97","9.72","14.94K","2.19%"
"01/23/2024","9.61","9.69","9.71","9.58","15.15K","1.37%"
"01/22/2024","9.48","9.52","9.68","9.28","27.05K","-3.54%"
"01/19/2024","9.83","10.00","10.00","9.72","11.47K","-1.95%"
"01/18/2024","10.02","10.13","10.13","10.00","11.18K","-1.06%"
"01/17/2024","10.13","10.32","10.32","10.13","12.28K","-3.06%"
"01/16/2024","10.45","10.67","10.76","10.42","10.65K","-4.44%"
"01/12/2024","10.94","11.10","11.16","10.92","5.08K","-1.05%"
"01/11/2024","11.05","11.20","11.20","10.98","10.38K","-0.38%"
"01/10/2024","11.10","11.50","11.50","11.07","12.43K","-3.69%"
"01/09/2024","11.52","11.66","11.66","11.52","9.17K","-2.54%"
"01/08/2024","11.82","11.76","11.90","11.73","11.28K","-0.42%"
"01/05/2024","11.87","11.87","12.00","11.85","1.65K","-1.74%"
"01/04/2024","12.08","12.00","12.08","11.91","5.36K","0.50%"
"01/03/2024","12.02","12.37","12.37","12.02","8.47K","-4.35%"
"01/02/2024","12.57","12.60","12.77","12.57","7.63K","-0.28%"
"12/29/2023","12.60","12.79","12.79","12.55","6.51K","-2.43%"
"12/28/2023","12.92","12.84","12.94","12.84","5.06K","2.04%"
"12/27/2023","12.66","12.73","12.87","12.59","6.21K","0.41%"
"12/26/2023","12.61","12.48","12.61","12.48","1.59K","1.74%"
