Date,Log_Return,Zero_Count_22,Zero_Count_5,Zero_Fraction_5,Zero_Fraction_22
2017-06-14,0.0,21.0,5.0,1.0,0.9545454545454546
2017-06-21,0.0,22.0,5.0,1.0,1.0
2017-06-28,0.0,22.0,5.0,1.0,1.0
2017-07-05,0.016000341346440905,21.0,4.0,0.8,0.9545454545454546
2017-07-12,0.0,21.0,5.0,1.0,0.9545454545454546
2017-07-19,0.0,21.0,5.0,1.0,0.9545454545454546
2017-07-26,0.0,21.0,5.0,1.0,0.9545454545454546
2017-08-02,0.0,22.0,5.0,1.0,1.0
2017-08-16,0.01574835696813892,21.0,4.0,0.8,0.9545454545454546
2017-08-23,0.007782140442055052,20.0,4.0,0.8,0.9090909090909091
2017-08-30,0.0,20.0,5.0,1.0,0.9090909090909091
2017-09-06,0.11000089521432876,18.0,3.0,0.6,0.8181818181818182
2017-09-13,0.013793322132334751,17.0,4.0,0.8,0.7727272727272727
2017-09-20,0.0,18.0,5.0,1.0,0.8181818181818182
2017-09-27,0.0,19.0,5.0,1.0,0.8636363636363636
2017-10-11,0.020339684237123734,18.0,4.0,0.8,0.8181818181818182
2017-10-18,0.01993421490081637,19.0,4.0,0.8,0.8636363636363636
2017-10-25,0.0,20.0,5.0,1.0,0.9090909090909091
2017-11-01,0.0,20.0,5.0,1.0,0.9090909090909091
2017-11-08,0.01954459607297032,19.0,4.0,0.8,0.8636363636363636
2017-11-15,0.0,21.0,5.0,1.0,0.9545454545454546
2017-11-22,0.0,21.0,5.0,1.0,0.9545454545454546
2017-11-29,0.0,21.0,5.0,1.0,0.9545454545454546
2017-12-06,0.0,22.0,5.0,1.0,1.0
2017-12-13,0.0,22.0,5.0,1.0,1.0
2017-12-20,-0.01954459607297032,21.0,4.0,0.8,0.9545454545454546
2017-12-27,-0.013245226750020933,20.0,4.0,0.8,0.9090909090909091
2018-01-03,0.0,20.0,5.0,1.0,0.9090909090909091
2018-01-10,-0.010050335853501124,19.0,4.0,0.8,0.8636363636363636
2018-01-17,-0.013559529785633018,19.0,4.0,0.8,0.8636363636363636
2018-01-24,-0.013745920904634445,19.0,4.0,0.8,0.8636363636363636
2018-01-31,0.0,19.0,5.0,1.0,0.8636363636363636
2018-02-07,0.0,19.0,5.0,1.0,0.8636363636363636
2018-02-28,0.0,21.0,5.0,1.0,0.9545454545454546
2018-03-07,0.0,22.0,5.0,1.0,1.0
2018-03-14,0.0,22.0,5.0,1.0,1.0
2018-03-21,0.0,22.0,5.0,1.0,1.0
2018-03-28,0.0,22.0,5.0,1.0,1.0
2018-04-04,-0.028072018778686925,20.0,3.0,0.6,0.9090909090909091
2018-04-11,-0.014337163146405985,18.0,1.0,0.2,0.8181818181818182
2018-04-18,-0.02930612658549947,16.0,3.0,0.6,0.7272727272727273
2018-04-25,-0.007462721201589417,15.0,4.0,0.8,0.6818181818181818
2018-05-02,-0.007518832414028509,14.0,3.0,0.6,0.6363636363636364
2018-05-09,-0.00757579380845641,14.0,4.0,0.8,0.6363636363636364
2018-05-16,0.0,17.0,5.0,1.0,0.7727272727272727
2018-05-23,0.0,19.0,5.0,1.0,0.8636363636363636
2018-05-30,-0.06276569554978728,17.0,2.0,0.4,0.7727272727272727
2018-06-06,-0.0669706261061851,16.0,2.0,0.4,0.7272727272727273
2018-06-13,-0.01746769304038942,15.0,4.0,0.8,0.6818181818181818
2018-06-20,-0.08261576551659289,12.0,2.0,0.4,0.5454545454545454
2018-06-27,-0.019324272826402478,11.0,4.0,0.8,0.5
2018-07-04,-0.02970515441391619,14.0,4.0,0.8,0.6363636363636364
2018-07-11,-0.041031396677862375,15.0,3.0,0.6,0.6818181818181818
2018-07-18,0.0,16.0,5.0,1.0,0.7272727272727273
2018-07-25,-0.04278727520520853,16.0,3.0,0.6,0.7272727272727273
2018-08-01,-0.044700178917906896,15.0,3.0,0.6,0.6818181818181818
