"Date","Price","Open","High","Low","Vol.","Change %"
"04/11/2024","45.78","45.92","45.92","45.00","701.51K","1.06%"
"04/10/2024","45.30","45.40","45.73","44.94","473.68K","-2.87%"
"04/09/2024","46.64","46.32","46.83","46.19","468.88K","1.99%"
"04/08/2024","45.73","44.97","45.90","44.97","297.65K","1.69%"
"04/05/2024","44.97","44.92","45.24","44.69","316.10K","-0.64%"
"04/04/2024","45.26","46.17","46.42","45.18","524.57K","-1.20%"
"04/03/2024","45.81","45.14","45.89","45.14","422.77K","0.99%"
"04/02/2024","45.36","45.11","45.63","45.11","575.52K","-0.48%"
"04/01/2024","45.58","45.47","45.92","45.33","334.48K","0.64%"
"03/28/2024","45.29","45.20","45.50","45.00","209.79K","-0.24%"
"03/27/2024","45.40","44.35","45.46","44.29","265.28K","1.57%"
"03/26/2024","44.70","44.86","45.35","44.69","467.59K","-0.09%"
"03/25/2024","44.74","44.76","45.35","44.70","563.44K","-1.06%"
"03/22/2024","45.22","45.24","45.78","45.10","282.19K","-1.85%"
"03/21/2024","46.07","46.13","46.60","46.04","200.19K","-1.24%"
"03/20/2024","46.65","45.56","46.86","45.51","286.92K","2.10%"
"03/19/2024","45.69","45.67","45.90","45.46","195.04K","-0.91%"
"03/18/2024","46.11","46.09","46.41","45.81","330.45K","1.70%"
"03/15/2024","45.34","44.94","45.44","44.76","321.04K","0.00%"
"03/14/2024","45.34","46.14","46.28","45.15","333.10K","-2.43%"
"03/13/2024","46.47","46.32","46.79","46.14","312.60K","-0.06%"
"03/12/2024","46.50","46.73","46.74","46.22","289.03K","0.85%"
"03/11/2024","46.11","45.30","46.33","45.30","512.38K","4.37%"
"03/08/2024","44.18","44.60","45.22","44.14","464.22K","-1.30%"
"03/07/2024","44.76","44.61","45.00","44.55","354.63K","0.27%"
"03/06/2024","44.64","44.19","44.95","43.80","488.68K","2.93%"
"03/05/2024","43.37","44.40","44.69","43.25","748.11K","-5.24%"
"03/04/2024","45.77","46.38","46.65","45.67","510.20K","-2.95%"
"03/01/2024","47.16","46.60","47.39","46.60","931.56K","2.39%"
"02/29/2024","46.06","45.55","46.35","45.49","792.29K","3.58%"
"02/28/2024","44.47","44.17","44.73","44.01","522.95K","0.50%"
"02/27/2024","44.25","44.00","44.42","43.76","505.64K","1.63%"
"02/26/2024","43.54","43.11","43.93","43.11","397.04K","1.19%"
"02/23/2024","43.03","42.85","43.24","42.53","668.07K","0.63%"
"02/22/2024","42.76","42.78","43.04","42.57","569.76K","0.07%"
"02/21/2024","42.73","42.50","42.95","42.35","261.29K","1.45%"
"02/20/2024","42.12","42.89","43.00","41.93","515.72K","-3.26%"
"02/16/2024","43.54","42.85","43.86","42.81","641.38K","2.71%"
"02/15/2024","42.39","41.50","42.85","41.50","355.07K","1.51%"
"02/14/2024","41.76","41.31","41.82","41.21","339.00K","1.85%"
"02/13/2024","41.00","41.56","41.60","40.74","415.05K","-3.57%"
"02/12/2024","42.52","41.68","42.88","41.59","360.40K","1.63%"
"02/09/2024","41.84","41.60","41.84","41.40","354.23K","0.36%"
"02/08/2024","41.69","41.39","41.76","41.19","456.01K","1.16%"
"02/07/2024","41.21","41.14","41.55","41.04","658.40K","0.32%"
"02/06/2024","41.08","40.28","41.08","40.21","540.91K","4.13%"
"02/05/2024","39.45","39.75","39.95","39.26","715.44K","-2.66%"
"02/02/2024","40.53","40.66","40.83","40.25","670.28K","-3.20%"
"02/01/2024","41.87","41.66","42.20","41.33","475.37K","1.01%"
"01/31/2024","41.45","41.96","42.57","41.37","1.22M","-2.15%"
"01/30/2024","42.36","42.49","42.63","42.21","898.08K","-2.24%"
"01/29/2024","43.33","42.60","43.35","42.34","420.67K","-0.25%"
"01/26/2024","43.44","43.30","43.77","43.26","540.23K","0.18%"
"01/25/2024","43.36","44.13","44.19","43.13","1.06M","-1.88%"
"01/24/2024","44.19","44.90","45.01","44.12","999.93K","0.25%"
"01/23/2024","44.08","43.98","44.57","43.79","692.04K","0.36%"
"01/22/2024","43.92","43.10","44.16","43.03","839.28K","-1.61%"
"01/19/2024","44.64","44.70","44.70","43.99","1.14M","-0.93%"
"01/18/2024","45.06","45.24","45.42","44.70","426.56K","0.78%"
"01/17/2024","44.71","45.00","45.11","44.50","544.21K","-2.74%"
"01/16/2024","45.97","46.25","46.59","45.86","810.88K","-1.79%"
"01/12/2024","46.81","47.37","47.76","46.78","309.76K","-1.56%"
"01/11/2024","47.55","47.92","48.09","47.16","284.66K","0.93%"
"01/10/2024","47.11","47.08","47.25","46.76","639.36K","-0.74%"
"01/09/2024","47.46","47.71","47.73","47.33","452.58K","-2.20%"
"01/08/2024","48.53","48.00","48.57","47.58","532.34K","0.23%"
"01/05/2024","48.42","48.46","48.88","48.03","542.93K","-0.12%"
"01/04/2024","48.48","49.11","49.13","48.38","1.03M","-1.56%"
