Date,Log_Return,Zero_Count_22,Zero_Count_5,Zero_Fraction_5,Zero_Fraction_22
2017-06-15,0.0,21.0,5.0,1.0,0.9545454545454546
2017-06-22,0.0,22.0,5.0,1.0,1.0
2017-06-29,0.016000341346440905,21.0,4.0,0.8,0.9545454545454546
2017-07-06,0.0,21.0,5.0,1.0,0.9545454545454546
2017-07-13,0.0,21.0,5.0,1.0,0.9545454545454546
2017-07-20,0.0,21.0,5.0,1.0,0.9545454545454546
2017-07-27,0.0,21.0,5.0,1.0,0.9545454545454546
2017-08-03,0.0,22.0,5.0,1.0,1.0
2017-08-10,0.0,22.0,5.0,1.0,1.0
2017-08-17,0.01574835696813892,21.0,4.0,0.8,0.9545454545454546
2017-08-24,0.007782140442055052,20.0,4.0,0.8,0.9090909090909091
2017-08-31,0.0,20.0,5.0,1.0,0.9090909090909091
2017-09-07,0.11000089521432876,18.0,3.0,0.6,0.8181818181818182
2017-09-14,0.013793322132334751,18.0,4.0,0.8,0.8181818181818182
2017-09-21,0.0,19.0,5.0,1.0,0.8636363636363636
2017-09-28,0.0,19.0,5.0,1.0,0.8636363636363636
2017-10-12,0.040273899137940106,17.0,3.0,0.6,0.7727272727272727
2017-10-19,0.0,20.0,5.0,1.0,0.9090909090909091
2017-10-26,0.0,20.0,5.0,1.0,0.9090909090909091
2017-11-02,0.01954459607297032,19.0,4.0,0.8,0.8636363636363636
2017-11-09,0.0,19.0,5.0,1.0,0.8636363636363636
2017-11-16,0.0,21.0,5.0,1.0,0.9545454545454546
2017-11-23,0.0,21.0,5.0,1.0,0.9545454545454546
2017-11-30,0.0,21.0,5.0,1.0,0.9545454545454546
2017-12-07,0.0,22.0,5.0,1.0,1.0
2017-12-14,0.0,22.0,5.0,1.0,1.0
2017-12-21,-0.032789822822991255,20.0,3.0,0.6,0.9090909090909091
2017-12-28,0.0,20.0,5.0,1.0,0.9090909090909091
2018-01-04,0.0,20.0,5.0,1.0,0.9090909090909091
2018-01-11,-0.010050335853501124,19.0,4.0,0.8,0.8636363636363636
2018-01-18,-0.013559529785633018,19.0,4.0,0.8,0.8636363636363636
2018-01-25,-0.013745920904634445,19.0,4.0,0.8,0.8636363636363636
2018-02-01,0.0,19.0,5.0,1.0,0.8636363636363636
2018-02-08,0.0,20.0,5.0,1.0,0.9090909090909091
2018-02-22,0.0,20.0,5.0,1.0,0.9090909090909091
2018-03-01,0.0,21.0,5.0,1.0,0.9545454545454546
2018-03-08,0.0,22.0,5.0,1.0,1.0
