,Model Name,Adj R^2,AIC,BIC,Rho_1,Rho_2,Ljung-Box Test Statistic,Ljung-Box P-value
0,Model with Only Constant,3.3306690738754696e-16,-1119.750613118897,-1115.9454781499805,0.6901856806523485,0.5499285557504089,322.735302435179,1.1929501201673566e-69
1,Model with Weekly Zero,0.0004368016252594975,-1114.5225316713363,-1106.9182949205822,0.6866726736508274,0.5443736775616459,316.5934385593608,2.5477960643187162e-68
2,Model with Monthly Zero,0.0038472895343881763,-1115.6538275555095,-1108.0495908047553,0.6880407000350561,0.5475280649274151,319.63337470919527,5.599033872173402e-69
3,AR(1),0.4748224489524412,-1327.54816838933,-1319.9439316385758,-0.09646255565409773,0.07713618543293972,5.192412746328644,0.1582378980095613
4,AR(2),0.4835561612904895,-1327.0716217640604,-1315.6743438006788,-0.0010928707204485918,-0.010150063874339348,0.14188400659053077,0.9863758870967192
5,AR(1) with Weekly Zero Interaction,0.4752940524181547,-1325.8638350962042,-1310.655361594696,-0.10196049924721672,0.06908142068319112,5.132818557273332,0.16232589315664808
6,AR(1) with Monthly Zero Interaction,0.47373272031542635,-1324.880363219294,-1309.6718897177857,-0.10622987687680226,0.07417725211380555,5.692722017173288,0.12755548532932812
7,AR(2) with Weekly Zero Interaction,0.48444840983854753,-1324.6837446898273,-1301.889188763064,-0.012274501768083616,-0.0012947042746150601,0.22864941205736708,0.9728369303156228
8,AR(2) with Monthly Zero Interaction,0.4834123944965004,-1324.0212658708258,-1301.2267099440626,-0.010727682128786092,-0.027283820424752706,0.47393767643844487,0.9245787273403366
9,AR(2) with Separate Weekly and Monthly Zero Interactions,0.48211485340423454,-1322.213519760148,-1295.6198711789243,-0.011206934511727055,-0.024723289355335673,0.4017086456565259,0.9398893028756881
