ticker,intercept,intercept_pvalue,coefficient,coefficient_pvalue,hac_standard_error
002176.SZ,-0.001840837476559046,0.7996879396295533,0.03946427748269109,0.6520785486903773,0.0875279060350388
002460.SZ,-0.0020302657531064646,0.7786611403073253,0.07202066255740783,0.3997596148571597,0.08553008583997843
002466.SZ,-0.002366545663299172,0.740115402473069,0.15770349311979992,0.047885276862153534,0.07971324256898002
002497.SZ,-0.0020220196961710955,0.7780353029963352,0.16953340140968023,0.029479368270555566,0.0778742075264508
AKE.AX,-0.0022675202116620077,0.7428694529265263,0.13521188095537162,0.17621700551486508,0.09997218274130809
ALB,-0.0024060035920692897,0.7313175519119257,0.23534930882305113,0.03732083204090455,0.11302715052034457
ALL.L,-0.0018266565629715082,0.7973913403132978,0.10674980318649496,0.07938747900737923,0.06085206332196938
AMLI,-0.0018511001925872804,0.7982893238018427,0.017727012518849207,0.6799499728398397,0.04297130508980667
CRE.V,-0.0017836631396421741,0.8043761884047909,0.044155208927191464,0.5269041032309232,0.06978423894183106
ERA.PA,-0.0014660741891264976,0.8395712937799706,0.053467960083016665,0.5396094399106941,0.08716602141499719
INF.AX,-0.0017376130155348636,0.8101239002075831,-0.00717336937541581,0.8520257967831272,0.03845603749441402
LAC,,,,,
LEL.AX,0.005452265397117007,0.7164770815353183,0.12902057506556727,0.28895890670915003,0.12167066225251015
LIS.V,-0.001686320086771543,0.8195571295474073,0.006303124912239617,0.9045238105106601,0.052548519024307884
LITH.V,-0.001626882530258473,0.8203340600204752,0.09555297730712116,0.09823341703723826,0.05778904808943119
LPI.AX,-0.001696842566328822,0.8141691870695295,0.03165390884931875,0.599671662895163,0.060307778667213464
LTH.V,0.004499503821347629,0.7495576684052598,-0.0026254760434394845,0.9697280684730166,0.06918369562028735
LTHM,-0.00030323322095923266,0.9677497259448603,0.14739224453542352,0.016210121227404384,0.061307424962897344
MIN.AX,-0.0024691918489824355,0.7291601863976065,0.15629080684874122,0.13184730778650758,0.10371973171757917
PLS.AX,-0.002512874779069557,0.7156481252773323,0.11793967531660222,0.11966733939407186,0.07578835791303187
SGML.V,-0.002432167117348233,0.7217333289550287,0.05465859102087248,0.6068211660642233,0.10621231787473381
SLI.V,-0.001896938170972412,0.793101843431952,0.022386269290903774,0.7140657788837723,0.06109770860427951
SQM,-0.0020688825230446616,0.7693530658162033,0.19526791097950746,0.04640661078660465,0.09804200279560397
SYA.AX,-0.0026474469042453595,0.7070302800520267,0.11578972520861584,0.0031987009463357243,0.03927780837512728
WML.V,-0.0013747313938405649,0.8495210913897003,0.07498664700161776,0.22959188763191563,0.06241549253193655
