date,Ganfeng Lithium_Ganfeng Lithium,Ganfeng Lithium_isPartial,Tianqi Lithium_Tianqi Lithium,Tianqi Lithium_isPartial,Albemarle_Albemarle,Albemarle_isPartial,Lithium Americas_Lithium Americas,Lithium Americas_isPartial,Livent_Livent,Livent_isPartial,Standard Lithium_Standard Lithium,Standard Lithium_isPartial,SQM_SQM,SQM_isPartial
2018-01-01,4,False,43,False,100,False,19,False,5,False,10,False,54,False
2018-02-01,8,False,40,False,93,False,15,False,2,False,9,False,55,False
2018-03-01,7,False,54,False,96,False,13,False,2,False,7,False,55,False
2018-04-01,3,False,27,False,85,False,8,False,2,False,6,False,51,False
2018-05-01,3,False,77,False,91,False,8,False,3,False,7,False,54,False
2018-06-01,6,False,45,False,90,False,9,False,2,False,4,False,52,False
2018-07-01,6,False,55,False,85,False,8,False,3,False,5,False,49,False
2018-08-01,11,False,44,False,88,False,8,False,5,False,5,False,50,False
2018-09-01,17,False,50,False,89,False,7,False,7,False,7,False,50,False
2018-10-01,18,False,49,False,85,False,7,False,30,False,6,False,50,False
2018-11-01,8,False,52,False,80,False,7,False,15,False,6,False,48,False
2018-12-01,7,False,47,False,82,False,5,False,11,False,4,False,42,False
2019-01-01,8,False,35,False,87,False,6,False,11,False,6,False,51,False
2019-02-01,7,False,39,False,87,False,8,False,17,False,6,False,54,False
2019-03-01,6,False,38,False,86,False,9,False,19,False,5,False,52,False
2019-04-01,18,False,36,False,82,False,10,False,19,False,5,False,53,False
2019-05-01,12,False,46,False,91,False,7,False,23,False,5,False,54,False
2019-06-01,7,False,37,False,85,False,6,False,17,False,4,False,53,False
2019-07-01,9,False,50,False,86,False,7,False,14,False,5,False,56,False
2019-08-01,8,False,40,False,87,False,6,False,16,False,4,False,54,False
2019-09-01,10,False,47,False,81,False,5,False,17,False,4,False,56,False
2019-10-01,8,False,24,False,81,False,6,False,14,False,4,False,51,False
2019-11-01,9,False,37,False,81,False,5,False,17,False,6,False,56,False
2019-12-01,15,False,42,False,77,False,5,False,14,False,8,False,48,False
2020-01-01,19,False,46,False,84,False,12,False,17,False,7,False,59,False
2020-02-01,28,False,47,False,85,False,15,False,24,False,6,False,62,False
2020-03-01,16,False,39,False,76,False,9,False,15,False,5,False,48,False
2020-04-01,11,False,38,False,68,False,8,False,15,False,5,False,42,False
2020-05-01,11,False,34,False,76,False,8,False,14,False,6,False,53,False
2020-06-01,13,False,43,False,79,False,14,False,19,False,11,False,62,False
2020-07-01,23,False,32,False,81,False,20,False,19,False,10,False,65,False
2020-08-01,19,False,30,False,77,False,24,False,20,False,7,False,63,False
2020-09-01,21,False,31,False,81,False,36,False,21,False,13,False,64,False
2020-10-01,22,False,32,False,78,False,44,False,53,False,20,False,59,False
2020-11-01,38,False,64,False,69,False,29,False,64,False,23,False,57,False
2020-12-01,44,False,56,False,72,False,33,False,58,False,20,False,53,False
2021-01-01,82,False,53,False,83,False,90,False,90,False,37,False,66,False
2021-02-01,91,False,51,False,85,False,69,False,89,False,29,False,68,False
2021-03-01,78,False,37,False,81,False,44,False,74,False,26,False,70,False
2021-04-01,69,False,33,False,82,False,40,False,64,False,28,False,65,False
2021-05-01,56,False,37,False,76,False,37,False,49,False,21,False,62,False
2021-06-01,56,False,36,False,77,False,31,False,52,False,27,False,64,False
2021-07-01,76,False,43,False,78,False,33,False,57,False,52,False,69,False
2021-08-01,83,False,47,False,90,False,43,False,84,False,91,False,61,False
2021-09-01,72,False,45,False,80,False,46,False,66,False,68,False,58,False
2021-10-01,67,False,37,False,81,False,46,False,67,False,95,False,58,False
2021-11-01,100,False,45,False,80,False,100,False,88,False,100,False,59,False
2021-12-01,66,False,33,False,75,False,67,False,55,False,54,False,54,False
2022-01-01,68,False,55,False,82,False,59,False,44,False,48,False,72,False
2022-02-01,58,False,35,False,80,False,56,False,49,False,64,False,76,False
2022-03-01,60,False,37,False,78,False,68,False,50,False,40,False,82,False
2022-04-01,57,False,34,False,78,False,65,False,44,False,40,False,73,False
2022-05-01,44,False,50,False,80,False,49,False,73,False,35,False,76,False
2022-06-01,59,False,50,False,80,False,37,False,62,False,30,False,76,False
2022-07-01,47,False,100,False,77,False,33,False,56,False,31,False,79,False
2022-08-01,52,False,57,False,82,False,48,False,100,False,32,False,77,False
2022-09-01,40,False,38,False,76,False,39,False,73,False,28,False,82,False
2022-10-01,40,False,42,False,75,False,33,False,63,False,23,False,74,False
2022-11-01,38,False,54,False,70,False,32,False,69,False,24,False,72,False
2022-12-01,34,False,36,False,68,False,27,False,53,False,20,False,66,False
2023-01-01,40,False,54,False,75,False,47,False,58,False,25,False,79,False
2023-02-01,49,False,49,False,79,False,66,False,63,False,27,False,89,False
2023-03-01,44,False,40,False,76,False,44,False,47,False,21,False,86,False
