"Date","Price","Open","High","Low","Vol.","Change %"
"08/01/2024","0.1276","0.1280","0.1287","0.1274","","-0.31%"
"07/01/2024","0.1280","0.1282","0.1284","0.1258","","-0.15%"
"06/01/2024","0.1282","0.1273","0.1292","0.1265","","0.66%"
"05/01/2024","0.1273","0.1295","0.1297","0.1267","","-1.64%"
"04/01/2024","0.1294","0.1284","0.1303","0.1270","","0.90%"
"03/01/2024","0.1283","0.1288","0.1288","0.1267","","-0.33%"
"02/01/2024","0.1287","0.1290","0.1300","0.1278","","-0.18%"
"01/01/2024","0.1289","0.1275","0.1292","0.1270","","1.07%"
"12/01/2023","0.1276","0.1287","0.1302","0.1259","","-0.86%"
"11/01/2023","0.1287","0.1293","0.1299","0.1266","","-0.38%"
"10/01/2023","0.1292","0.1296","0.1311","0.1280","","-0.26%"
"09/01/2023","0.1295","0.1271","0.1305","0.1267","","1.96%"
"08/01/2023","0.1270","0.1273","0.1277","0.1253","","-0.21%"
"07/01/2023","0.1273","0.1264","0.1276","0.1232","","0.77%"
"06/01/2023","0.1263","0.1315","0.1320","0.1259","","-3.94%"
"05/01/2023","0.1315","0.1311","0.1325","0.1304","","0.22%"
"04/01/2023","0.1312","0.1342","0.1348","0.1302","","-2.26%"
"03/01/2023","0.1342","0.1364","0.1378","0.1331","","-1.51%"
"02/01/2023","0.1363","0.1363","0.1380","0.1344","","0.00%"
"01/01/2023","0.1363","0.1355","0.1390","0.1349","","0.66%"
"12/01/2022","0.1354","0.1355","0.1371","0.1338","","0.00%"
"11/01/2022","0.1354","0.1386","0.1418","0.1325","","-2.24%"
"10/01/2022","0.1385","0.1434","0.1447","0.1372","","-3.37%"
"09/01/2022","0.1433","0.1443","0.1466","0.1416","","-0.64%"
