Month,lithium: (Worldwide)
2012-01,13
2012-02,18
2012-03,17
2012-04,19
2012-05,19
2012-06,16
2012-07,18
2012-08,15
2012-09,15
2012-10,14
2012-11,15
2012-12,12
2013-01,18
2013-02,16
2013-03,12
2013-04,13
2013-05,11
2013-06,17
2013-07,10
2013-08,10
2013-09,11
2013-10,13
2013-11,12
2013-12,11
2014-01,11
2014-02,10
2014-03,16
2014-04,10
2014-05,8
2014-06,6
2014-07,16
2014-08,10
2014-09,12
2014-10,12
2014-11,10
2014-12,10
2015-01,8
2015-02,10
2015-03,11
2015-04,11
2015-05,12
2015-06,12
2015-07,12
2015-08,12
2015-09,11
2015-10,15
2015-11,11
2015-12,14
2016-01,13
2016-02,15
2016-03,17
2016-04,24
2016-05,20
2016-06,18
2016-07,19
2016-08,19
2016-09,20
2016-10,21
2016-11,19
2016-12,17
2017-01,20
2017-02,25
2017-03,27
2017-04,22
2017-05,26
2017-06,27
2017-07,26
2017-08,26
2017-09,31
2017-10,34
2017-11,43
2017-12,38
2018-01,42
2018-02,40
2018-03,34
2018-04,33
2018-05,32
2018-06,32
2018-07,33
2018-08,35
2018-09,37
2018-10,39
2018-11,36
2018-12,37
2019-01,34
2019-02,43
2019-03,35
2019-04,37
2019-05,37
2019-06,33
2019-07,35
2019-08,33
2019-09,32
2019-10,37
2019-11,42
2019-12,38
2020-01,47
2020-02,37
2020-03,16
2020-04,17
2020-05,21
2020-06,31
2020-07,34
2020-08,32
2020-09,44
2020-10,44
2020-11,40
2020-12,44
2021-01,91
2021-02,82
2021-03,57
2021-04,59
2021-05,58
2021-06,50
2021-07,49
2021-08,57
2021-09,59
2021-10,76
2021-11,100
2021-12,73
2022-01,71
2022-02,63
2022-03,55
2022-04,60
2022-05,54
2022-06,58
2022-07,50
2022-08,50
2022-09,55
2022-10,57
2022-11,56
2022-12,63
2023-01,68
2023-02,99
2023-03,74
2023-04,59
2023-05,70
2023-06,66
2023-07,71
2023-08,69
2023-09,81
2023-10,69
2023-11,68
2023-12,63
2024-01,84
2024-02,86
2024-03,82
2024-04,68
2024-05,58
2024-06,68
2024-07,65
2024-08,57
