,NCA,LFP,NMC_standard,NMC_low_nickel,NMC_high_nickel,Year
2018-01-01,33.47,13.69,52.06,36.78,32.67,2018
2018-02-01,34.7,13.95,53.98,38.13,33.84,2018
2018-03-01,35.44,13.98,56.35,39.32,34.59,2018
2018-04-01,36.29,14.0,57.71,40.23,35.37,2018
2018-05-01,36.48,13.95,57.71,40.36,35.54,2018
2018-06-01,35.9,14.02,54.84,39.1,34.92,2018
2018-07-01,32.76,13.24,49.51,35.57,31.92,2018
2018-08-01,31.02,12.74,46.15,33.49,30.24,2018
2018-09-01,29.96,12.45,45.16,32.59,29.28,2018
2018-10-01,29.27,12.14,44.05,31.83,28.61,2018
2018-11-01,27.31,11.69,40.99,29.69,26.74,2018
2018-12-01,26.99,11.63,40.76,29.41,26.43,2018
2019-01-01,25.37,11.45,35.53,26.78,24.79,2019
2019-02-01,25.06,11.43,32.89,25.74,24.41,2019
2019-03-01,25.09,11.34,32.57,25.64,24.4,2019
2019-04-01,24.84,11.02,32.72,25.51,24.14,2019
2019-05-01,23.96,10.64,32.1,24.79,23.31,2019
2019-06-01,22.89,10.36,29.75,23.41,22.26,2019
2019-07-01,23.16,9.66,28.85,23.19,22.35,2019
2019-08-01,24.46,9.11,29.7,24.11,23.39,2019
2019-09-01,26.37,8.93,32.03,25.87,25.07,2019
2019-10-01,25.79,8.84,31.55,25.39,24.55,2019
2019-11-01,24.07,8.46,30.37,24.02,22.98,2019
2019-12-01,22.64,8.26,28.88,22.73,21.67,2019
2020-01-01,22.35,8.37,28.46,22.45,21.43,2020
2020-02-01,21.92,8.34,28.7,22.32,21.09,2020
2020-03-01,21.05,8.42,27.74,21.58,20.34,2020
2020-04-01,20.36,8.0,26.34,20.64,19.59,2020
2020-05-01,20.28,7.7,25.99,20.45,19.46,2020
2020-06-01,20.21,7.35,25.44,20.18,19.32,2020
2020-07-01,20.14,6.92,24.81,19.89,19.16,2020
2020-08-01,21.61,6.99,26.83,21.35,20.49,2020
2020-09-01,21.96,7.06,27.24,21.68,20.82,2020
2020-10-01,22.21,7.04,27.32,21.85,21.04,2020
2020-11-01,22.59,7.14,27.3,22.05,21.37,2020
2020-12-01,23.4,7.29,27.71,22.64,22.09,2020
2021-01-01,25.38,7.72,31.0,24.89,24.01,2021
2021-02-01,27.51,8.05,35.29,27.54,26.07,2021
2021-03-01,27.14,8.66,37.06,27.99,25.93,2021
2021-04-01,27.23,9.05,36.56,27.93,26.05,2021
2021-05-01,27.86,9.52,35.97,28.14,26.63,2021
2021-06-01,28.36,9.78,36.51,28.64,27.13,2021
2021-07-01,29.85,9.74,39.39,30.41,28.52,2021
2021-08-01,30.92,10.49,40.78,31.56,29.62,2021
2021-09-01,33.0,12.14,43.91,34.02,31.85,2021
2021-10-01,35.33,13.89,47.97,36.9,34.34,2021
2021-11-01,38.6,16.74,53.25,40.65,37.66,2021
2021-12-01,41.94,19.01,59.77,44.94,41.15,2021
2022-01-01,51.93,26.18,72.47,55.34,51.33,2022
2022-02-01,60.74,32.76,83.86,64.57,60.33,2022
2022-03-01,82.15,44.29,108.66,85.53,81.35,2022
2022-04-01,83.52,45.79,111.2,87.25,82.86,2022
2022-05-01,75.83,42.48,102.92,80.01,75.47,2022
2022-06-01,72.5,41.66,98.4,76.5,72.26,2022
2022-07-01,67.03,41.45,90.1,70.57,67.1,2022
2022-08-01,66.02,40.88,87.1,68.93,66.0,2022
2022-09-01,65.18,39.32,85.81,67.89,65.0,2022
2022-10-01,63.67,38.43,84.18,66.44,63.51,2022
2022-11-01,66.25,38.49,85.52,68.28,65.76,2022
2022-12-01,69.87,39.58,88.36,71.29,69.11,2022
2023-01-01,69.85,40.33,88.36,71.36,69.21,2023
2023-02-01,65.78,39.1,81.61,66.82,65.29,2023
2023-03-01,56.81,33.55,70.82,57.82,56.35,2023
2023-04-01,50.82,27.77,62.19,51.09,49.98,2023
2023-05-01,42.92,21.85,51.95,42.8,41.92,2023
2023-06-01,44.36,23.99,53.9,44.47,43.59,2023
2023-07-01,45.06,24.29,55.51,45.39,44.28,2023
2023-08-01,42.74,22.61,52.65,43.0,41.92,2023
2023-09-01,38.26,19.08,46.9,38.3,37.33,2023
2023-10-01,34.64,16.62,42.72,34.7,33.7,2023
2023-11-01,32.88,15.83,41.06,33.12,32.02,2023
2023-12-01,30.03,13.97,37.03,30.04,29.15,2023
