,nickel,iron,aluminium,cobalt,lithium,manganese,phosphorous,silicon,natural graphite
1990-01-01,7056.0,14.05,1528.0,7630.000114,,,,,
1990-02-01,6977.0,14.05,1454.0,7659.999847,,,,,
1990-03-01,9267.0,14.05,1567.0,8029.998779,,,,,
1990-04-01,8939.0,14.05,1526.0,8229.999542,,,,,
1990-05-01,8698.0,14.05,1527.0,8150.001526,,,,,
1990-06-01,8422.0,14.05,1566.0,8139.99939,,,,,
1990-07-01,9318.0,14.05,1571.0,9110.00061,,,,,
1990-08-01,10957.0,14.05,1782.0,11700.00076,,,,,
1990-09-01,10844.0,14.05,2067.0,12419.99817,,,,,
1990-10-01,9145.0,14.05,1946.0,13529.99878,,,,,
1990-11-01,8587.0,14.05,1618.0,12630.00107,,,,,
1990-12-01,8158.0,14.05,1522.0,13930.00031,,,,,
1991-01-01,8569.0,15.03,1515.0,15689.99863,,,,,
1991-02-01,8672.0,15.03,1505.0,14840.00015,,,,,
1991-03-01,8700.0,15.03,1496.0,14840.00015,,,,,
1991-04-01,9023.0,15.03,1392.0,14840.00015,,,,,
1991-05-01,8499.609375,15.03,1299.949951,14330.00183,,,,,
1991-06-01,8296.5,15.03,1283.550049,13290.00092,,,,,
1991-07-01,8515.201172,15.03,1297.546631,12880.00107,,,,,
1991-08-01,8154.75,15.03,1259.693359,13369.99893,,,,,
1991-09-01,7675.953125,15.03,1212.095215,14960.00004,,,,,
1991-10-01,7453.863281,15.03,1152.95459,17625.0,,,,,
1991-11-01,7258.5,15.03,1134.925049,24380.00107,,,,,
1991-12-01,7140.263672,15.03,1099.526367,30580.00183,,,,,
1992-01-01,7531.136719,14.31,1181.227295,30920.00198,,,,,
1992-02-01,7888.0,14.31,1270.75,28250.0,,,,,
1992-03-01,7430.455078,14.31,1282.022705,28330.00183,,,,,
1992-04-01,7417.951172,14.31,1317.125,27020.00046,,,,,
1992-05-01,7333.947266,14.31,1306.710693,26500.0,,,,,
1992-06-01,7202.363281,14.31,1275.272705,24750.0,,,,,
