Date,Price
04/19/2024,"109,500.00"
04/18/2024,"109,500.00"
04/17/2024,"109,500.00"
04/16/2024,"109,500.00"
04/15/2024,"109,500.00"
4/12/2024,"109,500.00"
4/11/2024,"109,500.00"
4/10/2024,"110,500.00"
4/09/2024,"109,500.00"
4/08/2024,"109,500.00"
4/03/2024,"106,500.00"
4/02/2024,"105,500.00"
4/01/2024,"104,500.00"
03/29/2024,"104,500.00"
03/28/2024,"104,500.00"
03/27/2024,"104,500.00"
03/26/2024,"105,500.00"
03/25/2024,"107,500.00"
03/22/2024,"108,500.00"
03/21/2024,"108,500.00"
03/20/2024,"107,500.00"
03/19/2024,"107,500.00"
03/18/2024,"106,500.00"
03/15/2024,"105,500.00"
03/14/2024,"108,500.00"
03/13/2024,"107,500.00"
3/12/2024,"104,500.00"
3/11/2024,"102,500.00"
3/08/2024,"101,500.00"
3/07/2024,"101,500.00"
3/06/2024,"101,500.00"
3/05/2024,"101,500.00"
3/04/2024,"99,500.00"
3/01/2024,"96,500.00"
02/29/2024,"94,500.00"
02/28/2024,"91,500.00"
02/27/2024,"89,500.00"
02/26/2024,"88,000.00"
02/23/2024,"88,000.00"
02/22/2024,"88,000.00"
02/21/2024,"88,000.00"
02/20/2024,"88,000.00"
02/19/2024,"88,500.00"
2/07/2024,"88,500.00"
2/06/2024,"88,500.00"
2/05/2024,"88,500.00"
2/02/2024,"86,500.00"
2/01/2024,"86,500.00"
01/31/2024,"86,500.00"
01/30/2024,"86,500.00"
01/29/2024,"86,500.00"
01/26/2024,"86,500.00"
01/25/2024,"86,500.00"
01/24/2024,"86,500.00"
01/23/2024,"86,500.00"
01/22/2024,"86,500.00"
01/19/2024,"86,500.00"
01/18/2024,"86,500.00"
01/17/2024,"86,500.00"
01/16/2024,"86,500.00"
01/15/2024,"86,500.00"
1/12/2024,"86,500.00"
1/11/2024,"86,500.00"
1/10/2024,"86,500.00"
1/09/2024,"86,500.00"
1/08/2024,"86,500.00"
1/05/2024,"86,500.00"
1/04/2024,"86,500.00"
1/03/2024,"86,500.00"
1/02/2024,"86,500.00"
12/29/2023,"86,500.00"
12/28/2023,"86,500.00"
12/27/2023,"86,500.00"
12/26/2023,"86,500.00"
12/25/2023,"86,500.00"
12/22/2023,"86,500.00"
12/21/2023,"86,500.00"
12/20/2023,"88,500.00"
12/19/2023,"88,500.00"
12/18/2023,"88,500.00"
12/15/2023,"88,500.00"
12/14/2023,"88,500.00"
12/13/2023,"88,500.00"
12/12/2023,"89,500.00"
12/11/2023,"90,500.00"
12/08/2023,"90,500.00"
12/07/2023,"90,500.00"
12/06/2023,"90,500.00"
12/05/2023,"95,500.00"
12/04/2023,"100,500.00"
12/01/2023,"104,500.00"
11/30/2023,"107,500.00"
11/29/2023,"109,500.00"
11/28/2023,"112,500.00"
11/27/2023,"117,500.00"
11/24/2023,"120,500.00"
11/23/2023,"123,500.00"
11/22/2023,"126,500.00"
11/21/2023,"129,500.00"
11/20/2023,"131,500.00"
11/17/2023,"131,500.00"
11/16/2023,"135,500.00"
11/15/2023,"139,500.00"
11/14/2023,"143,500.00"
11/13/2023,"144,500.00"
11/10/2023,"144,500.00"
11/09/2023,"147,500.00"
11/08/2023,"147,500.00"
11/07/2023,"149,500.00"
11/06/2023,"153,500.00"
11/03/2023,"154,500.00"
11/02/2023,"154,500.00"
11/01/2023,"154,500.00"
10/31/2023,"154,500.00"
10/30/2023,"155,500.00"
10/27/2023,"155,500.00"
10/26/2023,"157,500.00"
10/25/2023,"159,500.00"
10/24/2023,"157,500.00"
10/23/2023,"158,500.00"
10/20/2023,"162,500.00"
10/19/2023,"163,500.00"
10/18/2023,"165,500.00"
10/17/2023,"165,500.00"
10/16/2023,"162,500.00"
10/13/2023,"158,500.00"
10/12/2023,"155,500.00"
10/11/2023,"153,500.00"
10/10/2023,"153,500.00"
10/09/2023,"153,500.00"
09/27/2023,"153,500.00"
09/26/2023,"153,500.00"
09/25/2023,"153,500.00"
09/22/2023,"155,500.00"
09/21/2023,"155,500.00"
09/20/2023,"157,500.00"
09/19/2023,"161,500.00"
09/18/2023,"162,500.00"
09/14/2023,"172,500.00"
09/13/2023,"175,500.00"
9/12/2023,"180,500.00"
9/11/2023,"186,500.00"
9/08/2023,"192,500.00"
9/07/2023,"192,500.00"
9/06/2023,"192,500.00"
9/05/2023,"195,500.00"
9/04/2023,"195,500.00"
9/01/2023,"195,500.00"
08/31/2023,"195,500.00"
08/30/2023,"197,500.00"
08/29/2023,"201,500.00"
08/28/2023,"202,500.00"
08/25/2023,"202,500.00"
08/24/2023,"202,500.00"
08/23/2023,"202,500.00"
08/22/2023,"202,500.00"
08/21/2023,"202,500.00"
08/18/2023,"212,500.00"
08/17/2023,"222,500.00"
08/16/2023,"227,500.00"
08/15/2023,"233,500.00"
08/14/2023,"240,500.00"
8/11/2023,"247,500.00"
8/10/2023,"247,500.00"
8/09/2023,"247,500.00"
8/08/2023,"252,500.00"
8/07/2023,"257,500.00"
8/04/2023,"257,500.00"
8/03/2023,"257,500.00"
8/02/2023,"257,500.00"
8/01/2023,"257,500.00"
07/31/2023,"257,500.00"
07/28/2023,"262,500.00"
07/27/2023,"270,500.00"
07/26/2023,"275,500.00"
07/25/2023,"280,500.00"
07/24/2023,"287,500.00"
07/21/2023,"287,500.00"
07/20/2023,"292,500.00"
07/19/2023,"292,500.00"
07/18/2023,"292,500.00"
07/17/2023,"297,500.00"
07/14/2023,"297,500.00"
07/13/2023,"297,500.00"
7/12/2023,"302,500.00"
7/11/2023,"302,500.00"
7/10/2023,"302,500.00"
7/07/2023,"302,500.00"
7/06/2023,"302,500.00"
7/05/2023,"302,500.00"
7/04/2023,"302,500.00"
7/03/2023,"302,500.00"
06/30/2023,"302,500.00"
06/29/2023,"302,500.00"
06/28/2023,"302,500.00"
06/27/2023,"302,500.00"
06/26/2023,"304,500.00"
06/21/2023,"304,500.00"
06/20/2023,"305,500.00"
06/19/2023,"305,500.00"
06/16/2023,"305,500.00"
06/15/2023,"305,500.00"
06/14/2023,"305,500.00"
06/13/2023,"305,500.00"
6/12/2023,"305,500.00"
6/09/2023,"305,500.00"
6/08/2023,"300,500.00"
6/07/2023,"292,500.00"
6/06/2023,"292,500.00"
6/05/2023,"292,500.00"
6/02/2023,"287,500.00"
6/01/2023,"280,500.00"
05/31/2023,"280,500.00"
05/30/2023,"280,500.00"
05/29/2023,"280,500.00"
05/26/2023,"280,500.00"
05/25/2023,"280,500.00"
05/24/2023,"282,500.00"
05/23/2023,"282,500.00"
05/22/2023,"267,500.00"
05/19/2023,"247,500.00"
05/18/2023,"232,500.00"
05/17/2023,"219,500.00"
05/16/2023,"209,500.00"
05/15/2023,"199,500.00"
5/12/2023,"189,500.00"
5/11/2023,"189,500.00"
5/10/2023,"184,500.00"
5/09/2023,"179,500.00"
5/08/2023,"174,500.00"
5/05/2023,"165,500.00"
5/04/2023,"161,500.00"
04/28/2023,"161,500.00"
04/27/2023,"157,500.00"
04/26/2023,"154,500.00"
04/25/2023,"152,500.00"
04/24/2023,"152,500.00"
04/21/2023,"157,500.00"
04/20/2023,"160,500.00"
04/19/2023,"160,500.00"
04/18/2023,"164,500.00"
04/17/2023,"169,500.00"
04/14/2023,"174,500.00"
04/13/2023,"179,500.00"
4/12/2023,"182,500.00"
4/11/2023,"182,500.00"
4/10/2023,"185,500.00"
4/07/2023,"188,500.00"
4/06/2023,"188,500.00"
4/04/2023,"188,500.00"
4/03/2023,"193,500.00"
03/31/2023,"198,500.00"
03/30/2023,"204,500.00"
03/29/2023,"210,500.00"
03/28/2023,"216,500.00"
03/27/2023,"222,500.00"
03/24/2023,"228,500.00"
03/23/2023,"235,500.00"
03/22/2023,"242,500.00"
03/21/2023,"248,500.00"
03/20/2023,"255,500.00"
03/17/2023,"262,500.00"
03/16/2023,"267,500.00"
03/15/2023,"269,500.00"
03/14/2023,"274,500.00"
03/13/2023,"282,500.00"
3/10/2023,"285,500.00"
3/09/2023,"295,500.00"
3/08/2023,"304,500.00"
3/07/2023,"313,500.00"
3/06/2023,"322,500.00"
3/03/2023,"322,500.00"
3/02/2023,"325,500.00"
3/01/2023,"331,500.00"
02/28/2023,"341,500.00"
02/27/2023,"351,500.00"
02/24/2023,"351,500.00"
02/23/2023,"361,500.00"
02/22/2023,"372,500.00"
02/21/2023,"383,500.00"
02/20/2023,"389,500.00"
02/17/2023,"397,500.00"
02/16/2023,"402,500.00"
02/14/2023,"415,500.00"
02/13/2023,"415,500.00"
2/10/2023,"415,500.00"
2/09/2023,"420,500.00"
2/08/2023,"422,500.00"
2/07/2023,"427,500.00"
2/06/2023,"427,500.00"
2/03/2023,"427,500.00"
2/02/2023,"437,500.00"
2/01/2023,"440,500.00"
01/31/2023,"447,500.00"
01/30/2023,"447,500.00"
01/18/2023,"447,500.00"
01/17/2023,"447,500.00"
01/16/2023,"447,500.00"
01/13/2023,"447,500.00"
1/12/2023,"449,500.00"
1/11/2023,"449,500.00"
1/10/2023,"452,500.00"
1/09/2023,"452,500.00"
1/06/2023,"459,500.00"
1/05/2023,"467,500.00"
1/04/2023,"472,500.00"
1/03/2023,"474,500.00"
12/30/2022,"474,500.00"
12/29/2022,"477,500.00"
12/28/2022,"482,500.00"
12/27/2022,"482,500.00"
12/26/2022,"492,500.00"
12/23/2022,"497,500.00"
12/22/2022,"510,500.00"
12/21/2022,"512,500.00"
12/20/2022,"517,500.00"
12/19/2022,"519,500.00"
12/16/2022,"520,500.00"
12/15/2022,"527,500.00"
12/14/2022,"527,500.00"
12/13/2022,"532,500.00"
12/12/2022,"535,500.00"
12/09/2022,"537,500.00"
12/08/2022,"540,500.00"
12/07/2022,"540,500.00"
12/06/2022,"543,500.00"
12/05/2022,"559,500.00"
12/02/2022,"559,500.00"
12/01/2022,"562,500.00"
11/30/2022,"562,500.00"
11/29/2022,"562,500.00"
11/28/2022,"562,500.00"
11/25/2022,"562,500.00"
11/24/2022,"565,500.00"
11/23/2022,"575,500.00"
11/22/2022,"576,500.00"
11/21/2022,"576,500.00"
11/18/2022,"576,500.00"
11/17/2022,"576,500.00"
11/16/2022,"576,500.00"
11/15/2022,"578,500.00"
11/14/2022,"581,500.00"
11/11/2022,"581,500.00"
11/10/2022,"577,500.00"
11/09/2022,"577,500.00"
11/08/2022,"577,500.00"
11/07/2022,"574,500.00"
11/04/2022,"572,500.00"
11/03/2022,"562,500.00"
11/02/2022,"557,500.00"
11/01/2022,"557,500.00"
10/31/2022,"550,500.00"
10/28/2022,"549,500.00"
10/27/2022,"547,500.00"
10/26/2022,"547,500.00"
10/25/2022,"540,500.00"
10/24/2022,"540,500.00"
10/21/2022,"540,500.00"
10/20/2022,"525,500.00"
10/19/2022,"525,500.00"
10/18/2022,"525,500.00"
10/17/2022,"525,500.00"
10/14/2022,"524,500.00"
10/13/2022,"514,500.00"
10/12/2022,"509,500.00"
10/11/2022,"507,500.00"
10/10/2022,"501,500.00"
09/29/2022,"494,500.00"
09/28/2022,"494,500.00"
09/27/2022,"494,500.00"
09/26/2022,"489,500.00"
09/23/2022,"486,500.00"
09/22/2022,"486,500.00"
09/21/2022,"486,500.00"
09/20/2022,"486,500.00"
09/19/2022,"485,500.00"
09/16/2022,"485,500.00"
09/15/2022,"482,500.00"
09/14/2022,"482,500.00"
09/13/2022,"482,500.00"
9/09/2022,"482,500.00"
9/08/2022,"482,500.00"
9/07/2022,"482,500.00"
9/06/2022,"482,500.00"
9/05/2022,"478,500.00"
9/02/2022,"476,500.00"
9/01/2022,"475,500.00"
08/31/2022,"475,500.00"
08/30/2022,"475,500.00"
08/29/2022,"475,500.00"
08/26/2022,"475,500.00"
08/25/2022,"475,500.00"
08/24/2022,"475,500.00"
08/23/2022,"472,500.00"
08/22/2022,"469,500.00"
08/19/2022,"465,500.00"
08/18/2022,"464,500.00"
08/17/2022,"464,500.00"
08/16/2022,"464,500.00"
08/15/2022,"464,500.00"
8/12/2022,"462,500.00"
8/11/2022,"458,500.00"
8/10/2022,"458,500.00"
8/09/2022,"458,500.00"
8/08/2022,"458,500.00"
8/05/2022,"458,500.00"
8/04/2022,"458,500.00"
8/03/2022,"458,500.00"
8/02/2022,"458,500.00"
8/01/2022,"458,500.00"
07/29/2022,"458,500.00"
07/28/2022,"458,500.00"
07/27/2022,"458,500.00"
