,NCA,LFP,NMC_standard,NMC_low_nickel,NMC_high_nickel
2018-01-01,9.036900000000001,1.24579,5.9869,18.68424,0.5227200000000001
2018-02-01,9.369000000000002,1.26945,6.2077,19.370040000000003,0.54144
2018-03-01,9.5688,1.27218,6.480250000000001,19.97456,0.55344
2018-04-01,9.798300000000001,1.274,6.63665,20.43684,0.56592
2018-05-01,9.8496,1.26945,6.63665,20.50288,0.56864
2018-06-01,9.693,1.27582,6.3066,19.8628,0.55872
2018-07-01,8.8452,1.20484,5.69365,18.06956,0.5107200000000001
2018-08-01,8.3754,1.15934,5.30725,17.01292,0.48384
2018-09-01,8.0892,1.13295,5.1934,16.55572,0.46848
2018-10-01,7.902900000000001,1.10474,5.0657499999999995,16.16964,0.45776
2018-11-01,7.3737,1.06379,4.713850000000001,15.08252,0.42784
2018-12-01,7.2873,1.05833,4.6874,14.94028,0.42288
2019-01-01,7.103600000000001,0.76715,2.34498,14.1934,1.41303
2019-02-01,7.0168,0.76581,2.1707400000000003,13.642199999999999,1.39137
2019-03-01,7.025200000000001,0.75978,2.14962,13.589200000000002,1.3908
2019-04-01,6.9552000000000005,0.73834,2.15952,13.5203,1.37598
2019-05-01,6.708800000000001,0.7128800000000001,2.1186000000000003,13.1387,1.32867
2019-06-01,6.409200000000001,0.69412,1.9635,12.407300000000001,1.26882
2019-07-01,6.484800000000001,0.64722,1.9041000000000001,12.290700000000001,1.2739500000000001
2019-08-01,6.848800000000001,0.61037,1.9602,12.7783,1.3332300000000001
2019-09-01,7.383600000000001,0.59831,2.11398,13.711100000000002,1.42899
2019-10-01,7.2212000000000005,0.59228,2.0823,13.456700000000001,1.39935
2019-11-01,6.739600000000001,0.5668200000000001,2.00442,12.7306,1.30986
2019-12-01,6.339200000000001,0.55342,1.90608,12.0469,1.2351900000000002
2020-01-01,4.492350000000001,0.9709199999999999,1.45146,9.945349999999998,4.050269999999999
2020-02-01,4.405920000000001,0.96744,1.4636999999999998,9.887759999999998,3.9860099999999994
2020-03-01,4.231050000000001,0.9767199999999999,1.4147399999999999,9.559939999999997,3.8442599999999993
2020-04-01,4.09236,0.9279999999999999,1.34334,9.143519999999999,3.7025099999999993
2020-05-01,4.076280000000001,0.8932,1.3254899999999998,9.059349999999998,3.6779399999999995
2020-06-01,4.06221,0.8525999999999999,1.29744,8.939739999999999,3.6514799999999994
2020-07-01,4.04814,0.80272,1.26531,8.811269999999999,3.6212399999999993
2020-08-01,4.34361,0.81084,1.3683299999999998,9.45805,3.872609999999999
2020-09-01,4.41396,0.8189599999999999,1.3892399999999998,9.604239999999999,3.9349799999999995
2020-10-01,4.4642100000000005,0.8166399999999999,1.39332,9.679549999999999,3.976559999999999
2020-11-01,4.54059,0.8282399999999999,1.3922999999999999,9.768149999999999,4.03893
2020-12-01,4.7034,0.84564,1.4132099999999999,10.02952,4.175009999999999
2021-01-01,3.0456,2.0072,1.0230000000000001,7.168320000000001,7.17899
2021-02-01,3.3012,2.0930000000000004,1.16457,7.931520000000001,7.79493
2021-03-01,3.2568,2.2516000000000003,1.2229800000000002,8.06112,7.753069999999999
2021-04-01,3.2676,2.353,1.2064800000000002,8.043840000000001,7.78895
2021-05-01,3.3432,2.4752,1.1870100000000001,8.104320000000001,7.962369999999999
2021-06-01,3.4032,2.5427999999999997,1.20483,8.248320000000001,8.11187
2021-07-01,3.582,2.5324,1.29987,8.758080000000001,8.527479999999999
2021-08-01,3.7104,2.7274000000000003,1.3457400000000002,9.08928,8.85638
2021-09-01,3.96,3.1564,1.44903,9.797760000000002,9.52315
2021-10-01,4.239599999999999,3.6114,1.58301,10.6272,10.267660000000001
2021-11-01,4.632,4.352399999999999,1.75725,11.7072,11.26034
2021-12-01,5.0328,4.9426000000000005,1.9724100000000002,12.942720000000001,12.303849999999999
2022-01-01,4.31019,9.32008,1.4494,10.957320000000001,17.606189999999998
2022-02-01,5.0414200000000005,11.662560000000001,1.6772,12.78486,20.693189999999998
2022-03-01,6.818450000000001,15.767240000000001,2.1732,16.93494,27.903049999999997
2022-04-01,6.93216,16.30124,2.224,17.2755,28.420979999999997
2022-05-01,6.29389,15.12288,2.0584000000000002,15.841980000000001,25.88621
2022-06-01,6.0175,14.830960000000001,1.9680000000000002,15.147,24.78518
2022-07-01,5.563490000000001,14.756200000000003,1.8019999999999998,13.972859999999999,23.015299999999996
2022-08-01,5.47966,14.553280000000003,1.742,13.648140000000001,22.637999999999998
2022-09-01,5.409940000000001,13.997920000000002,1.7162000000000002,13.44222,22.294999999999998
2022-10-01,5.284610000000001,13.681080000000001,1.6836000000000002,13.15512,21.783929999999998
2022-11-01,5.49875,13.702440000000003,1.7104,13.519440000000001,22.55568
2022-12-01,5.79921,14.090480000000001,1.7672,14.115420000000002,23.704729999999998
