"Date","Price","Open","High","Low","Vol.","Change %"
"07/24/2023","1,840,000","1,840,000","1,850,000","1,830,000","","0.00%"
"07/21/2023","1,840,000","1,840,000","1,850,000","1,830,000","","0.00%"
"07/20/2023","1,840,000","1,840,000","1,850,000","1,830,000","","-1.08%"
"07/19/2023","1,860,000","1,860,000","1,870,000","1,850,000","","0.00%"
"07/18/2023","1,860,000","1,860,000","1,870,000","1,850,000","","-2.62%"
"07/17/2023","1,910,000","1,910,000","1,920,000","1,900,000","","0.00%"
"07/14/2023","1,910,000","1,910,000","1,920,000","1,900,000","","0.00%"
"07/13/2023","1,910,000","1,910,000","1,920,000","1,900,000","","0.00%"
"07/12/2023","1,910,000","1,910,000","1,920,000","1,900,000","","0.00%"
"07/11/2023","1,910,000","1,910,000","1,920,000","1,900,000","","-1.55%"
"07/10/2023","1,940,000","1,940,000","1,950,000","1,930,000","","0.00%"
"07/07/2023","1,940,000","1,940,000","1,950,000","1,930,000","","-3.00%"
"07/06/2023","2,000,000","2,000,000","2,010,000","1,990,000","","-2.91%"
"07/05/2023","2,060,000","2,060,000","2,070,000","2,050,000","","-2.37%"
"07/04/2023","2,110,000","2,110,000","2,120,000","2,100,000","","0.00%"
"07/03/2023","2,110,000","2,110,000","2,120,000","2,100,000","","0.00%"
"06/30/2023","2,110,000","2,110,000","2,120,000","2,100,000","","0.00%"
"06/29/2023","2,110,000","2,110,000","2,120,000","2,100,000","","0.00%"
"06/28/2023","2,110,000","2,110,000","2,120,000","2,100,000","","0.00%"
"06/27/2023","2,110,000","2,110,000","2,120,000","2,100,000","","-1.40%"
"06/26/2023","2,140,000","2,140,000","2,150,000","2,130,000","","0.00%"
"06/21/2023","2,140,000","2,140,000","2,150,000","2,130,000","","-2.28%"
"06/20/2023","2,190,000","2,190,000","2,200,000","2,180,000","","0.00%"
"06/19/2023","2,190,000","2,190,000","2,200,000","2,180,000","","0.00%"
"06/16/2023","2,190,000","2,190,000","2,200,000","2,180,000","","-1.79%"
"06/15/2023","2,230,000","2,230,000","2,240,000","2,220,000","","0.00%"
"06/14/2023","2,230,000","2,230,000","2,240,000","2,220,000","","0.00%"
"06/13/2023","2,230,000","2,230,000","2,240,000","2,220,000","","0.00%"
"06/12/2023","2,230,000","2,230,000","2,240,000","2,220,000","","0.00%"
"06/09/2023","2,230,000","2,230,000","2,240,000","2,220,000","","0.00%"
"06/08/2023","2,230,000","2,230,000","2,240,000","2,220,000","","0.00%"
"06/07/2023","2,230,000","2,230,000","2,240,000","2,220,000","","0.00%"
"06/06/2023","2,230,000","2,230,000","2,240,000","2,220,000","","0.00%"
"06/05/2023","2,230,000","2,230,000","2,240,000","2,220,000","","0.00%"
"06/02/2023","2,230,000","2,230,000","2,240,000","2,220,000","","0.00%"
"06/01/2023","2,230,000","2,230,000","2,240,000","2,220,000","","0.00%"
"05/31/2023","2,230,000","2,230,000","2,240,000","2,220,000","","0.00%"
"05/30/2023","2,230,000","2,230,000","2,240,000","2,220,000","","0.00%"
"05/29/2023","2,230,000","2,230,000","2,240,000","2,220,000","","0.00%"
"05/26/2023","2,230,000","2,230,000","2,240,000","2,220,000","","0.00%"
"05/25/2023","2,230,000","2,230,000","2,240,000","2,220,000","","0.00%"
"05/24/2023","2,230,000","2,230,000","2,240,000","2,220,000","","0.00%"
"05/23/2023","2,230,000","2,230,000","2,240,000","2,220,000","","2.76%"
"05/22/2023","2,170,000","2,170,000","2,180,000","2,160,000","","2.84%"
"05/19/2023","2,110,000","2,110,000","2,120,000","2,100,000","","2.93%"
"05/18/2023","2,050,000","2,050,000","2,060,000","2,040,000","","0.49%"
"05/17/2023","2,040,000","2,040,000","2,050,000","2,030,000","","0.00%"
"05/16/2023","2,040,000","2,040,000","2,050,000","2,030,000","","0.49%"
"05/15/2023","2,030,000","2,030,000","2,040,000","2,020,000","","0.00%"
"05/12/2023","2,030,000","2,030,000","2,040,000","2,020,000","","0.00%"
"05/11/2023","2,030,000","2,030,000","2,040,000","2,020,000","","0.00%"
"05/10/2023","2,030,000","2,030,000","2,040,000","2,020,000","","0.00%"
