Name,Stock,Excahnge,Currency,Other listing,Note
Jiangxi Special Electric Motor,002176.SZ,Shenzhen,CNY,,Mining + Refinery
Ganfeng Lithium,002460.SZ,Shenzhen,CNY,1772.HK,Mining + Refinery
Tianqi Lithium,002466.SZ,Shenzhen,CNY,9696.HK,Mining + Refinery
Sichuan Yahua Group,002497.SZ,Shenzhen,CNY,,Mining
Allkem Limited,AKE.AX,ASX,AUD,"AKE.TO,0TWH.L",Mining + Refinery
Albemarle,ALB,NYSE,USD,,Mining + Refinery
Atlantic Lithium,ALL.L,LSE,GBP,A11.AX,Mining
American Lithium,AMLI,NasdaqCM,USD,LI.V,Mining
Critical Elements Lithium Corporation,CRE.V,TSXV,CAD,,Mining
Eramet SA,ERA.PA,Paris,EUR,,Mining + Refinery
Infinity Lithium Corporation Limited,INF.AX,ASX,AUD,3PM.F,Mining
Lithium Americas,LAC,NYSE,USD,LAC.TO,Mining
Lithium Energy Limited,LEL.AX,ASX,AUD,,Mining
Lithium South Development Corporation,LIS.V,TSXV,CAD,,Mining + Refinery
Lithium Chile,LITH.V,TSXV,CAD,,Mining
Lithium Power International,LPI.AX,ASX,AUD,,Mining
Lithium Ionic Corp,LTH.V,TSXV,CAD,,Mining
Livent Corp,LTHM,NYSE,USD,,Mining + Refinery
Mineral Resources Limited,MIN.AX,ASX,AUD,,Mining
Pilbara Minerals,PLS.AX,ASX,AUD,,Mining
Sigma Lithium Resources Corporation,SGML.V,TSXV,CAD,SGML,Mining + Refinery
Standard lithium,SLI.V,TSXV,CAD,SLI,Mining + Refinery
Sociedad Química y Minera de Chile S.A.,SQM,NYSE,USD,,Mining
Sayona Mining Limited,SYA.AX,ASX,AUD,,Mining
Wealth Minerals Ltd,WML.V,TSXV,CAD,EJZN.F,Mining
Arena Minerals Inc.,,,,,Mining
Lithium Corporation,,,,,Mining
Lithium X,,,,,Mining
MGX Minerals Inc,,,,,Mining
