,Name,Stock,Exchange,Currency,Time Zone,Market Cap,Mon_Mean,Mon_Std,Tue_Mean,Tue_Std,Wed_Mean,Wed_Std,Thu_Mean,Thu_Std,Fri_Mean,Fri_Std
0,Jiangxi Special Electric Motor,002176.SZ,SHZ,CNY,CST,18735.5034,0.0028,0.0816,0.0023,0.0826,-0.0011,0.0814,0.0002,0.0834,0.0002,0.083
1,Ganfeng Lithium,002460.SZ,SHZ,CNY,CST,108624.7404,0.0013,0.0773,0.0016,0.0732,0.0015,0.0694,0.0013,0.0695,-0.0012,0.0708
2,Tianqi Lithium,002466.SZ,SHZ,CNY,CST,94194.6716,0.0023,0.0908,0.002,0.0885,0.0003,0.0843,0.0034,0.0826,0.0015,0.0819
3,Sichuan Yahua Group,002497.SZ,SHZ,CNY,CST,20112.1731,0.002,0.0754,0.001,0.0758,-0.0018,0.0732,-0.0011,0.0703,-0.0025,0.0731
4,Allkem Limited,AKE.AX,ASX,AUD,AEST,9271.5469,0.0072,0.0892,0.004,0.0826,0.0046,0.0797,0.0041,0.0872,0.0035,0.0841
5,Albemarle,ALB,NYQ,USD,EDT,21999.3272,0.0018,0.0609,0.0024,0.0602,0.0026,0.0638,0.0028,0.0704,0.0016,0.0654
6,Atlantic Lithium,ALL.L,LSE,GBp,BST,145.6593,-0.0015,0.1029,-0.0014,0.0955,-0.0007,0.0977,-0.0004,0.0951,0.0005,0.0976
7,American Lithium,AMLI,NCM,USD,EDT,281.198,0.0074,0.1553,0.0087,0.1346,0.0049,0.1432,0.0109,0.1483,0.0064,0.1419
8,Critical Elements Lithium Corporation,CRE.V,VAN,CAD,EDT,359.3452,-0.004,0.1055,0.0005,0.0999,0.0006,0.1029,0.0004,0.0973,0.0019,0.0916
9,Eramet SA,ERA.PA,PAR,EUR,CEST,2222.3089,0.0005,0.0867,0.0002,0.0845,0.002,0.0815,0.0011,0.0848,0.0011,0.0833
10,Infinity Lithium Corporation Limited,INF.AX,ASX,AUD,AEST,55.511,-0.0043,0.1358,-0.0003,0.123,-0.0021,0.124,-0.0023,0.1374,-0.002,0.1341
11,Lithium Americas,LAC,NYQ,USD,EDT,2925.6269,0.0036,0.1111,0.0046,0.0994,0.0042,0.1102,0.0039,0.1082,0.0028,0.1056
12,Lithium Energy Limited,LEL.AX,ASX,AUD,AEST,70.0468,0.0053,0.1448,0.0026,0.1433,0.0089,0.1337,0.0141,0.1403,0.009,0.1433
13,Lithium South Development Corporation,LIS.V,VAN,CAD,EDT,45.0583,-0.0156,0.1375,-0.0064,0.1455,-0.0068,0.1542,-0.0062,0.1413,-0.0099,0.1329
14,Lithium Chile,LITH.V,VAN,CAD,EDT,156.7302,-0.0053,0.1156,-0.0022,0.1206,-0.0022,0.1285,-0.0023,0.1198,-0.0025,0.1203
15,Lithium Power International,LPI.AX,ASX,AUD,AEST,179.3328,-0.0028,0.1117,-0.0009,0.1189,-0.0004,0.1097,-0.0003,0.1128,-0.0015,0.1109
16,Lithium Ionic Corp,LTH.V,VAN,CAD,EDT,316.0378,0.0151,0.1348,0.0233,0.1258,0.0214,0.1242,0.0221,0.1372,0.0249,0.1395
17,Livent Corp,LTHM,NYQ,USD,EDT,4055.5581,-0.0003,0.0969,0.002,0.0869,0.0038,0.0887,0.002,0.0989,0.0,0.096
18,Mineral Resources Limited,MIN.AX,ASX,AUD,AEST,13265.5483,0.0057,0.0683,0.0055,0.0642,0.0053,0.0618,0.0058,0.066,0.0046,0.0618
19,Pilbara Minerals,PLS.AX,ASX,AUD,AEST,15920.3891,0.0114,0.1018,0.0073,0.0965,0.0073,0.0925,0.006,0.0966,0.0081,0.0945
20,Sigma Lithium Resources Corporation,SGML.V,VAN,CAD,EDT,5133.2147,0.0062,0.0707,0.0143,0.0737,0.013,0.0741,0.0133,0.0769,0.0137,0.0712
21,Standard lithium,SLI.V,VAN,CAD,EDT,966.2912,0.0017,0.1166,0.0038,0.115,0.0043,0.11,0.0045,0.1149,0.0045,0.1113
22,Sociedad Química y Minera de Chile S.A.,SQM,NYQ,USD,EDT,19249.1459,0.0008,0.0712,0.0024,0.0631,0.0026,0.0693,0.0025,0.0716,0.0026,0.072
23,Sayona Mining Limited,SYA.AX,ASX,AUD,AEST,1379.6865,0.0086,0.166,0.0079,0.1634,0.0086,0.1592,0.0091,0.1545,0.0089,0.149
24,Wealth Minerals Ltd,WML.V,VAN,CAD,EDT,127.9563,-0.0147,0.143,-0.0058,0.1346,-0.0064,0.132,-0.0056,0.1328,-0.005,0.1298
