Stock,Stock_EOD,Name,Other names,Product,Note
ALB,ALB,Albemarle Corporation,,"Brine, Spodumene",
AKE.AX,AKE.AU,Allkem Limited,Orocobre,"Brine, Spodumene",
AMLI,AMLI,American Lithium Corp.,,Spodumene,
AMG.AS,AMG.AS,AMG Critical Materials N.V.,,Spodumene,
LIT.V,LIT.V,Argentina Lithium & Energy Corp.,Argentina Lithium and Energy Corp,Brine,
ALL.L,ALL.LSE,Atlantic Lithium Limited,,Spodumene,
BM8.AX,BM8.AU,Battery Age Minerals Ltd,,Spodumene,Low Liquidity
002240.SZ,002240.SHE,"Chengxin Lithium Group Co., Ltd.",,Spodumene,
CTL.L,CTL.LSE,CleanTech Lithium Plc,,Brine,
CMP,CMP,"Compass Minerals International, Inc.",,Brine,
CXO.AX,CXO.AU,Core Lithium Ltd,,Spodumene,
CRE.V,CRE.V,Critical Elements Lithium Corporation,,Spodumene,
CRR.AX,CRR.AU,Critical Resources Limited,,Brine,
ERA.PA,ERA.PA,Eramet S.A.,,Brine,
ESS.AX,ESS.AU,Essential Metals Limited,,Spodumene,
GLN.AX,GLN.AU,Galan Lithium Limited,,Brine,
002460.SZ,002460.SHE,"Ganfeng Lithium Group Co., Ltd.",,Brine,
GT1.AX,GT1.AU,Green Technology Metals Limited,,Spodumene,
ILI.V,ILI.V,Imagine Lithium Inc.,,Spodumene,
INF.AX,INF.AU,Infinity Lithium Corporation Limited,,Spodumene,
ILC.V,ILC.V,International Lithium Corp.,,Spodumene,
002176.SZ,002176.SHE,"Jiangxi Special Electric Motor Co.,Ltd",Jiangte Motor,Lithium Porcelain Ore,Midstream(Li2CO3)
KZR.AX,KZR.AU,Kalamazoo Resources Limited,,Spodumene,
LKE.AX,LKE.AU,Lake Resources NL,,Brine,
LRS.AX,LRS.AU,Latin Resources Limited,,Spodumene,
LAC,LAC,Lithium Americas Corp.,,Brine,
LITH.V,LITH.V,Lithium Chile Inc.,,Brine,
LEXI.V,LEXI.V,Lithium Energi Exploration Inc.,,Brine,Low Liquidity
LEL.AX,LEL.AU,Lithium Energy Limited,,Brine,
LTH.V,LTH.V,Lithium Ionic Corp.,,Spodumene,
LPI.AX,LPI.AU,Lithium Power International Limited,,"Brine, Spodumene",
LIS.V,LIS.V,Lithium South Development Corporation,,Brine,
LTHM,LTHM,Livent Corporation,,Brine,Midstream
MIN.AX,MIN.AU,Mineral Resources Limited,,Spodumene,Midstream (Kemerton)
1MC.AX,1MC.AU,Morella Corporation Limited,,"Brine, Spodumene",
NOAL.V,NOAL.V,NOA Lithium Brines Inc.,,Brine,
PLL.AX,PLL.AU,Piedmont Lithium Inc.,,Spodumene,Midstream (Tennessee Lithium)
PLS.AX,PLS.AU,Pilbara Minerals Limited,,Spodumene,
PKX,PKX,POSCO Holdings Inc.,,Brine,
PWM.V,PWM.V,Power Metals Corp.,,Spodumene,
PE.V,PE.V,Pure Energy Minerals Limited,,Brine,
000792.SZ,000792.SHE,"QingHai Salt Lake Industry Co.,Ltd",,Brine,Midstream (Li2CO3)
QMC.V,QMC.V,QMC Quantum Minerals Corp,,Spodumene,
RIO,RIO,Rio Tinto Group,,Brine,Midstream (Jadar)
SYA.AX,SYA.AU,Sayona Mining Limited,,Spodumene,
002497.SZ,002497.SHE,"Sichuan Yahua Industrial Group Co., Ltd.",,"Brine, Spodumene",
SGML,SGML,Sigma Lithium Corporation,,Spodumene,
002738.SZ,002738.SHE,"Sinomine Resource Group Co., Ltd.",,Spodumene,Midstream(Manitoba)
SQM,SQM,Sociedad Química y Minera de Chile S.A.,SQM,Brine,
SLI.V,SLI.V,Standard lithium Ltd.,,Brine,
002466.SZ,002466.SHE,Tianqi Lithium Corporation,,Spodumene,Midstream (Kwinana)
ULT.V,ULT.V,Ultra Lithium Inc.,,"Brine, Spodumene",
WML.V,WML.V,Wealth Minerals Ltd.,,Brine,
2899.HK,2899.HK,Zijin Mining Group Company Limited,,Brine,
002756.SZ,002756.SHE,"Yongxing Special Materials Technology Co.,Ltd",,Lithium Porcelain Ore,Allstream
002192.SZ,002192.SHE,"YOUNGY Co.,Ltd.",,Spodumene,Midstream
