y,r_obs mean,r_true_ar mean,r_true_ma1 mean,r_true_ma2 mean,r_true_ma3 mean,r_obs std,r_true_ar std,r_true_ma1 std,r_true_ma2 std,r_true_ma3 std
li2co3 Mon,0.0113,0.0128,0.0137,0.0147,0.0138,0.0588,0.0456,0.0357,0.0462,0.0421
lioh Mon,0.0114,0.0128,0.0139,0.0145,0.0151,0.055,0.0313,0.0358,0.0437,0.0483
li2co3 Tue,0.0109,0.0121,0.013,0.0115,0.013,0.0576,0.0439,0.0325,0.0303,0.0401
lioh Tue,0.0117,0.0128,0.0135,0.0137,0.0122,0.0564,0.0304,0.03,0.0329,0.0275
li2co3 Wed,0.0142,0.0154,0.0161,0.017,0.0165,0.0522,0.0434,0.0293,0.0414,0.041
lioh Wed,0.0152,0.0163,0.017,0.0171,0.0169,0.0534,0.0259,0.0287,0.0305,0.0287
li2co3 Thu,0.0133,0.0144,0.014,0.0149,0.0154,0.057,0.0506,0.0247,0.0419,0.0431
lioh Thu,0.0137,0.0155,0.015,0.0151,0.0153,0.0549,0.0461,0.0274,0.0346,0.0409
li2co3 Fri,0.0126,0.0131,0.0127,0.014,0.0144,0.057,0.0463,0.0257,0.0441,0.0429
lioh Fri,0.0131,0.0145,0.0134,0.0137,0.0141,0.0535,0.0446,0.028,0.0354,0.0417
