y,r_obs mean,r_true_ar mean,r_true_ma1 mean,r_true_ma2 mean,r_true_ma3 mean,r_obs std,r_true_ar std,r_true_ma1 std,r_true_ma2 std,r_true_ma3 std
li2co3 Mon,0.0033,0.0034,0.0033,0.0033,0.0033,0.0583,0.0081,0.0067,0.0083,0.009
lioh Mon,0.003,0.0031,0.0031,0.003,0.003,0.045,0.0082,0.0061,0.0091,0.0101
li2co3 Tue,0.0029,0.003,0.003,0.003,0.0029,0.0567,0.008,0.0065,0.0083,0.0093
lioh Tue,0.0019,0.002,0.002,0.002,0.002,0.0366,0.0102,0.0079,0.0088,0.0101
li2co3 Wed,0.0032,0.0033,0.0033,0.0033,0.0033,0.0556,0.008,0.0066,0.0083,0.0089
lioh Wed,0.0024,0.0025,0.0025,0.0025,0.0024,0.0359,0.0094,0.0074,0.0084,0.0089
li2co3 Thu,0.0036,0.0037,0.0037,0.0037,0.0037,0.0567,0.0103,0.0082,0.0104,0.0112
lioh Thu,0.0028,0.0029,0.0029,0.0029,0.0029,0.0361,0.0144,0.01,0.0127,0.014
li2co3 Fri,0.0014,0.0015,0.0014,0.0015,0.0015,0.0367,0.0139,0.0096,0.0116,0.0136
lioh Fri,0.002,0.0021,0.0021,0.0021,0.0021,0.0337,0.0137,0.0098,0.0119,0.0135
