"Date","Price","Open","High","Low","Vol.","Change %"
"07/18/2023","280.50","280.50","283.00","278.00","","-0.71%"
"07/17/2023","282.50","282.50","285.00","280.00","","0.00%"
"07/14/2023","282.50","282.50","285.00","280.00","","0.00%"
"07/13/2023","282.50","282.50","285.00","280.00","","0.00%"
"07/12/2023","282.50","282.50","285.00","280.00","","0.00%"
"07/11/2023","282.50","282.50","285.00","280.00","","0.00%"
"07/10/2023","282.50","282.50","285.00","280.00","","0.00%"
"07/07/2023","282.50","282.50","285.00","280.00","","0.00%"
"07/06/2023","282.50","282.50","285.00","280.00","","0.00%"
"07/05/2023","282.50","282.50","285.00","280.00","","0.00%"
"07/04/2023","282.50","282.50","285.00","280.00","","0.00%"
"07/03/2023","282.50","282.50","285.00","280.00","","0.00%"
"06/30/2023","282.50","282.50","285.00","280.00","","0.00%"
"06/29/2023","282.50","282.50","285.00","280.00","","0.00%"
"06/28/2023","282.50","282.50","285.00","280.00","","0.00%"
"06/27/2023","282.50","282.50","285.00","280.00","","0.00%"
"06/26/2023","282.50","282.50","285.00","280.00","","0.00%"
"06/21/2023","282.50","282.50","285.00","280.00","","0.00%"
"06/20/2023","282.50","282.50","285.00","280.00","","0.00%"
"06/19/2023","282.50","282.50","285.00","280.00","","0.00%"
"06/16/2023","282.50","282.50","285.00","280.00","","0.00%"
"06/15/2023","282.50","282.50","285.00","280.00","","1.80%"
"06/14/2023","277.50","277.50","280.00","275.00","","0.00%"
"06/13/2023","277.50","277.50","280.00","275.00","","0.00%"
"06/12/2023","277.50","277.50","280.00","275.00","","0.00%"
"06/09/2023","277.50","277.50","280.00","275.00","","0.00%"
"06/08/2023","277.50","277.50","280.00","275.00","","0.00%"
"06/07/2023","277.50","277.50","280.00","275.00","","0.00%"
"06/06/2023","277.50","277.50","280.00","275.00","","0.00%"
"06/05/2023","277.50","277.50","280.00","275.00","","0.00%"
"06/02/2023","277.50","277.50","280.00","275.00","","0.00%"
"06/01/2023","277.50","277.50","280.00","275.00","","0.00%"
"05/31/2023","277.50","277.50","280.00","275.00","","0.00%"
"05/30/2023","277.50","277.50","280.00","275.00","","0.00%"
"05/29/2023","277.50","277.50","280.00","275.00","","0.00%"
"05/26/2023","277.50","277.50","280.00","275.00","","0.00%"
"05/25/2023","277.50","277.50","280.00","275.00","","0.00%"
"05/24/2023","277.50","277.50","280.00","275.00","","0.00%"
"05/23/2023","277.50","277.50","280.00","275.00","","2.59%"
"05/22/2023","270.50","270.50","273.00","268.00","","2.27%"
"05/19/2023","264.50","264.50","267.00","262.00","","2.72%"
"05/18/2023","257.50","257.50","260.00","255.00","","1.98%"
"05/17/2023","252.50","252.50","255.00","250.00","","2.02%"
"05/16/2023","247.50","247.50","250.00","245.00","","2.06%"
"05/15/2023","242.50","242.50","245.00","240.00","","2.11%"
"05/12/2023","237.50","237.50","240.00","235.00","","0.00%"
"05/11/2023","237.50","237.50","240.00","235.00","","0.00%"
"05/10/2023","237.50","237.50","240.00","235.00","","2.15%"
"05/09/2023","232.50","232.50","235.00","230.00","","0.00%"
"05/08/2023","232.50","232.50","235.00","230.00","","0.00%"
"05/05/2023","232.50","232.50","235.00","230.00","","0.00%"
"05/04/2023","232.50","232.50","235.00","230.00","","0.00%"
"04/28/2023","232.50","232.50","235.00","230.00","","0.00%"
"04/27/2023","232.50","232.50","235.00","230.00","","0.00%"
"04/26/2023","232.50","232.50","235.00","230.00","","-2.11%"
"04/25/2023","237.50","237.50","240.00","235.00","","0.00%"
"04/24/2023","237.50","237.50","240.00","235.00","","0.00%"
"04/21/2023","237.50","237.50","240.00","235.00","","0.00%"
"04/20/2023","237.50","237.50","240.00","235.00","","-2.06%"
"04/19/2023","242.50","242.50","245.00","240.00","","0.00%"
"04/18/2023","242.50","242.50","245.00","240.00","","-2.02%"
"04/17/2023","247.50","247.50","250.00","245.00","","0.00%"
"04/14/2023","247.50","247.50","250.00","245.00","","0.00%"
"04/13/2023","247.50","247.50","250.00","245.00","","-1.98%"
"04/12/2023","252.50","252.50","255.00","250.00","","-1.94%"
"04/11/2023","257.50","257.50","260.00","255.00","","-1.90%"
"04/10/2023","262.50","262.50","265.00","260.00","","-1.87%"
"04/07/2023","267.50","267.50","270.00","265.00","","-1.83%"
"04/06/2023","272.50","272.50","275.00","270.00","","0.00%"
"04/04/2023","272.50","272.50","275.00","270.00","","0.00%"
"04/03/2023","272.50","272.50","275.00","270.00","","0.00%"
"03/31/2023","272.50","272.50","275.00","270.00","","-1.80%"
"03/30/2023","277.50","277.50","280.00","275.00","","-1.77%"
"03/29/2023","282.50","282.50","285.00","280.00","","0.00%"
"03/28/2023","282.50","282.50","285.00","280.00","","-1.74%"
"03/27/2023","287.50","287.50","290.00","285.00","","0.00%"
"03/24/2023","287.50","287.50","290.00","285.00","","-1.71%"
"03/23/2023","292.50","292.50","295.00","290.00","","-1.68%"
"03/22/2023","297.50","297.50","300.00","295.00","","-1.65%"
"03/21/2023","302.50","302.50","305.00","300.00","","0.00%"
"03/20/2023","302.50","302.50","305.00","300.00","","0.00%"
"03/17/2023","302.50","302.50","305.00","300.00","","-2.26%"
"03/16/2023","309.50","309.50","312.00","307.00","","-2.52%"
"03/15/2023","317.50","317.50","320.00","315.00","","0.00%"
"03/14/2023","317.50","317.50","320.00","315.00","","0.00%"
"03/13/2023","317.50","317.50","320.00","315.00","","0.00%"
"03/10/2023","317.50","317.50","320.00","315.00","","0.00%"
"03/09/2023","317.50","317.50","320.00","315.00","","0.00%"
"03/08/2023","317.50","317.50","320.00","315.00","","-0.63%"
"03/07/2023","319.50","319.50","322.00","317.00","","-0.93%"
"03/06/2023","322.50","322.50","325.00","320.00","","0.00%"
"03/03/2023","322.50","322.50","325.00","320.00","","0.00%"
"03/02/2023","322.50","322.50","325.00","320.00","","-1.53%"
"03/01/2023","327.50","327.50","330.00","325.00","","-0.91%"
"02/28/2023","330.50","330.50","333.00","328.00","","0.00%"
"02/27/2023","330.50","330.50","333.00","328.00","","0.00%"
"02/24/2023","330.50","330.50","333.00","328.00","","0.00%"
"02/23/2023","330.50","330.50","333.00","328.00","","0.00%"
"02/22/2023","330.50","330.50","333.00","328.00","","-2.94%"
"02/21/2023","340.50","340.50","343.00","338.00","","0.00%"
"02/20/2023","340.50","340.50","343.00","338.00","","-0.58%"
"02/17/2023","342.50","342.50","345.00","340.00","","0.00%"
"02/16/2023","342.50","342.50","345.00","340.00","","-2.84%"
"02/14/2023","352.50","352.50","355.00","350.00","","0.00%"
"02/13/2023","352.50","352.50","355.00","350.00","","0.00%"
"02/10/2023","352.50","352.50","355.00","350.00","","-2.76%"
"02/09/2023","362.50","362.50","365.00","360.00","","-0.82%"
"02/08/2023","365.50","365.50","368.00","363.00","","-0.54%"
"02/07/2023","367.50","367.50","370.00","365.00","","0.00%"
"02/06/2023","367.50","367.50","370.00","365.00","","-4.92%"
"02/03/2023","386.50","386.50","389.00","384.00","","-2.77%"
"02/02/2023","397.50","397.50","400.00","395.00","","0.00%"
"02/01/2023","397.50","397.50","400.00","395.00","","-0.50%"
"01/31/2023","399.50","399.50","402.00","397.00","","-1.96%"
"01/30/2023","407.50","407.50","410.00","405.00","","-0.49%"
"01/18/2023","409.50","409.50","412.00","407.00","","0.00%"
"01/17/2023","409.50","409.50","412.00","407.00","","0.00%"
"01/16/2023","409.50","409.50","412.00","407.00","","0.00%"
"01/13/2023","409.50","409.50","412.00","407.00","","0.00%"
"01/12/2023","409.50","409.50","412.00","407.00","","0.00%"
"01/11/2023","409.50","409.50","412.00","407.00","","0.00%"
"01/10/2023","409.50","409.50","412.00","407.00","","-0.73%"
"01/09/2023","412.50","412.50","415.00","410.00","","-0.24%"
"01/06/2023","413.50","413.50","416.00","411.00","","-2.82%"
"01/05/2023","425.50","425.50","428.00","423.00","","0.00%"
"01/04/2023","425.50","425.50","428.00","423.00","","-0.47%"
"01/03/2023","427.50","427.50","430.00","425.00","","0.00%"
"12/30/2022","427.50","427.50","430.00","425.00","","0.00%"
"12/29/2022","427.50","427.50","430.00","425.00","","-0.23%"
"12/28/2022","428.50","428.50","431.00","426.00","","-0.46%"
"12/27/2022","430.50","430.50","433.00","428.00","","0.00%"
"12/26/2022","430.50","430.50","433.00","428.00","","-0.46%"
"12/23/2022","432.50","432.50","435.00","430.00","","0.00%"
"12/22/2022","432.50","432.50","435.00","430.00","","0.00%"
"12/21/2022","432.50","432.50","435.00","430.00","","-1.59%"
"12/20/2022","439.50","439.50","442.00","437.00","","-0.68%"
"12/19/2022","442.50","442.50","445.00","440.00","","0.00%"
"12/16/2022","442.50","442.50","445.00","440.00","","0.00%"
"12/15/2022","442.50","442.50","445.00","440.00","","0.00%"
"12/14/2022","442.50","442.50","445.00","440.00","","0.00%"
"12/13/2022","442.50","442.50","445.00","440.00","","-2.21%"
"12/12/2022","452.50","452.50","455.00","450.00","","0.00%"
"12/09/2022","452.50","452.50","455.00","450.00","","0.00%"
"12/08/2022","452.50","452.50","455.00","450.00","","0.00%"
"12/07/2022","452.50","452.50","455.00","450.00","","-0.66%"
"12/06/2022","455.50","455.50","458.00","453.00","","-0.44%"
"12/05/2022","457.50","457.50","460.00","455.00","","0.00%"
"12/02/2022","457.50","457.50","460.00","455.00","","0.00%"
"12/01/2022","457.50","457.50","460.00","455.00","","-0.22%"
"11/30/2022","458.50","458.50","461.00","456.00","","-0.22%"
"11/29/2022","459.50","459.50","462.00","457.00","","0.00%"
"11/28/2022","459.50","459.50","462.00","457.00","","0.00%"
"11/25/2022","459.50","459.50","462.00","457.00","","0.00%"
"11/24/2022","459.50","459.50","462.00","457.00","","0.00%"
"11/23/2022","459.50","459.50","462.00","457.00","","0.00%"
"11/22/2022","459.50","459.50","462.00","457.00","","0.00%"
"11/21/2022","459.50","459.50","462.00","457.00","","0.00%"
"11/18/2022","459.50","459.50","462.00","457.00","","0.00%"
"11/17/2022","459.50","459.50","462.00","457.00","","0.00%"
"11/16/2022","459.50","459.50","462.00","457.00","","-0.22%"
"11/15/2022","460.50","460.50","463.00","458.00","","0.00%"
"11/14/2022","460.50","460.50","463.00","458.00","","0.00%"
"11/11/2022","460.50","460.50","463.00","458.00","","0.00%"
"11/10/2022","460.50","460.50","463.00","458.00","","0.00%"
"11/09/2022","460.50","460.50","463.00","458.00","","0.00%"
"11/08/2022","460.50","460.50","463.00","458.00","","0.22%"
"11/07/2022","459.50","459.50","462.00","457.00","","0.00%"
"11/04/2022","459.50","459.50","462.00","457.00","","0.00%"
"11/03/2022","459.50","459.50","462.00","457.00","","0.00%"
"11/02/2022","459.50","459.50","462.00","457.00","","0.00%"
"11/01/2022","459.50","459.50","462.00","457.00","","0.44%"
"10/31/2022","457.50","457.50","460.00","455.00","","0.00%"
"10/28/2022","457.50","457.50","460.00","455.00","","0.00%"
"10/27/2022","457.50","457.50","460.00","455.00","","0.00%"
"10/26/2022","457.50","457.50","460.00","455.00","","0.00%"
"10/25/2022","457.50","457.50","460.00","455.00","","0.00%"
"10/24/2022","457.50","457.50","460.00","455.00","","0.00%"
"10/21/2022","457.50","457.50","460.00","455.00","","1.78%"
"10/20/2022","449.50","449.50","452.00","447.00","","0.00%"
"10/19/2022","449.50","449.50","452.00","447.00","","0.00%"
"10/18/2022","449.50","449.50","452.00","447.00","","0.45%"
"10/17/2022","447.50","447.50","450.00","445.00","","0.00%"
"10/14/2022","447.50","447.50","450.00","445.00","","0.67%"
"10/13/2022","444.50","444.50","447.00","442.00","","0.00%"
"10/12/2022","444.50","444.50","447.00","442.00","","0.00%"
"10/11/2022","444.50","444.50","447.00","442.00","","0.00%"
"10/10/2022","444.50","444.50","447.00","442.00","","0.45%"
"09/29/2022","442.50","442.50","445.00","440.00","","0.00%"
"09/28/2022","442.50","442.50","445.00","440.00","","0.00%"
"09/27/2022","442.50","442.50","445.00","440.00","","0.68%"
"09/26/2022","439.50","439.50","442.00","437.00","","1.15%"
"09/23/2022","434.50","434.50","437.00","432.00","","0.00%"
"09/22/2022","434.50","434.50","437.00","432.00","","0.00%"
"09/21/2022","434.50","434.50","437.00","432.00","","0.00%"
"09/20/2022","434.50","434.50","437.00","432.00","","0.00%"
"09/19/2022","434.50","434.50","437.00","432.00","","0.00%"
"09/16/2022","434.50","434.50","437.00","432.00","","1.16%"
"09/15/2022","429.50","429.50","432.00","427.00","","0.00%"
"09/14/2022","429.50","429.50","432.00","427.00","","0.00%"
"09/13/2022","429.50","429.50","432.00","427.00","","0.00%"
"09/09/2022","429.50","429.50","432.00","427.00","","0.47%"
"09/08/2022","427.50","427.50","430.00","425.00","","0.00%"
"09/07/2022","427.50","427.50","430.00","425.00","","2.89%"
"09/06/2022","415.50","415.50","418.00","413.00","","0.00%"
"09/05/2022","415.50","415.50","418.00","413.00","","0.73%"
"09/02/2022","412.50","412.50","415.00","410.00","","0.00%"
"09/01/2022","412.50","412.50","415.00","410.00","","0.00%"
"08/31/2022","412.50","412.50","415.00","410.00","","1.23%"
"08/30/2022","407.50","407.50","410.00","405.00","","0.00%"
"08/29/2022","407.50","407.50","410.00","405.00","","0.00%"
"08/26/2022","407.50","407.50","410.00","405.00","","0.00%"
"08/25/2022","407.50","407.50","410.00","405.00","","0.00%"
