Date,Open_ALB.US,High_ALB.US,Low_ALB.US,Close_ALB.US,Adjusted_close_ALB.US,Volume_ALB.US,Open_SQM.US,High_SQM.US,Low_SQM.US,Close_SQM.US,Adjusted_close_SQM.US,Volume_SQM.US,Open_002466.SHE,High_002466.SHE,Low_002466.SHE,Close_002466.SHE,Adjusted_close_002466.SHE,Volume_002466.SHE,Open_LAC.US,High_LAC.US,Low_LAC.US,Close_LAC.US,Adjusted_close_LAC.US,Volume_LAC.US,Open_ORE.AU,High_ORE.AU,Low_ORE.AU,Close_ORE.AU,Adjusted_close_ORE.AU,Volume_ORE.AU,Open_GALXF.US,High_GALXF.US,Low_GALXF.US,Close_GALXF.US,Adjusted_close_GALXF.US,Volume_GALXF.US
2005-01-03,39.01,39.03,37.92,38.05,14.6248,366000.0,62.8575,63.3673,62.1948,62.1948,3.0946,75545.0,,,,,,,,,,,,,,,,,,,,,,,,
2005-01-04,38.05,38.05,36.4,36.5,14.0291,468000.0,62.1948,62.1948,60.0128,60.0128,2.986,66480.0,,,,,,,,,,,,,,,,,,,,,,,,
2005-01-05,36.3,36.47,35.62,35.62,13.6909,594200.0,59.6458,60.8591,59.6458,60.2677,2.9987,266927.0,,,,,,,,,,,,,,,,,,,,,,,,
2005-01-06,35.62,36.36,34.32,36.31,13.9561,1526600.0,60.5125,60.6144,60.1454,60.1658,2.9937,39284.0,,,,,,,,,,,,,,,,,,,,,,,,
2005-01-07,36.31,36.85,35.75,36.44,14.006,910200.0,60.1556,60.1556,59.6479,59.9211,2.9815,83604.0,,,,,,,,,,,,,,,,,,,,,,,,
2005-01-10,36.3,37.0,36.17,36.17,13.9023,634000.0,60.0536,60.1556,59.4418,59.6458,2.9678,144040.0,,,,,,,,,,,,,,,,,,,,,,,,
2005-01-11,36.16,36.16,35.5,35.8,13.76,671200.0,59.4418,59.5235,58.6262,58.6262,2.917,84611.0,,,,,,,,,,,,,,,,,,,,,,,,
2005-01-12,35.7,35.96,34.62,35.76,13.7447,778800.0,58.6262,58.9831,58.6262,58.9321,2.9323,62451.0,,,,,,,,,,,,,,,,,,,,,,,,
2005-01-13,35.75,35.75,35.07,35.3,13.5679,764800.0,58.9831,59.4929,58.7791,59.238,2.9475,118858.0,,,,,,,,,,,,,,,,,,,,,,,,
2005-01-14,34.85,34.85,33.9,34.07,13.0951,5539000.0,59.4929,59.9313,59.4724,59.6458,2.9678,187352.0,,,,,,,,,,,,,,,,,,,,,,,,
2005-01-18,34.0,34.51,33.8,34.43,13.2335,1380200.0,59.9007,60.1556,58.4733,58.9525,2.9333,258869.0,,,,,,,,,,,,,,,,,,,,,,,,
2005-01-19,34.5,34.58,33.91,34.08,13.0989,770000.0,58.6976,59.8905,58.5242,59.7273,2.9718,223614.0,,,,,,,,,,,,,,,,,,,,,,,,
2005-01-20,33.7,34.19,33.6,34.01,13.072,1042200.0,59.8701,60.5839,59.8701,60.5634,3.0134,156127.0,,,,,,,,,,,,,,,,,,,,,,,,
2005-01-21,34.01,34.3,33.9,34.14,13.122,765400.0,60.1556,62.0928,60.1556,61.4403,3.0571,204476.0,,,,,,,,,,,,,,,,,,,,,,,,
2005-01-24,34.12,34.22,33.92,34.01,13.072,1005000.0,61.0732,61.9908,61.0732,61.318,3.051,85618.0,,,,,,,,,,,,,,,,,,,,,,,,
2005-01-25,34.13,34.34,34.0,34.13,13.1182,661800.0,61.3281,61.3281,59.8395,59.8395,2.9774,53385.0,,,,,,,,,,,,,,,,,,,,,,,,
2005-01-26,34.13,34.3,33.99,34.2,13.1451,513800.0,60.0944,60.6654,60.0536,60.5634,3.0134,86625.0,,,,,,,,,,,,,,,,,,,,,,,,
2005-01-27,34.21,34.39,34.07,34.22,13.1528,486200.0,60.7674,61.1242,60.7674,60.9203,3.0312,246781.0,,,,,,,,,,,,,,,,,,,,,,,,
2005-01-28,34.3,34.33,34.0,34.17,13.1335,478200.0,60.6654,60.9712,59.6458,59.9516,2.983,306210.0,,,,,,,,,,,,,,,,,,,,,,,,
2005-01-31,34.55,35.11,34.38,35.11,13.4948,1008000.0,59.9516,61.2771,59.9516,61.2771,3.0489,54393.0,,,,,,,,,,,,,,,,,,,,,,,,
2005-02-01,35.11,35.4,35.04,35.4,13.6063,818600.0,61.532,61.7359,60.9611,61.583,3.0642,99720.0,,,,,,,,,,,,,,,,,,,,,,,,
2005-02-02,35.4,35.56,35.0,35.56,13.6678,485200.0,61.583,62.8065,61.583,61.6034,3.0652,69502.0,,,,,,,,,,,,,,,,,,,,,,,,
2005-02-03,35.6,35.6,34.8,35.16,13.514,752600.0,62.2967,63.1124,62.1948,62.1948,3.0946,112814.0,,,,,,,,,,,,,,,,,,,,,,,,
2005-02-04,35.18,35.68,35.14,35.64,13.6985,788800.0,63.2143,67.8535,63.2143,67.517,3.3594,250811.0,,,,,,,,,,,,,,,,,,,,,,,,
2005-02-07,35.7,36.19,35.65,36.04,13.8523,1131400.0,68.3122,68.822,66.1202,68.3122,3.399,389814.0,,,,,,,,,,,,,,,,,,,,,,,,
2005-02-08,36.1,36.52,35.89,36.52,14.0368,1179600.0,68.822,68.822,67.3029,68.8119,3.4239,713148.0,,,,,,,,,,,,,,,,,,,,,,,,
2005-02-09,36.58,36.6,35.94,36.15,13.8946,662000.0,68.2613,68.3328,67.9555,68.0573,3.3863,454279.0,,,,,,,,,,,,,,,,,,,,,,,,
2005-02-10,36.2,36.55,35.91,36.15,13.8946,385800.0,68.3122,68.3122,67.3232,67.9962,3.3833,1035475.0,,,,,,,,,,,,,,,,,,,,,,,,
2005-02-11,36.17,36.2,35.7,35.99,13.8331,629000.0,67.5986,73.3083,67.5986,73.2572,3.645,478454.0,,,,,,,,,,,,,,,,,,,,,,,,
2005-02-14,35.92,36.04,35.57,36.0,13.8369,361000.0,73.92,75.4494,72.9106,73.1859,3.6415,172243.0,,,,,,,,,,,,,,,,,,,,,,,,
2005-02-15,35.95,36.13,35.42,35.63,13.6947,474400.0,72.7474,73.3592,71.7279,71.9522,3.5801,117851.0,,,,,,,,,,,,,,,,,,,,,,,,
