Date,Open_LIT.US,High_LIT.US,Low_LIT.US,Close_LIT.US,Adjusted_close_LIT.US,Volume_LIT.US,Open_QCLN.US,High_QCLN.US,Low_QCLN.US,Close_QCLN.US,Adjusted_close_QCLN.US,Volume_QCLN.US,Open_ICLN.US,High_ICLN.US,Low_ICLN.US,Close_ICLN.US,Adjusted_close_ICLN.US,Volume_ICLN.US,Open_PBW.US,High_PBW.US,Low_PBW.US,Close_PBW.US,Adjusted_close_PBW.US,Volume_PBW.US,Open_LIT.V,High_LIT.V,Low_LIT.V,Close_LIT.V,Adjusted_close_LIT.V,Volume_LIT.V,Open_TAN.US,High_TAN.US,Low_TAN.US,Close_TAN.US,Adjusted_close_TAN.US,Volume_TAN.US
2005-01-03,,,,,,,,,,,,,,,,,,,,,,,,,0.68,0.68,0.68,0.68,81.6,0.0,,,,,,
2005-01-04,,,,,,,,,,,,,,,,,,,,,,,,,0.66,0.66,0.66,0.66,79.2,3500.0,,,,,,
2005-01-05,,,,,,,,,,,,,,,,,,,,,,,,,0.66,0.71,0.64,0.71,85.2,32000.0,,,,,,
2005-01-06,,,,,,,,,,,,,,,,,,,,,,,,,0.68,0.7,0.68,0.68,81.6,62000.0,,,,,,
2005-01-07,,,,,,,,,,,,,,,,,,,,,,,,,0.68,0.68,0.66,0.66,79.2,25200.0,,,,,,
2005-01-10,,,,,,,,,,,,,,,,,,,,,,,,,0.66,0.68,0.66,0.66,79.2,24900.0,,,,,,
2005-01-11,,,,,,,,,,,,,,,,,,,,,,,,,0.67,0.68,0.66,0.66,79.2,24700.0,,,,,,
2005-01-12,,,,,,,,,,,,,,,,,,,,,,,,,0.68,0.68,0.65,0.68,81.6,275400.0,,,,,,
2005-01-13,,,,,,,,,,,,,,,,,,,,,,,,,0.68,0.68,0.65,0.65,78.0,16000.0,,,,,,
2005-01-14,,,,,,,,,,,,,,,,,,,,,,,,,0.69,0.69,0.69,0.69,82.8,1000.0,,,,,,
2005-01-17,,,,,,,,,,,,,,,,,,,,,,,,,0.68,0.68,0.68,0.68,81.6,8000.0,,,,,,
2005-01-18,,,,,,,,,,,,,,,,,,,,,,,,,0.68,0.68,0.68,0.68,81.6,6000.0,,,,,,
2005-01-19,,,,,,,,,,,,,,,,,,,,,,,,,0.66,0.66,0.65,0.65,78.0,3000.0,,,,,,
2005-01-20,,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.68,0.65,0.68,81.6,27000.0,,,,,,
2005-01-21,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.74,0.68,0.71,85.2,24000.0,,,,,,
2005-01-24,,,,,,,,,,,,,,,,,,,,,,,,,0.72,0.72,0.68,0.68,81.6,8500.0,,,,,,
2005-01-25,,,,,,,,,,,,,,,,,,,,,,,,,0.67,0.68,0.67,0.68,81.6,6500.0,,,,,,
2005-01-26,,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.65,0.6,0.61,73.2,27500.0,,,,,,
2005-01-27,,,,,,,,,,,,,,,,,,,,,,,,,0.62,0.62,0.61,0.61,73.2,3500.0,,,,,,
2005-01-28,,,,,,,,,,,,,,,,,,,,,,,,,0.63,0.66,0.63,0.66,79.2,6000.0,,,,,,
2005-01-31,,,,,,,,,,,,,,,,,,,,,,,,,0.64,0.64,0.6,0.64,76.8,21500.0,,,,,,
2005-02-01,,,,,,,,,,,,,,,,,,,,,,,,,0.62,0.62,0.56,0.6,72.0,22000.0,,,,,,
2005-02-02,,,,,,,,,,,,,,,,,,,,,,,,,0.61,0.64,0.61,0.64,76.8,2000.0,,,,,,
2005-02-03,,,,,,,,,,,,,,,,,,,,,,,,,0.62,0.62,0.59,0.59,70.8,7000.0,,,,,,
2005-02-04,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.6,0.58,0.6,72.0,73500.0,,,,,,
2005-02-07,,,,,,,,,,,,,,,,,,,,,,,,,0.59,0.59,0.59,0.59,70.8,1000.0,,,,,,
2005-02-08,,,,,,,,,,,,,,,,,,,,,,,,,0.57,0.6,0.57,0.6,72.0,1500.0,,,,,,
2005-02-09,,,,,,,,,,,,,,,,,,,,,,,,,0.57,0.57,0.45,0.55,66.0,132600.0,,,,,,
2005-02-10,,,,,,,,,,,,,,,,,,,,,,,,,0.54,0.58,0.51,0.57,68.4,36400.0,,,,,,
2005-02-11,,,,,,,,,,,,,,,,,,,,,,,,,0.57,0.6,0.57,0.6,72.0,9500.0,,,,,,
2005-02-14,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.6,0.57,0.57,68.4,27500.0,,,,,,
2005-02-15,,,,,,,,,,,,,,,,,,,,,,,,,0.58,0.58,0.58,0.58,69.6,6000.0,,,,,,
2005-02-16,,,,,,,,,,,,,,,,,,,,,,,,,0.58,0.58,0.56,0.56,67.2,81500.0,,,,,,
2005-02-17,,,,,,,,,,,,,,,,,,,,,,,,,0.56,0.56,0.55,0.55,66.0,1500.0,,,,,,
2005-02-18,,,,,,,,,,,,,,,,,,,,,,,,,0.51,0.59,0.51,0.58,69.6,32500.0,,,,,,
2005-02-21,,,,,,,,,,,,,,,,,,,,,,,,,0.59,0.59,0.55,0.58,69.6,33000.0,,,,,,
2005-02-22,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.58,0.5,0.55,66.0,25200.0,,,,,,
2005-02-23,,,,,,,,,,,,,,,,,,,,,,,,,0.55,0.55,0.51,0.51,61.2,13500.0,,,,,,
2005-02-24,,,,,,,,,,,,,,,,,,,,,,,,,0.51,0.59,0.51,0.59,70.8,6500.0,,,,,,
2005-02-25,,,,,,,,,,,,,,,,,,,,,,,,,0.55,0.55,0.52,0.52,62.4,5000.0,,,,,,
2005-02-28,,,,,,,,,,,,,,,,,,,,,,,,,0.56,0.57,0.56,0.57,68.4,21500.0,,,,,,
2005-03-01,,,,,,,,,,,,,,,,,,,,,,,,,0.56,0.61,0.55,0.61,73.2,23000.0,,,,,,
2005-03-02,,,,,,,,,,,,,,,,,,,,,,,,,0.61,0.64,0.58,0.64,76.8,37700.0,,,,,,
