"Date","Price","Open","High","Low","Vol.","Change %"
"07/19/2023","278.76","280.59","281.30","278.62","","-0.74%"
"07/18/2023","280.85","279.37","281.59","278.76","","0.58%"
"07/17/2023","279.23","281.25","281.34","277.32","","-0.86%"
"07/14/2023","281.66","283.78","284.10","280.72","","-0.69%"
"07/13/2023","283.63","280.44","285.18","280.40","","1.24%"
"07/12/2023","280.15","279.27","281.27","277.98","","0.47%"
"07/11/2023","278.83","277.61","280.27","277.48","","0.58%"
"07/10/2023","277.22","274.69","277.61","274.42","","0.94%"
"07/07/2023","274.63","272.45","276.31","269.62","","0.82%"
"07/06/2023","272.39","275.89","275.96","269.31","","-1.34%"
"07/05/2023","276.08","277.32","277.33","274.87","","-0.45%"
"07/04/2023","277.34","276.35","277.90","276.08","","0.31%"
"07/03/2023","276.47","267.64","276.65","267.61","","3.35%"
"06/30/2023","267.52","262.99","268.17","262.73","","1.64%"
"06/29/2023","263.19","261.69","263.49","260.69","","0.65%"
"06/28/2023","261.50","262.12","263.71","260.94","","-0.27%"
"06/27/2023","262.21","259.62","262.26","259.21","","1.04%"
"06/26/2023","259.52","260.34","262.02","259.13","","-0.28%"
"06/23/2023","260.24","264.98","265.05","259.75","","-1.82%"
"06/22/2023","265.05","267.00","268.05","264.18","","-0.60%"
"06/21/2023","266.65","270.65","270.92","266.34","","-1.47%"
"06/20/2023","270.62","269.83","270.83","267.87","","0.30%"
"06/19/2023","269.82","273.35","273.50","269.49","","-1.32%"
"06/16/2023","273.44","272.44","274.84","272.05","","0.61%"
"06/15/2023","271.79","266.49","272.79","265.09","","1.83%"
"06/14/2023","266.92","267.92","269.85","265.38","","-0.45%"
"06/13/2023","268.12","264.00","268.12","262.91","","1.62%"
"06/12/2023","263.85","262.90","264.65","262.47","","0.38%"
"06/09/2023","262.85","261.03","264.61","260.97","","0.78%"
"06/08/2023","260.82","260.19","261.12","258.74","","0.13%"
"06/07/2023","260.49","261.76","263.27","259.88","","-0.35%"
"06/06/2023","261.41","260.05","262.20","258.73","","0.59%"
"06/05/2023","259.88","258.88","260.73","258.65","","0.29%"
"06/02/2023","259.14","251.90","259.56","251.83","","3.05%"
"06/01/2023","251.47","252.20","252.69","249.49","","-0.09%"
"05/31/2023","251.69","255.35","255.50","250.44","","-1.38%"
"05/30/2023","255.21","253.35","257.00","253.07","","0.72%"
"05/29/2023","253.39","253.97","255.85","253.03","","-0.24%"
"05/26/2023","254.00","254.48","255.05","252.43","","-0.25%"
"05/25/2023","254.62","258.20","258.21","253.44","","-1.38%"
"05/24/2023","258.18","260.62","261.49","256.87","","-1.00%"
"05/23/2023","260.79","261.50","262.44","259.28","","-0.21%"
"05/22/2023","261.35","259.34","261.94","258.19","","0.86%"
"05/19/2023","259.12","259.59","260.98","258.70","","-0.13%"
"05/18/2023","259.45","259.27","261.12","258.39","","0.13%"
"05/17/2023","259.12","258.21","259.65","257.07","","0.30%"
"05/16/2023","258.34","259.20","260.06","257.76","","-0.26%"
"05/15/2023","259.00","253.19","260.02","252.34","","2.20%"
"05/12/2023","253.42","256.52","258.33","252.63","","-1.27%"
"05/11/2023","256.68","253.30","257.50","253.27","","1.46%"
"05/10/2023","252.99","250.78","255.39","249.85","","0.88%"
"05/09/2023","250.78","251.07","251.94","248.86","","-0.14%"
"05/08/2023","251.14","249.03","251.46","248.86","","0.90%"
"05/05/2023","248.89","245.79","249.27","244.96","","1.30%"
"05/04/2023","245.69","246.01","247.15","245.15","","-0.14%"
"05/03/2023","246.04","245.52","247.95","244.73","","0.25%"
"05/02/2023","245.43","245.10","246.32","244.86","","0.05%"
"05/01/2023","245.32","247.67","248.56","244.72","","-0.99%"
"04/28/2023","247.77","247.78","249.80","246.50","","0.08%"
"04/27/2023","247.58","243.89","248.03","243.62","","1.45%"
"04/26/2023","244.05","241.65","244.98","239.46","","0.95%"
"04/25/2023","241.75","249.11","249.95","241.49","","-2.87%"
"04/24/2023","248.90","247.79","249.04","246.22","","0.51%"
"04/21/2023","247.63","254.81","255.57","246.93","","-2.89%"
"04/20/2023","255.01","261.59","261.61","254.45","","-2.56%"
"04/19/2023","261.71","263.35","264.43","261.29","","-0.62%"
"04/18/2023","263.35","261.94","265.51","261.93","","0.50%"
"04/17/2023","262.03","259.13","262.10","258.75","","1.00%"
"04/14/2023","259.43","255.49","261.09","255.20","","1.65%"
"04/13/2023","255.23","254.26","256.28","252.90","","0.46%"
"04/12/2023","254.06","257.14","257.52","254.05","","-1.17%"
"04/11/2023","257.07","254.18","257.41","254.14","","1.20%"
"04/10/2023","254.02","251.25","254.25","251.20","","1.14%"
"04/07/2023","251.15","250.64","251.74","250.33","","0.21%"
"04/06/2023","250.62","253.96","254.02","249.81","","-1.37%"
"04/05/2023","254.10","255.43","257.34","253.26","","-0.42%"
"04/04/2023","255.18","260.87","261.24","254.23","","-2.06%"
"04/03/2023","260.54","260.40","262.19","259.65","","-0.09%"
"03/31/2023","260.79","258.31","261.20","258.29","","1.01%"
"03/30/2023","258.18","257.08","259.65","256.64","","0.36%"
"03/29/2023","257.26","252.80","257.26","252.47","","1.81%"
"03/28/2023","252.69","249.84","254.31","249.84","","1.25%"
"03/27/2023","249.58","249.57","250.84","248.82","","0.01%"
"03/24/2023","249.56","250.54","250.71","247.57","","-0.56%"
"03/23/2023","250.96","248.52","253.44","248.08","","0.74%"
"03/22/2023","249.12","249.25","252.94","249.12","","0.46%"
"03/21/2023","247.99","243.86","248.51","243.09","","2.06%"
"03/20/2023","242.99","242.80","243.51","240.57","","0.05%"
"03/17/2023","242.88","244.74","245.78","241.72","","-0.31%"
"03/16/2023","243.62","243.61","244.09","241.41","","-0.45%"
"03/15/2023","244.73","248.47","250.26","243.32","","-0.98%"
"03/14/2023","247.16","249.54","249.54","244.28","","-1.49%"
"03/13/2023","250.89","250.65","252.55","248.04","","-0.34%"
"03/10/2023","251.74","255.00","255.30","250.75","","-1.99%"
"03/09/2023","256.86","260.65","261.73","256.55","","-1.28%"
"03/08/2023","260.18","260.72","260.78","258.71","","-0.71%"
"03/07/2023","262.04","267.18","268.22","261.07","","-2.18%"
"03/06/2023","267.88","267.13","269.78","265.35","","0.35%"
"03/03/2023","266.95","261.58","268.03","261.47","","2.10%"
"03/02/2023","261.46","264.04","264.63","258.60","","-0.89%"
"03/01/2023","263.80","263.07","267.04","262.84","","0.32%"
"02/28/2023","262.95","262.08","263.94","261.35","","0.69%"
"02/27/2023","261.14","259.76","261.88","257.42","","-0.05%"
"02/24/2023","261.27","265.15","266.62","259.74","","-1.34%"
"02/23/2023","264.83","263.37","264.96","262.28","","0.54%"
"02/22/2023","263.41","265.03","265.18","262.15","","-1.03%"
"02/21/2023","266.15","269.87","271.11","265.47","","-1.28%"
"02/20/2023","269.60","270.84","270.84","266.85","","-0.78%"
"02/17/2023","271.71","280.64","280.77","270.47","","-3.69%"
"02/16/2023","282.11","283.89","285.02","279.27","","-0.33%"
"02/15/2023","283.06","282.86","284.32","279.62","","0.01%"
"02/14/2023","283.03","283.16","283.74","279.80","","0.28%"
"02/13/2023","282.24","281.85","282.70","279.83","","0.09%"
"02/10/2023","281.98","286.52","286.52","280.23","","-1.75%"
"02/09/2023","287.00","285.71","290.59","284.71","","0.09%"
"02/08/2023","286.74","287.44","289.52","286.60","","0.09%"
"02/07/2023","286.48","285.50","287.16","283.90","","0.31%"
"02/06/2023","285.59","290.12","290.36","285.06","","-2.07%"
"02/03/2023","291.63","295.80","297.01","290.33","","-1.92%"
"02/02/2023","297.34","296.19","298.61","295.04","","0.90%"
"02/01/2023","294.70","289.91","296.89","289.91","","1.94%"
"01/31/2023","289.09","288.10","289.31","285.47","","-0.02%"
