Date,Close,lag_1_price,lag_1_log_return,lag_7_price,lag_7_log_return,lag_14_price,lag_14_log_return
2017-05-10,407.0,,,,,,
2017-05-11,407.0,407.0,0.0,,,,
2017-05-12,407.0,407.0,0.0,,,,
2017-05-15,402.0,,,,,,
2017-05-16,402.0,402.0,0.0,,,,
2017-05-17,402.0,402.0,0.0,407.0,-0.012361096823573975,,
2017-05-18,402.0,402.0,0.0,407.0,-0.012361096823573975,,
2017-05-19,402.0,402.0,0.0,407.0,-0.012361096823573975,,
2017-05-22,402.0,,,402.0,0.0,,
2017-05-23,402.0,402.0,0.0,402.0,0.0,,
2017-05-24,400.0,402.0,-0.004987541511039051,402.0,-0.004987541511039051,407.0,-0.017348638334612976
2017-05-25,397.0,400.0,-0.0075282664207915245,402.0,-0.012515807931830646,407.0,-0.024876904755404557
2017-05-26,397.0,397.0,0.0,402.0,-0.012515807931830646,407.0,-0.024876904755404557
2017-05-30,397.0,,,402.0,-0.012515807931830646,402.0,-0.012515807931830646
2017-05-31,393.0,397.0,-0.01012666881792916,400.0,-0.01765493523872071,402.0,-0.022642476749759777
2017-06-01,387.0,393.0,-0.015384918839479456,397.0,-0.02551158765740862,402.0,-0.03802739558923925
2017-06-02,387.0,387.0,0.0,397.0,-0.02551158765740862,402.0,-0.03802739558923925
2017-06-05,387.0,,,,,402.0,-0.03802739558923925
2017-06-06,387.0,387.0,0.0,397.0,-0.02551158765740862,402.0,-0.03802739558923925
2017-06-07,387.0,387.0,0.0,393.0,-0.015384918839479456,400.0,-0.033039854078200155
2017-06-08,387.0,387.0,0.0,387.0,0.0,397.0,-0.02551158765740862
2017-06-09,387.0,387.0,0.0,387.0,0.0,397.0,-0.02551158765740862
2017-06-12,387.0,,,387.0,0.0,,
2017-06-13,387.0,387.0,0.0,387.0,0.0,397.0,-0.02551158765740862
2017-06-14,387.0,387.0,0.0,387.0,0.0,393.0,-0.015384918839479456
2017-06-15,387.0,387.0,0.0,387.0,0.0,387.0,0.0
2017-06-16,387.0,387.0,0.0,387.0,0.0,387.0,0.0
2017-06-19,387.0,,,387.0,0.0,387.0,0.0
2017-06-20,387.0,387.0,0.0,387.0,0.0,387.0,0.0
2017-06-21,387.0,387.0,0.0,387.0,0.0,387.0,0.0
2017-06-22,387.0,387.0,0.0,387.0,0.0,387.0,0.0
2017-06-23,387.0,387.0,0.0,387.0,0.0,387.0,0.0
2017-06-26,387.0,,,387.0,0.0,387.0,0.0
2017-06-27,387.0,387.0,0.0,387.0,0.0,387.0,0.0
2017-06-28,387.0,387.0,0.0,387.0,0.0,387.0,0.0
2017-06-29,387.0,387.0,0.0,387.0,0.0,387.0,0.0
2017-06-30,387.0,387.0,0.0,387.0,0.0,387.0,0.0
2017-07-03,387.0,,,387.0,0.0,387.0,0.0
2017-07-04,387.0,387.0,0.0,387.0,0.0,387.0,0.0
2017-07-05,387.0,387.0,0.0,387.0,0.0,387.0,0.0
2017-07-06,387.0,387.0,0.0,387.0,0.0,387.0,0.0
2017-07-07,387.0,387.0,0.0,387.0,0.0,387.0,0.0
2017-07-10,387.0,,,387.0,0.0,387.0,0.0
