"Date","Price","Open","High","Low","Vol.","Change %"
"07/18/2023","1,930,000","1,930,000","1,940,000","1,920,000","","-2.53%"
"07/17/2023","1,980,000","1,980,000","1,990,000","1,970,000","","0.00%"
"07/14/2023","1,980,000","1,980,000","1,990,000","1,970,000","","0.00%"
"07/13/2023","1,980,000","1,980,000","1,990,000","1,970,000","","0.00%"
"07/12/2023","1,980,000","1,980,000","1,990,000","1,970,000","","0.00%"
"07/11/2023","1,980,000","1,980,000","1,990,000","1,970,000","","-1.49%"
"07/10/2023","2,010,000","2,010,000","2,020,000","2,000,000","","0.00%"
"07/07/2023","2,010,000","2,010,000","2,020,000","2,000,000","","-2.90%"
"07/06/2023","2,070,000","2,070,000","2,080,000","2,060,000","","-2.82%"
"07/05/2023","2,130,000","2,130,000","2,140,000","2,120,000","","-2.29%"
"07/04/2023","2,180,000","2,180,000","2,190,000","2,170,000","","0.00%"
"07/03/2023","2,180,000","2,180,000","2,190,000","2,170,000","","0.00%"
"06/30/2023","2,180,000","2,180,000","2,190,000","2,170,000","","0.00%"
"06/29/2023","2,180,000","2,180,000","2,190,000","2,170,000","","0.00%"
"06/28/2023","2,180,000","2,180,000","2,190,000","2,170,000","","0.00%"
"06/27/2023","2,180,000","2,180,000","2,190,000","2,170,000","","-1.36%"
"06/26/2023","2,210,000","2,210,000","2,220,000","2,200,000","","0.00%"
"06/21/2023","2,210,000","2,210,000","2,220,000","2,200,000","","-1.34%"
"06/20/2023","2,240,000","2,240,000","2,250,000","2,230,000","","0.00%"
"06/19/2023","2,240,000","2,240,000","2,250,000","2,230,000","","0.00%"
"06/16/2023","2,240,000","2,240,000","2,250,000","2,230,000","","-1.75%"
"06/15/2023","2,280,000","2,280,000","2,290,000","2,270,000","","0.00%"
"06/14/2023","2,280,000","2,280,000","2,290,000","2,270,000","","0.00%"
"06/13/2023","2,280,000","2,280,000","2,290,000","2,270,000","","0.00%"
"06/12/2023","2,280,000","2,280,000","2,290,000","2,270,000","","0.00%"
"06/09/2023","2,280,000","2,280,000","2,290,000","2,270,000","","0.00%"
"06/08/2023","2,280,000","2,280,000","2,290,000","2,270,000","","0.00%"
"06/07/2023","2,280,000","2,280,000","2,290,000","2,270,000","","0.00%"
"06/06/2023","2,280,000","2,280,000","2,290,000","2,270,000","","0.00%"
"06/05/2023","2,280,000","2,280,000","2,290,000","2,270,000","","0.00%"
"06/02/2023","2,280,000","2,280,000","2,290,000","2,270,000","","0.00%"
"06/01/2023","2,280,000","2,280,000","2,290,000","2,270,000","","0.00%"
"05/31/2023","2,280,000","2,280,000","2,290,000","2,270,000","","0.00%"
"05/30/2023","2,280,000","2,280,000","2,290,000","2,270,000","","0.00%"
"05/29/2023","2,280,000","2,280,000","2,290,000","2,270,000","","0.00%"
"05/26/2023","2,280,000","2,280,000","2,290,000","2,270,000","","0.00%"
"05/25/2023","2,280,000","2,280,000","2,290,000","2,270,000","","0.00%"
"05/24/2023","2,280,000","2,280,000","2,290,000","2,270,000","","0.00%"
"05/23/2023","2,280,000","2,280,000","2,290,000","2,270,000","","2.70%"
"05/22/2023","2,220,000","2,220,000","2,230,000","2,210,000","","2.78%"
"05/19/2023","2,160,000","2,160,000","2,170,000","2,150,000","","2.86%"
"05/18/2023","2,100,000","2,100,000","2,110,000","2,090,000","","0.48%"
"05/17/2023","2,090,000","2,090,000","2,100,000","2,080,000","","0.00%"
"05/16/2023","2,090,000","2,090,000","2,100,000","2,080,000","","0.48%"
"05/15/2023","2,080,000","2,080,000","2,090,000","2,070,000","","0.00%"
"05/12/2023","2,080,000","2,080,000","2,090,000","2,070,000","","0.00%"
"05/11/2023","2,080,000","2,080,000","2,090,000","2,070,000","","0.00%"
"05/10/2023","2,080,000","2,080,000","2,090,000","2,070,000","","0.00%"
"05/09/2023","2,080,000","2,080,000","2,090,000","2,070,000","","0.00%"
"05/08/2023","2,080,000","2,080,000","2,090,000","2,070,000","","0.00%"
"05/05/2023","2,080,000","2,080,000","2,090,000","2,070,000","","0.00%"
"05/04/2023","2,080,000","2,080,000","2,090,000","2,070,000","","0.00%"
"04/28/2023","2,080,000","2,080,000","2,090,000","2,070,000","","0.00%"
"04/27/2023","2,080,000","2,080,000","2,090,000","2,070,000","","0.00%"
"04/26/2023","2,080,000","2,080,000","2,090,000","2,070,000","","0.00%"
"04/25/2023","2,080,000","2,080,000","2,090,000","2,070,000","","0.00%"
"04/24/2023","2,080,000","2,080,000","2,090,000","2,070,000","","0.00%"
"04/21/2023","2,080,000","2,080,000","2,090,000","2,070,000","","0.00%"
"04/20/2023","2,080,000","2,080,000","2,090,000","2,070,000","","0.00%"
"04/19/2023","2,080,000","2,080,000","2,090,000","2,070,000","","0.00%"
"04/18/2023","2,080,000","2,080,000","2,090,000","2,070,000","","-0.48%"
"04/17/2023","2,090,000","2,090,000","2,100,000","2,080,000","","0.00%"
"04/14/2023","2,090,000","2,090,000","2,100,000","2,080,000","","0.00%"
"04/13/2023","2,090,000","2,090,000","2,100,000","2,080,000","","0.00%"
"04/12/2023","2,090,000","2,090,000","2,100,000","2,080,000","","-0.95%"
"04/11/2023","2,110,000","2,110,000","2,120,000","2,100,000","","0.00%"
"04/10/2023","2,110,000","2,110,000","2,120,000","2,100,000","","0.00%"
"04/07/2023","2,110,000","2,110,000","2,120,000","2,100,000","","0.00%"
"04/06/2023","2,110,000","2,110,000","2,120,000","2,100,000","","0.00%"
"04/04/2023","2,110,000","2,110,000","2,120,000","2,100,000","","0.00%"
