,dates,DocumentIdentifier
60,2015-03-25 00:30:00,http://www.whatech.com/market-research-reports/press-release/green-technology/49387-global-and-china-lithium-carbonate-industry-report-for-2014-published-by-leading-research-firm
61,2015-03-25 05:45:00,http://www.mining.com/web/will-graphite-lithium-cobalt-battery-revolution-come-simon-moores/
63,2015-03-25 19:45:00,http://etfdailynews.com/2015/03/25/tesla-motors-inc-tsla-where-will-the-graphite-lithium-and-cobalt-for-the-battery-revolution-come-from/
175,2016-01-21 02:30:00,http://finance.yahoo.com/news/lithium-carbonate-market-china-global-020000274.html
176,2016-01-21 02:30:00,http://www.thestreet.com/story/13430807/1/lithium-carbonate-market-china-and-global-2020-forecast-research-reports.html
177,2016-01-21 02:45:00,http://www.prnewswire.co.uk/news-releases/lithium-carbonate-market-china-and-global-2020-forecast-research-reports-566000391.html
178,2016-01-21 02:45:00,http://www.finanznachrichten.de/nachrichten-2016-01/36201999-lithium-carbonate-market-china-and-global-2020-forecast-research-reports-008.htm
179,2016-01-21 03:15:00,http://www.marketwatch.com/story/lithium-carbonate-market-china-and-global-2020-forecast-research-reports-2016-01-20
184,2016-01-22 16:30:00,http://www.finanznachrichten.de/nachrichten-2016-01/36223744-global-and-chinese-lithium-carbonate-industry-report-2016-008.htm
185,2016-01-22 17:15:00,http://www.prnewswire.co.uk/news-releases/global-and-chinese-lithium-carbonate-industry-report-2016-566202741.html
207,2016-02-02 11:45:00,http://www.indmin.com/Article/3525993/Albemarle-to-produce-70000-tpa-lithium-carbonate-in-Chile-under-new-deal.html
349,2016-04-07 01:30:00,http://investingnews.com/daily/resource-investing/energy-investing/lithium-investing/lithium-carbonate-lithium-hydroxide-nemaska-lithium/
378,2016-04-15 15:00:00,http://investorintel.com/technology-metals-intel/cheap-lithium-ion-batteries-for-evs-vs-the-cobalt-cliff/
397,2016-04-21 13:00:00,http://www.prnewswire.com/news-releases/lithium-sets-itself-apart-in-mining-sector-as-lithium-production-surges-on-rapidly-increasing-demand-company-expands-operations-at-recently-acquired-nevada-project-576540631.html
478,2016-05-20 18:15:00,http://investorintel.com/technology-metals-intel/petersen-critiques-teslas-cobalt-lithium-and-graphite-disclosure-for-ev-batteries/
489,2016-05-23 11:30:00,http://seekingalpha.com/article/3976986-lithium-ion-battery-trifecta-selecting-best-lithium-cobalt-graphite-miners
580,2016-06-10 20:15:00,https://www.yahoo.com/news/whats-behind-surge-lithium-etf-192007749.html
