,Organizations,Country,Value
2, aben resources ltd,CAN,468
5, aberdeen international inc,ARG,360
20, abn amro bank n.v,AUS,44
42, accent group ltd,USA,18
48, accenture plc,IND,108
61, accrol group hldgs -001,USA,69
71, acelrx pharmaceuticals inc,USA,13
77, acme lithium inc,USA,126
78, adavale resources limited,AUS,107
91, adcore inc,USA,39
103, adidas ag,CHN,26
116, adobe systems incorporated,IND,32
120, adriatic metals plc,CHN,37
140, ads maritime holding plc,USA,25
144, adyton resources corporation,CAN,54
157, aeon metals ltd.,AUS,1746
195, aeris resources ltd,AUS,16
203, aerovironment inc,USA,84
206, africa oil corp,MMR,24
211, african gold acquisition corp,CHN,54
228, afritin mining limited,CHN,116
270, agilent technologies inc,CHN,473
320, agnico eagle mines limited,USA,153
323, agraflora organics international inc,CAN,19
331, aion therapeutic inc,CAN,26
340, air canada,CAN,16
347, air china limited,CHN,19
382, airbus group se,USA,458
384, aker solutions asa,CAN,23
391, akzo nobel n.v,USA,39
401, albany international corporation,AUS,13
483, albemarle corp,USA,13158
498, alberta star dev,MEX,216
505, alchemy resources limited,AUS,1599
562, alcoa corp,USA,121
568, alelion energy systems ab,SWE,10
569, alexium international group limited,AUS,18
581, algernon pharmaceuticals inc,CAN,69
599, algonquin power utilities corp,SWE,225
602, alibaba group holding ltd,CHN,67
607, alita resources limited,AUS,166
638, alkaline fuel cell power corp.,USA,87
641, alkane resources limited,AUS,42
654, alkemy capital investments plc,GBR,38
662, allergy therapeutics plc,AUS,10
669, alliance mining corp.,CAN,20
678, allkem limited,AUS,429
709, allkem ltd,AUS,499
730, almaden minerals ltd,MEX,27
733, almadex minerals ltd,MEX,27
741, almonty industries inc,USA,75
742, alpha lithium corporation,ARG,415
767, alphabet inc class c,CHL,205
786, alstom pk,USA,19
791, altair international corp,USA,71
798, altaley mining corporation,USA,21
801, altamira gold corp,CAN,21
820, alternet systems inc,USA,49
824, alternus energy group plc,CAN,51
837, altius minerals corporation,AUS,58
846, altura mining limited,AUS,1161
886, aluminum corporation of china limited,CAN,29
903, amara raja batteries ltd.,IND,173
927, amaroq minerals ltd.,USA,84
930, ambac financial group inc,ARG,39
971, american airlines group,USA,127
981, american battery metals corp usd,USA,594
985, american eagle gold corp,CAN,100
1039, american express company,USA,30
1042, american international ventures inc,AUS,10
1104, american lithium corp. common stock,USA,8934
1132, american lithium minerals inc,USA,505
1161, american manganese inc,USA,164
1167, american potash corp.,USA,119
1177, american rare earths limited,USA,40
1199, american resources corp class a,USA,302
1203, americas car-mart inc,CAN,81
1211, americas silver corp,GBR,48
1231, ameriprise financial inc,USA,16
1235, ameriwest lithium inc,USA,140
1240, ametek inc,USA,39
1241, amex exploration inc,CAN,271
1245, ampd ventures inc,USA,11
1252, amur minerals corporation,AUS,80
1304, anglesey mining,GBR,111
1335, anglo american platinum limited,ZAF,99
1368, anglo american plc,USA,101
1381, anglo asian mining plc,CHN,259
1446, anglogold ashanti ltd adr,GHA,216
1464, anson resources limited,AUS,1867
1503, antler gold inc,CAN,26
1512, antofagasta plc,CHL,1739
1551, apogee enterprises inc,AUS,13
1563, apollo minerals,USA,35
1592, apple inc,USA,178
1602, applied materials inc,USA,40
1607, aqua metals inc,USA,129
1621, aquis exchange plc,GBR,60
1626, arafura resources ltd,AUS,38
1633, arbor metals corp,CAN,150
1651, arc minerals limited,ZMB,60
1656, arcadia minerals cdi/1:1,AUS,1822
1695, arconic corp,USA,18
1701, arctic minerals ab sk 2,RUS,18
1704, arctic star exploration corp,ARG,17
1710, ardea resources limited,AUS,167
1723, ardiden limited,AUS,1786
1795, arena minerals inc,USA,857
1797, ares management lp,AUS,12
1802, ares strategic mining inc,USA,123
1803, argentina lithium & energy corp,ARG,30
1814, argonaut gold inc,USA,15
1818, argosy minerals limited,AUS,3467
1869, argus shanghai textile chemicals co ltd,CAN,40
1876, arian silver corporation,MEX,31
1884, ariana resources plc,CHN,92
1916, arianne phosphate inc,CHN,16
1925, arista networks,SGP,12
1933, arizona lithium limited,AUS,1696
1984, arkle resources plc,ZMB,40
2012, arrow exploration corp,USA,106
2024, arrow minerals ltd,USA,121
2025, artemis resources limited,AUS,18
2032, artemis resources ltd,USA,56
2037, aruma resources ltd,AUS,1783
2075, arway corporation,BOL,18
2084, asahi kasei corporation,JPN,40
2088, ascendant resources inc,CAN,19
2099, ashland global holdings inc,CHN,32
2114, ashok leyland ltd.,IND,140
2125, asia broadband inc,CHN,30
2132, asiamet resources limited,MLI,43
2151, asics corporation,GBR,17
2161, asimilar group plc,GBR,25
2174, assa abloy ab (publ),USA,17
2176, aston minerals ltd,AUS,162
2182, astra exploration inc.,ARG,27
2194, astrazeneca plc adr,CHN,160
2242, atlantic lithium ltd,GHA,1111
2268, atlas lithium corporation common stock,BRA,292
2287, atlas technical consultants inc,USA,59
2293, audio pixels holdings ltd adr,AUS,18
2302, augusta gold corp,USA,18
2303, auking mining ltd,AUS,107
2313, aura energy limited,CHN,197
2346, aurcana corp,CAN,17
2349, aurcrest gold inc,CAN,27
2361, aurelius minerals inc,CAN,63
2374, auroch minerals limited,AUS,1599
2416, aurora energy metals ltd,USA,35
2420, aurora solar technologies inc,USA,17
2421, ausquest ltd,AUS,44
2422, austar lifesciences ltd,AUS,10
2433, austral gold limited,FIN,129
2447, australasian metals ltd,GBR,56
2467, australian agricultural company limited,BRA,136
2474, australian mines limited,AUS,169
2491, australian strategic materials ltd,AUS,40
2496, australian vanadium limited,AUS,153
2529, australis capital inc,USA,144
2531, autonation inc,USA,32
2536, autoscope technologies corp,CHN,85
2546, auxico resources canada inc,CAN,32
2557, avacta group plc,GBR,12
2563, avalon advanced materials inc,CAN,269
2572, avalon globocare corp.,CAN,18
2585, avarone metals inc,USA,193
2592, avicanna inc,CAN,44
2602, avidian gold corp,CAN,44
2605, avz minerals limited,AUS,16
2611, axion power international inc,CHN,18
2629, ayurcann holdings corp,CAN,81
2644, azimut exploration inc,CAN,368
2651, aztec minerals corp,USA,65
2652, azucar minerals ltd,CAN,18
2659, azure minerals limited,AUS,247
2687, b communications ltd,USA,1078
2694, baader bank,USA,17
2702, bajaj auto ltd,IND,33
2709, baker hughes co,USA,117
2717, balincan international inc,USA,184
2720, ball corporation,USA,356
2729, ballard power systems inc,USA,111
2735, baltic classifieds group plc,GBR,27
2747, bandwidth inc,USA,356
2755, bangchak corp. -fgn- ba 1,USA,68
2756, bangchak corporation public company limited,ARG,44
2773, banxa holdings inc,USA,56
2775, banyan gold corp,CAN,48
2798, barclays plc,USA,52
2804, barrel energy inc,USA,134
2809, barrick gold corp,CAN,639
2849, baselode energy corp,ARG,16
2855, basf se adr,USA,39
2868, battery future acquisition corp,CHN,102
2889, battery minerals limited,AUS,46
2906, bcb bancorp inc,USA,341
2907, beach energy ltd,AUS,17
2919, bega cheese limited,AUS,13
2922, bell copper corporation,USA,19
2923, bellevue gold limited,AUS,19
2927, bellrock brands inc,CAN,16
2943, belmont resources inc,USA,320
2947, bemetals corp,CHN,71
2972, bens creek group plc,AUS,16
2982, benton resources inc,CAN,846
2993, benz mining corp,CAN,13
2997, beowulf mining,CHN,125
3044, berkeley energia limited,USA,29
3057, berkeley energy ltd,USA,52
3078, berkshire hathaway inc,USA,1068
3087, best buy co inc,USA,39
3101, bezant resources plc,USA,18
3105, bhang inc,CAN,23
3118, bharat heavy electricals limited,IND,84
3127, bharat petroleum corporation ltd.,IND,10
3138, big lots inc,USA,32
3141, big ridge gold corp,CAN,70
3157, biocept inc,CAN,54
3190, bioharvest sciences inc,USA,116
3192, biolargo inc,CAN,19
3199, biomark diagnostics inc,CAN,10
3213, biosig technologies inc,CAN,144
3242, biovaxys technology corp,USA,95
3245, bioxyne ltd,AUS,44
3255, biztech konsulting sa,CHN,18
3276, blackberry limited,SWE,283
3287, blackberry ltd,USA,91
3289, blackearth minerals nl,AUS,222
3331, blackrock capital allocation trust,MEX,846
3356, blackrock silver corp,USA,249
3358, blackrock world mining trust plc,AUS,58
3366, blackstone minerals ltd,AUS,210
3383, blaze international ltd,AUS,28
3392, block energy plc,GBR,19
3435, bloom energy corp,USA,32
3452, blue energy limited,USA,20
3467, blue sky uranium corp,USA,39
3468, blue star helium ltd,AUS,116
3489, bluejay mining plc,GBR,64
3512, bluerock diamonds plc,PRT,11
3518, bluerush inc.,CAN,58
3591, bmw industries ltd.,USA,2157
3598, boadicea resources ltd,AUS,22
3607, boise cascade,USA,14
3610, boku inc,GBR,17
3616, bombardier inc a,CAN,48
3624, bonhill group plc,GBR,30
3630, border petroleum limited,CAN,12
3635, borgwarner inc,AUS,20
3658, boss energy ltd.,CHN,30
3667, boston scientific corp,USA,32
3672, bp plc adr,IND,53
3682, bradda head holdings ltd,USA,97
3718, bradda head lithium limited,USA,2629
3722, brainchip holdings ltd,AUS,47
3750, brandshield systems plc,USA,36
3751, brascan gold inc.,BRA,41
3755, braveheart investment group,AUS,10
3764, braxia scientific corp,CAN,21
3770, breville group limited,AUS,27
3778, bridgeline digital inc,CAN,108
3797, brigadier gold limited,CAN,85
3801, brightrock gold corp,USA,144
3812, brinker international inc,USA,10
3831, bristol-myers squibb company,USA,16
3832, brixton metals corporation,CAN,255
3854, broadcom inc,USA,32
3857, broadridge financial solutions inc,AUS,24
3861, brookfield asset management inc,CAN,17
3863, brookside energy ltd,AUS,28
3881, brunswick exploration inc.,CAN,274
3891, bryah resources limited,AUS,2106
3934, bt group plc,AUS,11
3941, bulletin resources limited,AUS,1686
3981, bullion gold resources corp,USA,43
3982, burberry group plc,CHN,25
3988, burcon nutrascience corp,CAN,30
