,IB_Currency,IB_longName,IB_marketName,IB_isin,Origin_Name,Origin_Stock,Origin_Country,Origin_Currency
0,AUD,1ST GROUP LTD,1ST,AU0000001ST0,1ST GROUP LTD,1ST,Australia,AUD
1,USD,2U INC,NMS,US90214J1016,2U INC,TWOU,United States of America,USD
2,USD,3DX INDUSTRIES INC,CURRENT,US88556A1007,3DX INDUSTRIES INC,DDDX,United States of America,USD
3,USD,3M CO,MMM,US88579Y1010,3M CO,MMM,Mexico,
4,AUD,88 ENERGY LTD,88E,AU00000088E2,88 ENERGY LTD,88E,United Kingdom,GBP
5,USD,A CLASSIFIED AD INC,AQFD,US00089Y1091,A CLASSIFIED AD INC,AQFD,,USD
6,USD,A P MOLLER-MAERSK-B-UNSP ADR,LIMITED,US00202F1021,A P MOLLER-MAERSK-B-UNSP ADR,AMKBY,United States of America,USD
7,EUR,A TOUTE VITESSE-ATV,MLATV,FR0010050773,A TOUTE VITESSE-ATV,MLATV,France,EUR
8,USD,A-MARK PRECIOUS METALS INC,NMS,US00181T1079,A-MARK PRECIOUS METALS INC,AMRK,United States of America,USD
9,EUR,A-TEC INDUSTRIES AG,AKH,AT0000A1ZH55,A-TEC INDUSTRIES AG,AKH,,EUR
10,HKD,AAC TECHNOLOGIES HOLDINGS IN,2018,KYG2953R1149,AAC TECHNOLOGIES HOLDINGS IN,2018,Hong Kong,HKD
11,HKD,AAG ENERGY HOLDINGS LTD,2686,KYG000371040,AAG ENERGY HOLDINGS LTD,2686,Hong Kong,HKD
12,USD,AAON INC,NMS,US0003602069,AAON INC,AAON,United States of America,USD
13,USD,AAREAL BANK AG-UNSPON ADR,CURRENT,US00254K1088,AAREAL BANK AG-UNSPON ADR,AAALY,United States of America,USD
14,INR,AARON INDUSTRIES LTD,AARON,INE721Z01010,AARON INDUSTRIES LTD,AARON,India,INR
15,INR,AARTI DRUGS LIMITED,AARTIDRUG,INE767A01016,AARTI DRUGS LIMITED,AARTIDRUG,India,INR
16,INR,AARTI INDUSTRIES LIMITED,AARTIIND,INE769A01020,AARTI INDUSTRIES LIMITED,AARTIIND,India,INR
17,INR,AAVAS FINANCIERS LTD,AAVAS,INE216P01012,AAVAS FINANCIERS LTD,AAVAS,India,INR
18,GBP,AB DYNAMICS PLC,ASQ1,GB00B9GQVG73,AB DYNAMICS PLC,ABDP,United Kingdom,GBP
19,USD,AB INTERNATIONAL GROUP CORP,CURRENT,US00083U2024,AB INTERNATIONAL GROUP CORP,ABQQ,United States of America,USD
20,USD,AB&T FINANCIAL CORP,CURRENT,US00037W1062,AB&T FINANCIAL CORP,ABTO,United States of America,USD
21,AUD,ABACUS PROPERTY GROUP,ABP,AU000000ABP9,ABACUS PROPERTY GROUP,ABP,Australia,AUD
22,USD,ABAKAN INC,ABKI,US00258J1079,ABAKAN INC,ABKI,,USD
23,INR,ABAN OFFSHORE LIMITED,ABAN,INE421A01028,ABAN OFFSHORE LIMITED,ABAN,India,INR
24,USD,ABATTIS BIOCEUTICALS CORP,NOINFO,CA00258G1037,ABATTIS BIOCEUTICALS CORP,ATTBF,United States of America,USD
25,USD,ABAXIS INC,ABAX,US0025671050,ABAXIS INC,ABAX,,USD
26,INR,ABB INDIA LTD,ABB,INE117A01022,ABB INDIA LTD,ABB,India,INR
27,CAD,ABBA MEDIX GROUP INC,ABA,CA00258L1022,ABBA MEDIX GROUP INC,ABA,Canada,CAD
28,INR,ABBOTT INDIA LTD,ABBOTINDI,INE358A01014,ABBOTT INDIA LTD,ABBOTINDI,India,INR
29,USD,ABBVIE INC,ABBV,US00287Y1091,ABBVIE INC,ABBV,Mexico,USD
30,USD,ABBY INC,NOINFO,US00287T3086,ABBY INC,ABBY,United States of America,USD
31,JPY,ABC-MART INC,2670,JP3152740001,ABC-MART INC,2670,Japan,JPY
32,USD,ABCO ENERGY INC,CURRENT,US00287V4023,ABCO ENERGY INC,ABCE,United States of America,USD
33,USD,ABCOURT MINES INC -CL B,CURRENT,CA00288E3005,ABCOURT MINES INC -CL B,ABMBF,United States of America,USD
34,USD,ABEN RESOURCES LTD,CURRENT,CA00289T3064,ABEN RESOURCES LTD,ABNAF,United States of America,USD
35,USD,ABEONA THERAPEUTICS INC,SCM,US00289Y2063,ABEONA THERAPEUTICS INC,ABEO,United States of America,USD
36,USD,ABERDEEN GREATER CHINA FUND,GCH,US0030311015,ABERDEEN GREATER CHINA FUND,GCH,,USD
37,USD,ABERDEEN INDONESIA FUND INC,IF,US00305P1066,ABERDEEN INDONESIA FUND INC,IF,,USD
38,USD,ABERDEEN INTERNATIONAL INC.,CURRENT,CA0030691012,ABERDEEN INTERNATIONAL INC.,AABVF,United States of America,USD
39,USD,ABERDEEN ISRAEL FUND INC,ISL,US00301L1098,ABERDEEN ISRAEL FUND INC,ISL,,USD
40,GBP,ABERDEEN NEW THAI INV TR-ORD,ANW,GB0000059971,ABERDEEN NEW THAI INV TR-ORD,ANW,United Kingdom,GBP
41,GBP,ABERFORTH SMALLER COS-ORD,STMM,GB0000066554,ABERFORTH SMALLER COS-ORD,ASL,United Kingdom,GBP
42,GBP,ABERFORTH SPLIT LEVEL INCOME,SSQ3,GB00BYPBD519,ABERFORTH SPLIT LEVEL INCOME,ASIZ,United Kingdom,GBP
43,ILS,ABILITY INC,ABIL,KYG8789K1242,ABILITY INC,ABIL,Israel,ILS
44,USD,ABIOMED INC,NMS,US0036541003,ABIOMED INC,ABMD,Germany,
45,CAD,ABITIBI ROYALTIES INC,RZZ,CA0036841074,ABITIBI ROYALTIES INC,RZZ,Canada,CAD
46,USD,ABLE ENERGY INC,ABLE,US0037091024,ABLE ENERGY INC,ABLE,,USD
47,HKD,ABLE ENGINEERING HOLDINGS LT,1627,KYG0R8151046,ABLE ENGINEERING HOLDINGS LT,1627,Hong Kong,HKD
48,USD,ABM INDUSTRIES INC,ABM,US0009571003,ABM INDUSTRIES INC,ABM,United States of America,USD
49,EUR,ABN AMRO BANK NV-CVA,ABN,NL0011540547,ABN AMRO BANK NV-CVA,ABN,Netherlands,EUR
50,EUR,ABO GROUP ENVIRONMENT,THEB,BE0974278104,ABO GROUP ENVIRONMENT,ABO,Belgium,EUR
51,USD,ABOITIZ EQUITY VENTURES-ADR,LIMITED,US0037253061,ABOITIZ EQUITY VENTURES-ADR,ABTZY,United States of America,USD
52,SGD,ABR HOLDINGS LTD,533,SG0533000253,ABR HOLDINGS LTD,533,Singapore,SGD
53,USD,ABRAXAS PETROLEUM CORP,PRIMQX,US0038303048,ABRAXAS PETROLEUM CORP,AXAS,Germany,USD
54,ZAR,ABSA GROUP LTD,ABG,ZAE000255915,ABSA GROUP LTD,ABG,South Africa,ZAR
55,GBP,ABSOLUTE RETURN TRUST LTD,ABRL,GG00BCCW5806,ABSOLUTE RETURN TRUST LTD,ABRL,,GBP
56,SGD,ABTERRA LTD,L5I,SG2C12961455,ABTERRA LTD,L5I,Singapore,SGD
57,SGD,ABUNDANCE INTERNATIONAL LTD,541,SG1I02877971,ABUNDANCE INTERNATIONAL LTD,541,Singapore,SGD
58,USD,AC ENERGY INC,ACEN,US00389M1027,AC ENERGY INC,ACEN,,USD
59,USD,AC IMMUNE SA,NMS,CH0329023102,AC IMMUNE SA,ACIU,United States of America,USD
60,USD,ACACIA COMMUNICATIONS INC,ACIA,US00401C1080,ACACIA COMMUNICATIONS INC,ACIA,United States of America,USD
61,USD,ACACIA DIVERSIFIED HOLDINGS,NOINFO,US00389L1044,ACACIA DIVERSIFIED HOLDINGS,ACCA,United States of America,USD
62,GBP,ACACIA MINING PLC,ACA,GB00B61D2N63,ACACIA MINING PLC,ACA,,GBP
63,EUR,ACACIA PHARMA GROUP PLC,ACPH,GB00BYWF9Y76,ACACIA PHARMA GROUP PLC,ACPH,Belgium,EUR
64,USD,ACACIA RESEARCH CORP,NMS,US0038813079,ACACIA RESEARCH CORP,ACTG,United States of America,USD
65,AUD,ACADEMIES AUSTRALASIA GROUP,AKG,AU000000AKG9,ACADEMIES AUSTRALASIA GROUP,AKG,Australia,AUD
66,USD,ACADIA HEALTHCARE CO INC,NMS,US00404A1097,ACADIA HEALTHCARE CO INC,ACHC,United States of America,USD
67,USD,ACADIA PHARMACEUTICALS INC,NMS,US0042251084,ACADIA PHARMACEUTICALS INC,ACAD,United States of America,USD
68,USD,ACADIA REALTY TRUST,AKR,US0042391096,ACADIA REALTY TRUST,AKR,United States of America,USD
69,CAD,ACADIAN TIMBER CORP,ADN,CA0042721005,ACADIAN TIMBER CORP,ADN,Canada,CAD
70,USD,ACASTI PHARMA INC,SCM,CA00430K8730,ACASTI PHARMA INC,ACST,United States of America,USD
71,USD,ACCELERA INNOVATIONS INC,NOINFO,US00434W1053,ACCELERA INNOVATIONS INC,ACNV,United States of America,USD
72,USD,ACCELERON PHARMA INC,XLRN,US00434H1086,ACCELERON PHARMA INC,XLRN,United States of America,USD
73,CAD,ACCELEWARE LTD,AXE,CA00433V1085,ACCELEWARE LTD,AXE,Canada,CAD
74,EUR,ACCELL GROUP,ACCEL,NL0009767532,ACCELL GROUP,ACCEL,Netherlands,EUR
75,USD,ACCELPATH INC,ACLP,US00433U2096,ACCELPATH INC,ACLP,,USD
76,INR,ACCELYA SOLUTIONS INDIA LTD,ACCELYA,INE793A01012,ACCELYA SOLUTIONS INDIA LTD,ACCELYA,India,INR
77,AUD,ACCENT GROUP LTD,AX1,AU000000AX19,ACCENT GROUP LTD,AX1,Australia,AUD
78,USD,ACCENTIA BIOPHARMACEUTICALS,ABPI,US00430L1035,ACCENTIA BIOPHARMACEUTICALS,ABPI,,USD
79,JPY,ACCESS CO LTD,4813,JP3108060009,ACCESS CO LTD,4813,Japan,JPY
80,JPY,ACCESS GROUP HOLDINGS CO LTD,7042,JP3108190004,ACCESS GROUP HOLDINGS CO LTD,7042,Japan,JPY
81,USD,ACCESS-POWER & CO INC,LIMITED,US00431N1081,ACCESS-POWER & CO INC,ACCR,United States of America,USD
82,GBP,ACCESSO TECHNOLOGY GROUP PLC,AMSM,GB0001771426,ACCESSO TECHNOLOGY GROUP PLC,ACSO,United Kingdom,GBP
83,GBP,ACCIDENT EXCHANGE GROUP PLC,ACE,GB00B00LL325,ACCIDENT EXCHANGE GROUP PLC,ACE,,GBP
84,EUR,ACCIONA SA,ANA,ES0125220311,ACCIONA SA,ANA,Spain,EUR
85,USD,ACCO BRANDS CORP,ACCO,US00081T1088,ACCO BRANDS CORP,ACCO,United States of America,USD
86,MXN,ACCOR SA,ACCN,FR0000120404,ACCOR SA,ACCN,Mexico,MXN
87,CAD,ACCORD FINANCIAL CORP,ACD,CA00435L1085,ACCORD FINANCIAL CORP,ACD,Canada,CAD
88,JPY,ACCRETE INC,4395,JP3108180005,ACCRETE INC,4395,Japan,JPY
89,GBP,ACCROL GROUP HOLDINGS PLC,AMSM,GB00BZ6VT592,ACCROL GROUP HOLDINGS PLC,ACRL,United Kingdom,GBP
90,EUR,ACCSYS TECHNOLOGIES PLC,AXS,GB00BQQFX454,ACCSYS TECHNOLOGIES PLC,AXS,Netherlands,GBP
91,INR,ACCURACY SHIPPING LTD,ACCURACY,INE648Z01015,ACCURACY SHIPPING LTD,ACCURACY,India,INR
92,USD,ACCURAY INC,NMS,US0043971052,ACCURAY INC,ARAY,Germany,USD
93,USD,ACCURIDE CORP,ACW,US00439T2069,ACCURIDE CORP,ACW,,USD
94,INR,ACE INTEGRATED SOLUTIONS LTD,ACEINTEG,INE543V01017,ACE INTEGRATED SOLUTIONS LTD,ACEINTEG,India,INR
95,USD,ACELRX PHARMACEUTICALS INC,NMS,US00444T1007,ACELRX PHARMACEUTICALS INC,ACRX,United States of America,USD
