"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","519,500.00","519,500.00","522,000.00","517,000.00","","-0.57%"
"12/29/2022","522,500.00","522,500.00","525,000.00","520,000.00","","-0.95%"
"12/28/2022","527,500.00","527,500.00","530,000.00","525,000.00","","-0.94%"
"12/27/2022","532,500.00","532,500.00","535,000.00","530,000.00","","-0.75%"
"12/26/2022","536,500.00","536,500.00","539,000.00","534,000.00","","-0.19%"
"12/23/2022","537,500.00","537,500.00","540,000.00","535,000.00","","-1.83%"
"12/22/2022","547,500.00","547,500.00","550,000.00","545,000.00","","0.00%"
"12/21/2022","547,500.00","547,500.00","550,000.00","545,000.00","","-0.90%"
"12/20/2022","552,500.00","552,500.00","555,000.00","550,000.00","","-0.18%"
"12/19/2022","553,500.00","553,500.00","556,000.00","551,000.00","","-0.18%"
"12/16/2022","554,500.00","554,500.00","557,000.00","552,000.00","","-1.42%"
"12/15/2022","562,500.00","562,500.00","565,000.00","560,000.00","","0.00%"
"12/14/2022","562,500.00","562,500.00","565,000.00","560,000.00","","-0.18%"
"12/13/2022","563,500.00","563,500.00","566,000.00","561,000.00","","-0.70%"
"12/12/2022","567,500.00","567,500.00","570,000.00","565,000.00","","-0.18%"
"12/09/2022","568,500.00","568,500.00","571,000.00","566,000.00","","-0.52%"
"12/08/2022","571,500.00","571,500.00","574,000.00","569,000.00","","0.00%"
"12/07/2022","571,500.00","571,500.00","574,000.00","569,000.00","","-0.17%"
"12/06/2022","572,500.00","572,500.00","575,000.00","570,000.00","","-0.87%"
"12/05/2022","577,500.00","577,500.00","580,000.00","575,000.00","","0.00%"
"12/02/2022","577,500.00","577,500.00","580,000.00","575,000.00","","0.00%"
"12/01/2022","577,500.00","577,500.00","580,000.00","575,000.00","","0.00%"
"11/30/2022","577,500.00","577,500.00","580,000.00","575,000.00","","0.00%"
"11/29/2022","577,500.00","577,500.00","580,000.00","575,000.00","","0.00%"
"11/28/2022","577,500.00","577,500.00","580,000.00","575,000.00","","0.00%"
"11/25/2022","577,500.00","577,500.00","580,000.00","575,000.00","","-0.86%"
"11/24/2022","582,500.00","582,500.00","585,000.00","580,000.00","","-1.35%"
"11/23/2022","590,500.00","590,500.00","593,000.00","588,000.00","","-0.17%"
"11/22/2022","591,500.00","591,500.00","594,000.00","589,000.00","","0.00%"
"11/21/2022","591,500.00","591,500.00","594,000.00","589,000.00","","0.00%"
"11/18/2022","591,500.00","591,500.00","594,000.00","589,000.00","","-0.17%"
"11/17/2022","592,500.00","592,500.00","595,000.00","590,000.00","","0.00%"
"11/16/2022","592,500.00","592,500.00","595,000.00","590,000.00","","-0.34%"
