Date,Open_SLI.US,High_SLI.US,Low_SLI.US,Close_SLI.US,Adjusted_close_SLI.US,Volume_SLI.US,Open_ALB.US,High_ALB.US,Low_ALB.US,Close_ALB.US,Adjusted_close_ALB.US,Volume_ALB.US,Open_SQM.US,High_SQM.US,Low_SQM.US,Close_SQM.US,Adjusted_close_SQM.US,Volume_SQM.US,Open_1772.Hk,High_1772.Hk,Low_1772.Hk,Close_1772.Hk,Adjusted_close_1772.Hk,Volume_1772.Hk,Open_002466.SHE,High_002466.SHE,Low_002466.SHE,Close_002466.SHE,Adjusted_close_002466.SHE,Volume_002466.SHE,Open_LTHM.US,High_LTHM.US,Low_LTHM.US,Close_LTHM.US,Adjusted_close_LTHM.US,Volume_LTHM.US,Open_PLL.US,High_PLL.US,Low_PLL.US,Close_PLL.US,Adjusted_close_PLL.US,Volume_PLL.US,Open_LAC.US,High_LAC.US,Low_LAC.US,Close_LAC.US,Adjusted_close_LAC.US,Volume_LAC.US,Open_ORE.AU,High_ORE.AU,Low_ORE.AU,Close_ORE.AU,Adjusted_close_ORE.AU,Volume_ORE.AU,Open_GALXF.US,High_GALXF.US,Low_GALXF.US,Close_GALXF.US,Adjusted_close_GALXF.US,Volume_GALXF.US,Open_ENS.US,High_ENS.US,Low_ENS.US,Close_ENS.US,Adjusted_close_ENS.US,Volume_ENS.US,Open_VUL.AU,High_VUL.AU,Low_VUL.AU,Close_VUL.AU,Adjusted_close_VUL.AU,Volume_VUL.AU,Open_EMHLF.US,High_EMHLF.US,Low_EMHLF.US,Close_EMHLF.US,Adjusted_close_EMHLF.US,Volume_EMHLF.US,Open_CRE.V,High_CRE.V,Low_CRE.V,Close_CRE.V,Adjusted_close_CRE.V,Volume_CRE.V
2005-01-03,,,,,,,39.01,39.03,37.92,38.05,14.6248,366000.0,62.8575,63.3673,62.1948,62.1948,3.2259,75545.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.0,154.3,150.0,153.2,13.8782,248200.0,,,,,,,,,,,,,,,,,,
2005-01-04,,,,,,,38.05,38.05,36.4,36.5,14.0291,468000.0,62.1948,62.1948,60.0128,60.0128,3.1127,66480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.2,154.8,148.3,150.7,13.6517,79800.0,,,,,,,,,,,,,,,,,,
2005-01-05,,,,,,,36.3,36.47,35.62,35.62,13.6909,594200.0,59.6458,60.8591,59.6458,60.2677,3.126,266927.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.4,150.4,142.5,142.7,12.927,26400.0,,,,,,,,,,,,,,,,,,
2005-01-06,,,,,,,35.62,36.36,34.32,36.31,13.9561,1526600.0,60.5125,60.6144,60.1454,60.1658,3.1207,39284.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.1,143.3,141.0,141.0,12.773,15600.0,,,,,,,,,,,,,,,,,,
2005-01-07,,,,,,,36.31,36.85,35.75,36.44,14.006,910200.0,60.1556,60.1556,59.6479,59.9211,3.108,83604.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.0,141.0,136.5,137.6,12.465,30200.0,,,,,,,,,,,,,,,,,,
2005-01-10,,,,,,,36.3,37.0,36.17,36.17,13.9023,634000.0,60.0536,60.1556,59.4418,59.6458,3.0937,144040.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.5,141.4,136.5,140.9,12.7639,27600.0,,,,,,,,,,,,,,,,,,
2005-01-11,,,,,,,36.16,36.16,35.5,35.8,13.76,671200.0,59.4418,59.5235,58.6262,58.6262,3.0408,84611.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.5,141.4,138.5,140.5,12.7277,21300.0,,,,,,,,,,,,,,,,,,
2005-01-12,,,,,,,35.7,35.96,34.62,35.76,13.7447,778800.0,58.6262,58.9831,58.6262,58.9321,3.0567,62451.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.0,140.1,137.4,139.4,12.628,35000.0,,,,,,,,,,,,,,,,,,
2005-01-13,,,,,,,35.75,35.75,35.07,35.3,13.5679,764800.0,58.9831,59.4929,58.7791,59.238,3.0726,118858.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.2,140.4,139.1,140.1,12.6915,19100.0,,,,,,,,,,,,,,,,,,
2005-01-14,,,,,,,34.85,34.85,33.9,34.07,13.0951,5539000.0,59.4929,59.9313,59.4724,59.6458,3.0937,187352.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.7,142.0,139.7,142.0,12.8636,13000.0,,,,,,,,,,,,,,,,,,
