Date,Price,Open,High,Low,Vol.,Change %
2017-05-10,"123,000.00","123,000.00","127,000.00","119,000.00",,0.00%
2017-05-11,"123,000.00","123,000.00","127,000.00","119,000.00",,0.00%
2017-05-12,"123,000.00","123,000.00","127,000.00","119,000.00",,0.00%
2017-05-15,"123,000.00","123,000.00","127,000.00","119,000.00",,0.00%
2017-05-16,"123,000.00","123,000.00","127,000.00","119,000.00",,0.00%
2017-05-17,"123,000.00","123,000.00","127,000.00","119,000.00",,0.00%
2017-05-18,"123,000.00","123,000.00","127,000.00","119,000.00",,0.00%
2017-05-19,"124,000.00","124,000.00","128,000.00","120,000.00",,0.81%
2017-05-22,"124,000.00","124,000.00","128,000.00","120,000.00",,0.00%
2017-05-23,"124,000.00","124,000.00","128,000.00","120,000.00",,0.00%
2017-05-24,"124,000.00","124,000.00","128,000.00","120,000.00",,0.00%
2017-05-25,"124,000.00","124,000.00","128,000.00","120,000.00",,0.00%
2017-05-26,"124,000.00","124,000.00","128,000.00","120,000.00",,0.00%
2017-05-30,"124,000.00","124,000.00","128,000.00","120,000.00",,0.00%
2017-05-31,"124,000.00","124,000.00","128,000.00","120,000.00",,0.00%
2017-06-01,"124,000.00","124,000.00","128,000.00","120,000.00",,0.00%
2017-06-02,"124,000.00","124,000.00","128,000.00","120,000.00",,0.00%
2017-06-05,"124,000.00","124,000.00","128,000.00","120,000.00",,0.00%
2017-06-06,"124,000.00","124,000.00","128,000.00","120,000.00",,0.00%
2017-06-07,"124,000.00","124,000.00","128,000.00","120,000.00",,0.00%
2017-06-08,"124,000.00","124,000.00","128,000.00","120,000.00",,0.00%
2017-06-09,"124,000.00","124,000.00","128,000.00","120,000.00",,0.00%
2017-06-12,"124,000.00","124,000.00","128,000.00","120,000.00",,0.00%
2017-06-13,"124,000.00","124,000.00","128,000.00","120,000.00",,0.00%
2017-06-14,"124,000.00","124,000.00","128,000.00","120,000.00",,0.00%
2017-06-15,"124,000.00","124,000.00","128,000.00","120,000.00",,0.00%
2017-06-16,"124,000.00","124,000.00","128,000.00","120,000.00",,0.00%
2017-06-19,"124,000.00","124,000.00","128,000.00","120,000.00",,0.00%
2017-06-20,"124,000.00","124,000.00","128,000.00","120,000.00",,0.00%
2017-06-21,"124,000.00","124,000.00","128,000.00","120,000.00",,0.00%
2017-06-22,"124,000.00","124,000.00","128,000.00","120,000.00",,0.00%
2017-06-23,"124,000.00","124,000.00","128,000.00","120,000.00",,0.00%
2017-06-26,"124,000.00","124,000.00","128,000.00","120,000.00",,0.00%
2017-06-27,"124,000.00","124,000.00","128,000.00","120,000.00",,0.00%
2017-06-28,"124,000.00","124,000.00","128,000.00","120,000.00",,0.00%
2017-06-29,"126,000.00","126,000.00","130,000.00","122,000.00",,1.61%
2017-06-30,"126,000.00","126,000.00","130,000.00","122,000.00",,0.00%
2017-07-03,"126,000.00","126,000.00","130,000.00","122,000.00",,0.00%
2017-07-04,"126,000.00","126,000.00","130,000.00","122,000.00",,0.00%
2017-07-05,"126,000.00","126,000.00","130,000.00","122,000.00",,0.00%
2017-07-06,"126,000.00","126,000.00","130,000.00","122,000.00",,0.00%
2017-07-07,"126,000.00","126,000.00","130,000.00","122,000.00",,0.00%
2017-07-10,"126,000.00","126,000.00","130,000.00","122,000.00",,0.00%
2017-07-11,"126,000.00","126,000.00","130,000.00","122,000.00",,0.00%
2017-07-12,"126,000.00","126,000.00","130,000.00","122,000.00",,0.00%
2017-07-13,"126,000.00","126,000.00","130,000.00","122,000.00",,0.00%
2017-07-14,"126,000.00","126,000.00","130,000.00","122,000.00",,0.00%
2017-07-17,"126,000.00","126,000.00","130,000.00","122,000.00",,0.00%
2017-07-18,"126,000.00","126,000.00","130,000.00","122,000.00",,0.00%
2017-07-19,"126,000.00","126,000.00","130,000.00","122,000.00",,0.00%
2017-07-20,"126,000.00","126,000.00","130,000.00","122,000.00",,0.00%
2017-07-21,"126,000.00","126,000.00","130,000.00","122,000.00",,0.00%
2017-07-24,"126,000.00","126,000.00","130,000.00","122,000.00",,0.00%
2017-07-25,"126,000.00","126,000.00","130,000.00","122,000.00",,0.00%
2017-07-26,"126,000.00","126,000.00","130,000.00","122,000.00",,0.00%
2017-07-27,"126,000.00","126,000.00","130,000.00","122,000.00",,0.00%
2017-07-28,"126,000.00","126,000.00","130,000.00","122,000.00",,0.00%
2017-07-31,"126,000.00","126,000.00","130,000.00","122,000.00",,0.00%
2017-08-01,"126,000.00","126,000.00","130,000.00","122,000.00",,0.00%
2017-08-02,"126,000.00","126,000.00","130,000.00","122,000.00",,0.00%
2017-08-03,"126,000.00","126,000.00","130,000.00","122,000.00",,0.00%
2017-08-04,"126,000.00","126,000.00","130,000.00","122,000.00",,0.00%
2017-08-07,"126,000.00","126,000.00","130,000.00","122,000.00",,0.00%
2017-08-08,"126,000.00","126,000.00","130,000.00","122,000.00",,0.00%
2017-08-10,"126,000.00","126,000.00","130,000.00","122,000.00",,0.00%
2017-08-11,"126,000.00","126,000.00","130,000.00","122,000.00",,0.00%
2017-08-14,"126,000.00","126,000.00","130,000.00","122,000.00",,0.00%
2017-08-15,"128,000.00","128,000.00","132,000.00","124,000.00",,1.59%
2017-08-16,"128,000.00","128,000.00","132,000.00","124,000.00",,0.00%
2017-08-17,"128,000.00","128,000.00","132,000.00","124,000.00",,0.00%
2017-08-18,"128,000.00","128,000.00","132,000.00","124,000.00",,0.00%
2017-08-21,"128,000.00","128,000.00","132,000.00","124,000.00",,0.00%
2017-08-22,"129,000.00","129,000.00","133,000.00","125,000.00",,0.78%
2017-08-23,"129,000.00","129,000.00","133,000.00","125,000.00",,0.00%
2017-08-24,"129,000.00","129,000.00","133,000.00","125,000.00",,0.00%
2017-08-25,"129,000.00","129,000.00","133,000.00","125,000.00",,0.00%
2017-08-28,"129,000.00","129,000.00","133,000.00","125,000.00",,0.00%
2017-08-29,"129,000.00","129,000.00","133,000.00","125,000.00",,0.00%
2017-08-30,"129,000.00","129,000.00","133,000.00","125,000.00",,0.00%
2017-08-31,"129,000.00","129,000.00","133,000.00","125,000.00",,0.00%
2017-09-01,"129,000.00","129,000.00","133,000.00","125,000.00",,0.00%
2017-09-04,"129,000.00","129,000.00","133,000.00","125,000.00",,0.00%
2017-09-05,"136,000.00","136,000.00","140,000.00","132,000.00",,5.43%
2017-09-06,"144,000.00","144,000.00","148,000.00","140,000.00",,5.88%
2017-09-07,"144,000.00","144,000.00","148,000.00","140,000.00",,0.00%
2017-09-08,"144,000.00","144,000.00","148,000.00","140,000.00",,0.00%
2017-09-11,"146,000.00","146,000.00","150,000.00","142,000.00",,1.39%
2017-09-12,"146,000.00","146,000.00","150,000.00","142,000.00",,0.00%
2017-09-13,"146,000.00","146,000.00","150,000.00","142,000.00",,0.00%
2017-09-14,"146,000.00","146,000.00","150,000.00","142,000.00",,0.00%
2017-09-15,"146,000.00","146,000.00","150,000.00","142,000.00",,0.00%
2017-09-18,"146,000.00","146,000.00","150,000.00","142,000.00",,0.00%
2017-09-19,"146,000.00","146,000.00","150,000.00","142,000.00",,0.00%
2017-09-20,"146,000.00","146,000.00","150,000.00","142,000.00",,0.00%
2017-09-21,"146,000.00","146,000.00","150,000.00","142,000.00",,0.00%
2017-09-22,"146,000.00","146,000.00","150,000.00","142,000.00",,0.00%
2017-09-26,"146,000.00","146,000.00","150,000.00","142,000.00",,0.00%
