"Date","Price","Open","High","Low","Vol.","Change %"
"05/25/2023","196.90","196.71","198.51","196.18","","2.16%"
"05/24/2023","192.74","194.72","197.66","192.59","","-1.55%"
"05/23/2023","195.79","199.52","199.52","194.79","","-1.90%"
"05/22/2023","199.58","196.65","201.09","195.95","","0.59%"
"05/19/2023","198.41","194.96","203.74","194.77","","1.70%"
"05/18/2023","195.09","197.30","199.59","194.81","","-1.90%"
"05/17/2023","198.88","196.53","201.85","195.48","","1.03%"
"05/16/2023","196.85","203.71","203.85","196.55","","-2.31%"
"05/15/2023","201.51","206.14","208.69","201.05","","-2.69%"
"05/12/2023","207.07","203.98","209.49","203.14","","1.93%"
"05/11/2023","203.14","207.56","210.37","202.50","","-3.35%"
"05/10/2023","210.18","219.48","220.93","209.48","","-4.16%"
"05/09/2023","219.31","224.94","228.96","219.15","","-4.22%"
"05/08/2023","228.96","228.96","228.96","228.96","","0.00%"
"05/05/2023","228.96","224.52","229.42","222.33","","2.20%"
"05/04/2023","224.03","231.39","235.43","223.61","","-3.00%"
"05/03/2023","230.94","232.69","237.35","229.37","","-0.95%"
"05/02/2023","233.16","226.57","233.48","222.99","","3.04%"
"05/01/2023","226.29","226.29","226.29","226.29","","0.00%"
"04/28/2023","226.29","225.94","227.13","221.52","","0.52%"
"04/27/2023","225.11","219.68","225.36","218.92","","1.92%"
"04/26/2023","220.86","219.11","221.96","217.75","","1.31%"
"04/25/2023","218.00","227.61","227.61","218.00","","-5.06%"
"04/24/2023","229.61","225.67","230.40","224.46","","0.45%"
"04/21/2023","228.58","233.43","234.00","226.75","","-2.31%"
"04/20/2023","234.00","236.70","242.30","232.71","","-1.90%"
"04/19/2023","238.53","237.22","239.88","227.47","","-0.28%"
"04/18/2023","239.21","231.76","239.76","227.13","","3.74%"
"04/17/2023","230.60","228.15","233.24","225.37","","2.32%"
"04/14/2023","225.37","223.90","231.00","221.86","","1.83%"
"04/13/2023","221.32","219.19","221.82","217.83","","0.50%"
"04/12/2023","220.21","218.79","220.80","214.80","","0.45%"
"04/11/2023","219.23","213.18","220.46","213.18","","2.81%"
"04/10/2023","213.23","213.23","213.23","213.23","","0.00%"
"04/06/2023","213.23","211.77","214.63","208.58","","0.55%"
"04/05/2023","212.06","216.11","218.13","210.04","","-1.83%"
"04/04/2023","216.01","214.97","220.86","214.87","","-1.15%"
"04/03/2023","218.51","219.87","224.50","217.61","","-2.01%"
"03/31/2023","222.99","216.30","223.55","213.81","","2.76%"
"03/30/2023","217.00","220.59","223.82","216.35","","-2.37%"
"03/29/2023","222.26","224.68","228.20","220.69","","-1.38%"
"03/28/2023","225.38","223.67","227.47","222.07","","0.98%"
"03/27/2023","223.18","219.08","226.29","212.36","","1.60%"
"03/24/2023","219.67","210.63","221.84","210.63","","4.29%"
"03/23/2023","210.63","210.06","212.69","208.07","","0.27%"
"03/22/2023","210.06","210.66","213.97","209.84","","-0.28%"
"03/21/2023","210.66","213.33","214.65","209.69","","-1.25%"
"03/20/2023","213.33","218.80","218.80","213.04","","-2.50%"
"03/17/2023","218.80","217.61","221.19","217.61","","0.55%"
"03/16/2023","217.61","215.41","219.84","213.50","","1.02%"
"03/15/2023","215.41","215.71","219.04","210.12","","-0.14%"
"03/14/2023","215.71","216.57","222.18","215.06","","-0.40%"
"03/13/2023","216.57","212.54","221.64","212.54","","1.90%"
"03/10/2023","212.54","218.03","218.03","211.94","","-2.51%"
"03/09/2023","218.03","224.69","224.69","217.38","","-2.97%"
"03/08/2023","224.69","226.33","226.33","221.11","","-0.72%"
"03/07/2023","226.33","229.05","229.49","221.63","","-1.19%"
