"Date","Price","Open","High","Low","Vol.","Change %"
"05/25/2023","480.21","471.80","485.92","471.80","","1.78%"
"05/24/2023","471.80","479.25","483.66","471.32","","-1.55%"
"05/23/2023","479.25","488.53","490.52","476.81","","-1.90%"
"05/22/2023","488.53","485.67","492.34","479.66","","0.59%"
"05/19/2023","485.67","477.54","498.25","476.77","","1.70%"
"05/18/2023","477.54","486.81","488.21","476.90","","-1.90%"
"05/17/2023","486.81","481.86","494.15","478.50","","1.03%"
"05/16/2023","481.86","493.26","499.38","479.04","","-2.31%"
"05/15/2023","493.26","506.88","510.83","491.98","","-2.69%"
"05/12/2023","506.88","497.26","512.91","497.26","","1.93%"
"05/11/2023","497.26","514.49","516.06","495.73","","-3.32%"
"05/10/2023","514.32","536.67","540.51","512.63","","-4.13%"
"05/09/2023","536.50","560.19","564.51","535.49","","-4.18%"
"05/08/2023","559.92","560.05","560.05","559.92","","0.00%"
"05/05/2023","559.92","548.10","564.05","543.94","","2.17%"
"05/04/2023","548.03","564.63","575.53","546.50","","-2.94%"
"05/03/2023","564.63","570.27","580.67","561.01","","-0.99%"
"05/02/2023","570.27","553.68","571.87","545.70","","3.00%"
"05/01/2023","553.68","553.68","553.68","553.68","","0.00%"
"04/28/2023","553.68","550.66","555.60","541.89","","0.55%"
"04/27/2023","550.66","540.36","551.42","535.53","","1.91%"
"04/26/2023","540.36","532.93","542.50","527.42","","1.39%"
"04/25/2023","532.93","561.40","561.40","530.05","","-5.07%"
"04/24/2023","561.40","558.60","567.58","548.05","","0.50%"
"04/21/2023","558.60","571.71","574.66","553.86","","-2.29%"
"04/20/2023","571.71","582.66","591.77","568.35","","-1.88%"
"04/19/2023","582.66","584.53","586.06","555.44","","-0.32%"
"04/18/2023","584.53","563.55","586.04","555.42","","3.72%"
"04/17/2023","563.55","550.30","569.90","550.30","","2.41%"
"04/14/2023","550.30","540.31","565.15","539.21","","1.90%"
"04/13/2023","540.02","537.31","541.22","531.50","","0.57%"
"04/12/2023","536.98","534.52","538.58","523.73","","0.52%"
"04/11/2023","534.20","519.47","537.64","519.13","","2.94%"
"04/10/2023","518.97","518.97","525.25","518.97","","0.00%"
"04/06/2023","518.97","516.13","522.05","507.66","","0.55%"
"04/05/2023","516.13","525.73","530.67","510.33","","-1.83%"
"04/04/2023","525.73","531.83","537.61","523.10","","-1.15%"
"04/03/2023","531.83","542.73","546.32","520.38","","-2.01%"
"03/31/2023","542.73","528.14","543.93","520.40","","2.76%"
"03/30/2023","528.14","540.95","544.77","523.06","","-2.37%"
"03/29/2023","540.95","548.54","556.58","537.13","","-1.38%"
"03/28/2023","548.54","543.19","553.63","539.12","","0.98%"
"03/27/2023","543.19","534.64","551.26","516.86","","1.60%"
"03/24/2023","534.64","512.64","539.56","512.64","","4.29%"
"03/23/2023","512.64","511.27","517.53","502.47","","0.27%"
"03/22/2023","511.27","512.72","521.08","510.80","","-0.28%"
"03/21/2023","512.72","519.21","523.16","510.02","","-1.25%"
"03/20/2023","519.21","532.54","532.54","518.05","","-2.50%"
"03/17/2023","532.54","529.64","538.30","529.64","","0.55%"
"03/16/2023","529.64","524.27","535.05","519.63","","1.02%"
"03/15/2023","524.27","525.00","533.23","518.83","","-0.14%"
"03/14/2023","525.00","527.10","540.63","523.49","","-0.40%"
"03/13/2023","527.10","517.30","539.72","517.30","","1.97%"
"03/10/2023","516.93","530.26","530.26","515.42","","-2.44%"
"03/09/2023","529.87","546.08","546.08","528.39","","-2.90%"
"03/08/2023","545.69","549.64","549.64","536.96","","-0.65%"
"03/07/2023","549.24","555.91","556.94","537.97","","-1.13%"
"03/06/2023","555.52","559.64","562.11","551.60","","-0.74%"
"03/03/2023","559.64","555.06","567.74","549.69","","0.83%"
"03/02/2023","555.06","566.50","566.61","549.02","","-2.02%"
"03/01/2023","566.50","564.42","580.67","563.07","","0.37%"
"02/28/2023","564.42","580.69","580.69","556.35","","-2.80%"
"02/27/2023","580.69","558.94","582.15","553.13","","3.89%"
"02/24/2023","558.94","578.11","581.15","552.81","","-3.32%"
"02/23/2023","578.11","602.19","602.19","576.35","","-4.00%"
"02/22/2023","602.19","617.60","617.60","596.69","","-2.49%"
"02/21/2023","617.60","587.77","624.43","587.77","","5.07%"
"02/17/2023","587.77","603.66","603.66","582.54","","-2.63%"
"02/16/2023","603.66","595.66","608.39","591.80","","1.34%"
"02/15/2023","595.66","602.95","603.77","592.46","","-1.21%"
"02/14/2023","602.95","607.02","617.82","599.20","","-0.67%"
"02/13/2023","607.02","633.83","633.83","603.23","","-4.17%"
"02/10/2023","633.42","664.53","664.53","624.04","","-4.63%"
"02/09/2023","664.19","624.17","666.11","618.69","","6.47%"
"02/08/2023","623.84","620.61","635.51","620.61","","0.57%"
"02/07/2023","620.29","620.62","627.41","609.81","","0.00%"
"02/06/2023","620.27","651.58","651.58","615.20","","-4.80%"
"02/03/2023","651.58","678.47","687.73","649.91","","-3.96%"
"02/02/2023","678.47","666.89","682.98","651.78","","1.74%"
"02/01/2023","666.89","691.18","700.00","662.18","","-3.51%"
"01/31/2023","691.18","665.47","695.54","665.47","","3.86%"
"01/30/2023","665.47","658.02","684.03","658.02","","1.13%"
"01/27/2023","658.02","670.11","677.95","656.24","","-1.80%"
"01/26/2023","670.11","664.69","671.28","644.54","","0.81%"
"01/25/2023","664.69","655.67","671.85","651.97","","1.38%"
