Date,Open_PCRFY.US,High_PCRFY.US,Low_PCRFY.US,Close_PCRFY.US,Adjusted_close_PCRFY.US,Volume_PCRFY.US,Open_051910.KO,High_051910.KO,Low_051910.KO,Close_051910.KO,Adjusted_close_051910.KO,Volume_051910.KO,Open_006400.KO,High_006400.KO,Low_006400.KO,Close_006400.KO,Adjusted_close_006400.KO,Volume_006400.KO,Open_1211.HK,High_1211.HK,Low_1211.HK,Close_1211.HK,Adjusted_close_1211.HK,Volume_1211.HK,Open_300014.SHE,High_300014.SHE,Low_300014.SHE,Close_300014.SHE,Adjusted_close_300014.SHE,Volume_300014.SHE,Open_MRAAF.US,High_MRAAF.US,Low_MRAAF.US,Close_MRAAF.US,Adjusted_close_MRAAF.US,Volume_MRAAF.US
2005-01-03,16.12,16.12,15.83,15.84,10.5919,277600.0,36773.8379,36773.8379,36289.3921,36289.3921,31804.9744,302900.0,114000.0,115000.0,111500.0,112000.0,99333.806,129561.0,16.8945,17.1806,16.8124,17.0579,3.7327,668846.0,,,,,,,,,,,,
2005-01-04,15.9,15.9,15.46,15.51,10.3713,517000.0,36509.5948,36685.7569,36113.23,36509.5948,31997.9657,192500.0,108000.0,109000.0,104000.0,104500.0,92681.9886,658012.0,17.0579,17.1806,16.8124,16.9351,3.7058,1734821.0,,,,,,,,,,,,
2005-01-05,15.58,15.6,15.5,15.56,10.4049,434800.0,36289.3921,36553.6353,36245.3516,36509.5948,31997.9657,193600.0,103000.0,103000.0,101000.0,102500.0,90908.1706,400801.0,16.9351,17.0172,16.2397,16.4442,3.5984,3395327.0,,,,,,,,,,,,
2005-01-06,15.45,15.45,15.33,15.36,10.2712,366400.0,36685.7569,37698.6889,36333.4327,37170.2026,32576.9398,472700.0,102500.0,105000.0,102000.0,104000.0,92238.5341,468376.0,16.4442,16.6897,16.2808,16.6897,3.6521,4525204.0,,,,,,,,,,,,
2005-01-07,15.42,15.43,15.27,15.32,10.2441,232000.0,37170.2026,37522.5268,36597.6758,36597.6758,32075.1623,285200.0,103000.0,104500.0,101000.0,102500.0,90908.1706,413033.0,16.7717,16.8124,16.5263,16.608,3.6342,1677691.0,,,,,,,,,,,,
2005-01-10,15.42,15.45,15.32,15.38,10.2844,286700.0,36641.7163,36641.7163,36201.3111,36289.3921,31804.9744,177400.0,101500.0,102500.0,100500.0,101500.0,90021.2617,271393.0,16.3625,16.5263,16.3625,16.4852,3.6074,1458922.0,,,,,,,,,,,,
2005-01-11,15.75,15.85,15.55,15.65,10.465,356000.0,36289.3921,36553.6353,35760.9058,36289.3921,31804.9744,250400.0,102000.0,106000.0,101500.0,106000.0,94012.3521,413187.0,16.4852,16.4852,16.0353,16.3218,3.5716,2303806.0,,,,,,,,,,,,
2005-01-12,15.65,15.66,15.52,15.6,10.4314,514000.0,36377.4732,36377.4732,35144.3385,35408.5816,31033.009,572600.0,105500.0,106000.0,101500.0,102500.0,90908.1706,397544.0,16.2808,16.3218,16.1991,16.3218,3.5716,2041376.0,,,,,,,,,,,,
2005-01-13,15.69,15.69,15.48,15.51,10.3713,247600.0,35408.5816,35584.7437,34571.8117,34792.0143,30492.6332,881800.0,103000.0,104500.0,102500.0,104500.0,92681.9886,287147.0,16.3625,16.4852,15.7081,15.7081,3.4373,5378597.0,,,,,,,,,,,,
2005-01-14,15.57,15.65,15.49,15.58,10.418,254200.0,34792.0143,35232.4195,34747.9738,34968.1764,30647.0263,818000.0,103500.0,107500.0,102500.0,105500.0,93568.8976,774191.0,15.9536,16.7307,15.7898,16.4035,3.5895,1477036.0,,,,,,,,,,,,
