Date,Price,Open,High,Low,Vol.,Change %
2010-07-19,98.27,98.23,98.74,97.38,,
2010-07-20,99.45,98.33,99.45,97.32,,
2010-07-21,99.77,99.77,100.85,99.41,,
2010-07-22,101.59,99.73,102.11,99.68,,
2010-07-23,104.91,101.92,104.94,101.69,,
2010-07-26,107.22,105.0,107.3,104.89,,
2010-07-27,106.86,107.35,108.17,106.44,,
2010-07-28,106.75,107.37,107.6,106.43,,
2010-07-29,109.85,108.38,110.34,108.35,,
2010-07-30,109.08,109.23,109.47,107.78,,
2010-08-02,110.91,109.33,111.06,109.33,,
2010-08-03,111.47,111.21,112.23,110.62,,
2010-08-04,112.48,111.52,112.56,111.35,,
2010-08-05,113.84,112.68,114.23,112.68,,
2010-08-06,112.79,113.51,113.72,112.13,,
2010-08-09,113.54,112.75,113.55,112.69,,
2010-08-10,111.95,113.39,113.4,111.09,,
2010-08-11,106.91,111.26,111.27,106.84,,
2010-08-12,106.68,106.78,107.44,105.89,,
2010-08-13,106.07,106.89,107.29,106.07,,
2010-08-16,106.94,106.23,107.05,105.88,,
2010-08-17,109.8,106.69,110.32,106.6,,
2010-08-18,110.18,109.75,110.59,109.52,,
2010-08-19,108.35,110.3,110.41,107.68,,
2010-08-20,107.43,107.87,107.91,106.11,,
2010-08-23,107.1,107.45,108.46,107.05,,
2010-08-24,105.14,106.83,106.89,104.39,,
2010-08-25,104.61,104.87,104.94,102.5,,
2010-08-26,104.22,104.7,105.97,104.11,,
2010-08-27,106.26,104.21,106.26,103.96,,
2010-08-30,106.13,106.24,106.67,105.88,,
2010-08-31,105.17,105.73,106.12,104.84,,
2010-09-01,108.32,105.8,108.33,105.73,,
2010-09-02,110.43,108.73,110.45,108.69,,
2010-09-03,111.82,110.29,112.09,110.26,,
2010-09-06,112.09,112.11,112.16,112.07,,
2010-09-07,112.65,112.07,112.87,111.46,,
2010-09-08,112.7,112.7,114.26,112.53,,
2010-09-09,113.41,112.71,114.46,112.63,,
2010-09-10,113.53,113.38,113.87,112.99,,
2010-09-13,116.6,114.05,116.68,114.01,,
2010-09-14,117.6,116.59,118.05,116.16,,
