Date,Open,High,Low,Close,Change %,Volume
2017-05-10,,,,,,
2017-05-11,0.0,0.0,0.0,0.0,,
2017-05-12,0.0,0.0,0.0,0.0,,
2017-05-15,0.0,0.0,0.0,0.0,,
2017-05-16,0.0,0.0,0.0,0.0,,
2017-05-17,0.0,0.0,0.0,0.0,,
2017-05-18,0.0,0.0,0.0,0.0,,
2017-05-19,0.03676470588235303,0.03571428571428581,0.037878787878787845,0.03676470588235303,inf,
2017-05-22,0.0,0.0,0.0,0.0,-1.0,
2017-05-23,0.0,0.0,0.0,0.0,,
2017-05-24,0.0,0.0,0.0,0.0,,
2017-05-25,0.0,0.0,0.0,0.0,,
2017-05-26,0.0,0.0,0.0,0.0,,
2017-05-30,0.0,0.0,0.0,0.0,,
2017-05-31,0.0,0.0,0.0,0.0,,
2017-06-01,0.014184397163120588,0.01379310344827589,0.014598540145985384,0.014184397163120588,inf,
2017-06-02,0.0,0.0,0.0,0.0,-1.0,
2017-06-05,0.0,0.0,0.0,0.0,,
2017-06-06,0.010489510489510412,0.013605442176870763,0.007194244604316502,0.010489510489510412,inf,
2017-06-07,0.0,0.0,0.0,0.0,-1.0,
2017-06-08,0.0,0.0,0.0,0.0,,
2017-06-09,0.0,0.0,0.0,0.0,,
2017-06-12,0.0,0.0,0.0,0.0,,
2017-06-13,0.0,0.0,0.0,0.0,,
2017-06-14,0.0,0.0,0.0,0.0,,
2017-06-15,0.0,0.0,0.0,0.0,,
2017-06-16,0.0,0.0,0.0,0.0,,
2017-06-19,0.0,0.0,0.0,0.0,,
2017-06-20,0.0,0.0,0.0,0.0,,
2017-06-21,0.0,0.0,0.0,0.0,,
2017-06-22,0.0,0.0,0.0,0.0,,
2017-06-23,0.0,0.0,0.0,0.0,,
2017-06-26,0.006920415224913601,0.006711409395973256,0.0071428571428571175,0.006920415224913601,inf,
2017-06-27,0.0,0.0,0.0,0.0,-1.0,
2017-06-28,0.0,0.0,0.0,0.0,,
2017-06-29,0.0,0.0,0.0,0.0,,
2017-06-30,0.0,0.0,0.0,0.0,,
2017-07-03,0.0,0.0,0.0,0.0,,
