"Date","Price","Open","High","Low","Vol.","Change %"
"05/24/2023","0.00000029","0.00000028","0.00000029","0.00000028","6.61M","3.57%"
"05/23/2023","0.00000028","0.00000031","0.00000031","0.00000028","6.50M","-9.68%"
"05/22/2023","0.00000031","0.00000032","0.00000032","0.00000030","5.89M","-3.13%"
"05/21/2023","0.00000032","0.00000033","0.00000034","0.00000031","6.37M","-3.03%"
"05/20/2023","0.00000033","0.00000032","0.00000034","0.00000031","5.98M","3.13%"
"05/19/2023","0.00000032","0.00000032","0.00000035","0.00000032","6.49M","0.00%"
"05/18/2023","0.00000032","0.00000031","0.00000032","0.00000031","5.70M","3.23%"
"05/17/2023","0.00000031","0.00000033","0.00000034","0.00000030","5.71M","-6.06%"
"05/16/2023","0.00000033","0.00000033","0.00000033","0.00000031","5.65M","0.00%"
"05/15/2023","0.00000033","0.00000033","0.00000033","0.00000032","5.87M","0.00%"
"05/14/2023","0.00000033","0.00000033","0.00000033","0.00000032","5.41M","0.00%"
"05/13/2023","0.00000033","0.00000033","0.00000033","0.00000032","5.64M","0.00%"
"05/12/2023","0.00000033","0.00000034","0.00000034","0.00000032","5.61M","-2.94%"
"05/11/2023","0.00000034","0.00000033","0.00000035","0.00000033","5.60M","3.03%"
"05/10/2023","0.00000033","0.00000033","0.00000035","0.00000032","1.83M","0.00%"
"05/09/2023","0.00000033","0.00000034","0.00000036","0.00000031","1.01M","-2.94%"
"05/08/2023","0.00000034","0.00000035","0.00000039","0.00000032","994.06K","-2.86%"
"05/07/2023","0.00000035","0.00000034","0.00000039","0.00000034","3.58M","2.94%"
"05/06/2023","0.00000034","0.00000034","0.00000038","0.00000034","1.41M","0.00%"
"05/05/2023","0.00000034","0.00000037","0.00000040","0.00000033","2.23M","-8.11%"
"05/04/2023","0.00000037","0.00000039","0.00000040","0.00000036","2.99M","-5.13%"
"05/03/2023","0.00000039","0.00000044","0.00000054","0.00000036","458.04K","-11.36%"
"05/02/2023","0.00000044","0.00000037","0.00000045","0.00000034","4.48M","18.92%"
"05/01/2023","0.00000037","0.00000038","0.00000039","0.00000036","4.78M","-2.63%"
"04/30/2023","0.00000038","0.00000038","0.00000038","0.00000036","5.22M","0.00%"
"04/29/2023","0.00000038","0.00000037","0.00000039","0.00000036","4.70M","2.70%"
"04/28/2023","0.00000037","0.00000035","0.00000041","0.00000035","4.47M","5.71%"
"04/27/2023","0.00000035","0.00000040","0.00000040","0.00000034","5.63M","-2.78%"
"04/26/2023","0.00000036","0.00000036","0.00000040","0.00000034","5.40M","0.00%"
"04/25/2023","0.00000036","0.00000039","0.00000041","0.00000035","4.88M","-7.69%"
"04/24/2023","0.00000039","0.00000038","0.00000044","0.00000036","3.69M","2.63%"
"04/23/2023","0.00000038","0.00000040","0.00000040","0.00000037","319.73K","-5.00%"
"04/22/2023","0.00000040","0.00000038","0.00000040","0.00000037","302.76K","5.26%"
"04/21/2023","0.00000038","0.00000038","0.00000038","0.00000038","","0.00%"
"04/20/2023","0.00000038","0.00000038","0.00000039","0.00000036","520.33K","-9.52%"
"04/19/2023","0.00000042","0.00000042","0.00000042","0.00000042","","0.00%"
"04/18/2023","0.00000042","0.00000040","0.00000042","0.00000040","4.70M","5.00%"
"04/17/2023","0.00000040","0.00000040","0.00000042","0.00000040","4.70M","0.00%"
"04/16/2023","0.00000040","0.00000040","0.00000042","0.00000039","4.97M","0.00%"
"04/15/2023","0.00000040","0.00000041","0.00000041","0.00000039","4.22M","-2.44%"
"04/14/2023","0.00000041","0.00000042","0.00000043","0.00000040","4.25M","-2.38%"
"04/13/2023","0.00000042","0.00000042","0.00000048","0.00000041","4.38M","0.00%"
"04/12/2023","0.00000042","0.00000045","0.00000045","0.00000041","4.18M","-6.67%"
"04/11/2023","0.00000045","0.00000044","0.00000045","0.00000043","4.12M","2.27%"
"04/10/2023","0.00000044","0.00000046","0.00000046","0.00000044","3.98M","-4.35%"
"04/09/2023","0.00000046","0.00000042","0.00000048","0.00000042","3.97M","9.52%"
"04/08/2023","0.00000042","0.00000044","0.00000045","0.00000042","4.38M","-4.55%"
"04/07/2023","0.00000044","0.00000046","0.00000048","0.00000044","3.75M","-4.35%"
"04/06/2023","0.00000046","0.00000043","0.00000051","0.00000043","4.10M","6.98%"
"04/05/2023","0.00000043","0.00000041","0.00000043","0.00000040","4.16M","4.88%"
"04/04/2023","0.00000041","0.00000043","0.00000044","0.00000041","4.05M","-4.65%"
"04/03/2023","0.00000043","0.00000043","0.00000044","0.00000042","4.57M","0.00%"
"04/02/2023","0.00000043","0.00000044","0.00000045","0.00000042","4.82M","-2.27%"
"04/01/2023","0.00000044","0.00000044","0.00000045","0.00000043","3.98M","0.00%"
"03/31/2023","0.00000044","0.00000044","0.00000045","0.00000042","4.01M","0.00%"
"03/30/2023","0.00000044","0.00000045","0.00000048","0.00000042","4.35M","-2.22%"
"03/29/2023","0.00000045","0.00000043","0.00000048","0.00000042","4.20M","4.65%"
"03/28/2023","0.00000043","0.00000043","0.00000046","0.00000042","3.67M","0.00%"
"03/27/2023","0.00000043","0.00000046","0.00000048","0.00000042","4.11M","-6.52%"
"03/26/2023","0.00000046","0.00000046","0.00000047","0.00000045","3.77M","0.00%"
"03/25/2023","0.00000046","0.00000047","0.00000048","0.00000045","3.86M","-2.13%"
"03/24/2023","0.00000047","0.00000045","0.00000048","0.00000044","3.89M","4.44%"
"03/23/2023","0.00000045","0.00000046","0.00000048","0.00000044","4.16M","-2.17%"
"03/22/2023","0.00000046","0.00000048","0.00000049","0.00000045","3.72M","-4.17%"
"03/21/2023","0.00000048","0.00000049","0.00000050","0.00000047","3.74M","-2.04%"
"03/20/2023","0.00000049","0.00000051","0.00000054","0.00000048","3.74M","-3.92%"
"03/19/2023","0.00000051","0.00000051","0.00000054","0.00000050","3.75M","0.00%"
"03/18/2023","0.00000051","0.00000050","0.00000053","0.00000049","3.87M","2.00%"
"03/17/2023","0.00000050","0.00000052","0.00000052","0.00000049","3.50M","-3.85%"
"03/16/2023","0.00000052","0.00000052","0.00000055","0.00000050","3.80M","0.00%"
"03/15/2023","0.00000052","0.00000055","0.00000056","0.00000052","3.44M","-5.45%"
"03/14/2023","0.00000055","0.00000054","0.00000056","0.00000053","4.30M","1.85%"
"03/13/2023","0.00000054","0.00000053","0.00000058","0.00000052","4.35M","1.89%"
"03/12/2023","0.00000053","0.00000057","0.00000057","0.00000052","4.00M","-5.36%"
"03/11/2023","0.00000056","0.00000057","0.00000059","0.00000053","3.89M","-1.75%"
"03/10/2023","0.00000057","0.00000056","0.00000060","0.00000055","3.50M","1.79%"
"03/09/2023","0.00000056","0.00000060","0.00000063","0.00000054","3.35M","-6.67%"
"03/08/2023","0.00000060","0.00000062","0.00000067","0.00000057","3.28M","-3.23%"
"03/07/2023","0.00000062","0.00000066","0.00000074","0.00000060","3.05M","-6.06%"
"03/06/2023","0.00000066","0.00000063","0.00000072","0.00000059","2.68M","4.76%"
"03/05/2023","0.00000063","0.00000063","0.00000068","0.00000059","2.29M","0.00%"
"03/04/2023","0.00000063","0.00000065","0.00000070","0.00000062","2.78M","-3.08%"
