"Date","Price","Open","High","Low","Vol.","Change %"
"01/06/2023","27,196.32","27,196.32","27,196.32","27,196.32","","1.87%"
"12/23/2022","26,697.90","26,641.29","26,752.30","26,641.29","","-3.64%"
"11/16/2022","27,706.94","27,706.94","27,706.94","27,706.94","","20.29%"
"11/10/2022","23,033.62","23,033.62","23,033.62","23,033.62","","6.96%"
"11/03/2022","21,535.04","21,535.04","21,535.04","21,535.04","","2.11%"
"11/01/2022","21,091.02","21,091.02","21,091.02","21,091.02","","3.83%"
"10/28/2022","20,313.98","20,313.98","20,313.98","20,313.98","","0.55%"
"09/28/2022","20,202.98","20,202.98","20,202.98","20,202.98","","-5.70%"
"09/14/2022","21,424.04","21,424.04","21,424.04","21,424.04","","0.00%"
"09/12/2022","21,424.04","21,424.04","21,424.04","21,424.04","","2.77%"
"08/16/2022","20,846.81","20,846.81","20,846.81","20,846.81","","-0.11%"
"08/12/2022","20,869.01","20,869.01","20,869.01","20,869.01","","-0.32%"
"08/10/2022","20,935.61","20,935.61","20,935.61","20,935.61","","0.86%"
"08/09/2022","20,758.01","20,758.01","20,758.01","20,758.01","","-0.53%"
"08/08/2022","20,869.01","20,869.01","20,869.01","20,869.01","","-12.25%"
"06/23/2022","23,782.90","23,782.90","23,782.90","23,782.90","","0.87%"
"05/27/2022","23,577.54","23,577.54","23,577.54","23,577.54","","0.00%"
"05/26/2022","23,577.54","23,577.54","23,577.54","23,577.54","","-3.97%"
"05/25/2022","24,553.28","24,553.28","24,553.28","24,553.28","","-4.00%"
"05/24/2022","25,575.64","26,641.29","26,641.29","25,575.64","","-4.00%"
"05/23/2022","26,641.29","26,772.96","26,772.96","26,568.14","","-0.62%"
"05/20/2022","26,806.90","26,803.21","26,809.36","26,797.07","","4.01%"
"05/18/2022","25,773.13","25,936.61","25,936.61","25,567.85","","-0.39%"
"05/17/2022","25,875.15","25,936.61","25,936.61","25,813.69","","-0.71%"
"05/16/2022","26,059.53","26,059.53","26,059.53","26,059.53","","-2.09%"
"05/13/2022","26,615.14","26,735.61","26,735.61","26,305.38","","0.41%"
"05/12/2022","26,506.97","26,440.59","26,551.22","26,440.59","","-2.47%"
"05/10/2022","27,178.13","27,178.13","27,178.13","27,178.13","","-2.73%"
"05/09/2022","27,940.25","27,940.25","27,940.25","27,940.25","","-2.24%"
"05/06/2022","28,579.44","28,579.44","28,579.44","28,579.44","","-0.49%"
"05/05/2022","28,719.57","28,640.90","28,763.83","28,640.90","","-1.67%"
"05/04/2022","29,206.35","29,206.35","29,206.35","29,206.35","","-3.97%"
"04/29/2022","30,413.44","30,744.10","30,744.10","30,300.35","","-2.97%"
"04/28/2022","31,345.19","31,345.19","31,345.19","31,345.19","","-0.08%"
"04/27/2022","31,369.78","31,308.32","31,529.58","31,308.32","","2.50%"
"04/25/2022","30,603.97","30,546.20","30,607.66","30,546.20","","-2.57%"
"04/22/2022","31,412.80","31,207.52","31,713.96","31,111.64","","0.66%"
"04/21/2022","31,207.52","31,052.60","31,461.82","30,972.36","","0.57%"
"04/20/2022","31,031.61","30,888.58","31,320.15","30,888.58","","0.44%"
"04/19/2022","30,895.97","31,172.18","31,172.18","30,819.52","","-0.41%"
"04/18/2022","31,024.21","31,024.21","31,024.21","31,024.21","","0.60%"
"04/14/2022","30,839.25","30,839.25","30,839.25","30,839.25","","0.86%"
"04/13/2022","30,575.37","31,135.19","31,135.19","30,210.38","","0.89%"
"04/12/2022","30,305.33","30,050.08","30,457.00","30,050.08","","0.86%"
"04/11/2022","30,047.62","30,210.38","30,210.38","29,593.84","","-1.12%"
"04/07/2022","30,386.71","30,288.07","31,443.46","30,222.71","","-2.59%"
"04/05/2022","31,193.15","30,518.65","31,357.14","30,518.65","","1.19%"
"04/04/2022","30,826.92","30,826.92","30,826.92","30,826.92","","2.13%"
"04/01/2022","30,183.26","29,717.15","30,703.61","28,977.31","","1.57%"
"03/31/2022","29,717.15","29,717.15","29,717.15","29,717.15","","-2.57%"
"03/30/2022","30,501.39","30,415.07","30,814.59","30,210.38","","0.97%"
"03/29/2022","30,207.92","30,616.07","30,826.92","29,676.46","","-2.41%"
"03/28/2022","30,952.70","31,751.73","31,875.04","30,755.40","","-6.35%"
"03/25/2022","33,050.16","30,839.25","33,571.75","30,703.61","","7.31%"
"03/24/2022","30,799.79","28,054.96","31,021.75","28,054.96","","14.17%"
