"Date","Price","Open","High","Low","Vol.","Change %"
"05/25/2023","437.73","437.47","441.46","436.27","","2.14%"
"05/24/2023","428.57","432.96","439.50","428.24","","-1.54%"
"05/23/2023","435.27","443.58","443.58","433.05","","-1.88%"
"05/22/2023","443.63","437.14","446.99","435.59","","0.63%"
"05/19/2023","440.85","433.18","452.69","432.77","","1.72%"
"05/18/2023","433.41","438.32","443.42","432.79","","-1.89%"
"05/17/2023","441.77","436.55","448.38","434.22","","1.04%"
"05/16/2023","437.20","452.43","452.74","436.54","","-2.30%"
"05/15/2023","447.49","457.77","463.42","446.47","","-2.64%"
"05/12/2023","459.64","452.78","465.00","450.92","","1.95%"
"05/11/2023","450.85","460.65","466.89","449.42","","-3.33%"
"05/10/2023","466.40","487.03","490.24","464.85","","-4.15%"
"05/09/2023","486.59","499.08","508.01","486.24","","-4.20%"
"05/08/2023","507.93","507.93","507.93","507.93","","0.04%"
"05/05/2023","507.71","497.86","508.73","493.00","","2.22%"
"05/04/2023","496.69","513.02","521.98","495.77","","-2.98%"
"05/03/2023","511.96","515.82","526.15","508.46","","-0.93%"
"05/02/2023","516.79","502.20","517.51","494.25","","3.05%"
"05/01/2023","501.49","501.49","501.49","501.49","","0.04%"
"04/28/2023","501.27","500.50","503.15","490.73","","0.54%"
"04/27/2023","498.60","486.59","499.16","484.89","","1.94%"
"04/26/2023","489.12","485.23","491.56","482.24","","1.33%"
"04/25/2023","482.71","503.98","503.98","482.71","","-5.04%"
"04/24/2023","508.35","499.63","510.09","496.94","","0.49%"
"04/21/2023","505.86","516.58","517.84","501.81","","-2.30%"
"04/20/2023","517.77","523.76","536.15","514.92","","-1.89%"
"04/19/2023","527.73","524.82","530.70","503.26","","-0.27%"
"04/18/2023","529.16","512.66","530.36","502.44","","3.75%"
"04/17/2023","510.03","504.62","515.87","498.47","","2.36%"
"04/14/2023","498.26","495.01","510.70","490.51","","1.85%"
"04/13/2023","489.23","484.52","490.35","481.53","","0.52%"
"04/12/2023","486.71","483.58","488.03","474.75","","0.46%"
"04/11/2023","484.48","471.12","487.20","471.12","","2.83%"
"04/10/2023","471.16","471.16","471.16","471.16","","0.05%"
"04/06/2023","470.91","467.69","474.00","460.64","","0.56%"
"04/05/2023","468.27","477.21","481.68","463.80","","-1.81%"
"04/04/2023","476.92","474.64","487.62","474.41","","-1.13%"
"04/03/2023","482.39","485.37","495.60","480.40","","-1.97%"
"03/31/2023","492.08","477.32","493.30","471.83","","2.78%"
"03/30/2023","478.79","486.71","493.84","477.36","","-2.35%"
"03/29/2023","490.33","495.68","503.44","486.87","","-1.37%"
"03/28/2023","497.14","493.37","501.76","489.85","","1.00%"
"03/27/2023","492.23","483.19","499.09","468.39","","1.64%"
"03/24/2023","484.30","464.37","489.09","464.37","","4.31%"
"03/23/2023","464.31","463.07","468.86","458.68","","0.28%"
"03/22/2023","463.01","464.32","471.62","462.52","","-0.27%"
"03/21/2023","464.26","470.14","473.04","462.13","","-1.24%"
"03/20/2023","470.08","482.14","482.14","469.44","","-2.46%"
"03/17/2023","481.95","479.32","487.21","479.32","","0.56%"
"03/16/2023","479.26","474.40","484.16","470.20","","1.04%"
"03/15/2023","474.34","475.00","482.34","462.70","","-0.13%"
"03/14/2023","474.94","476.84","489.18","473.51","","-0.39%"
"03/13/2023","476.78","467.91","487.93","467.91","","1.94%"
"03/10/2023","467.73","479.79","479.79","466.40","","-2.50%"
"03/09/2023","479.73","494.39","494.39","478.30","","-2.95%"
"03/08/2023","494.32","497.92","497.92","486.46","","-0.71%"
"03/07/2023","497.85","503.85","504.81","487.53","","-1.18%"
"03/06/2023","503.79","507.47","510.16","500.20","","-0.69%"
"03/03/2023","507.27","503.08","514.51","498.23","","0.85%"
"03/02/2023","503.01","513.33","513.43","497.52","","-2.00%"
"03/01/2023","513.26","511.36","525.42","505.16","","0.38%"
