ticker,intercept,intercept_pvalue,asset_coefficient,asset_coefficient_pvalue,asset_hac_standard_error,lithium_lag1_coefficient,lithium_lag1_coefficient_pvalue,lithium_lag1_hac_standard_error
002176.SZ,-0.002017807986764217,0.8017864544946556,0.0636804762597785,0.4620948316687101,0.08659276748303148,-0.1160906558710445,0.264824380267624,0.10411150566522613
002460.SZ,-0.0021817664428030554,0.7848830875677787,0.07720374794597586,0.3370825426318158,0.08042511955829718,-0.11019328648232853,0.2845557038110259,0.10297078031126583
002466.SZ,-0.0025524825328388004,0.7476391141648246,0.16761604839867394,0.02776073786373158,0.07616657340010911,-0.11696746792940588,0.2564086832028555,0.10306226830961458
002497.SZ,-0.0021808989328773133,0.7838655624326665,0.17657806594885295,0.01828046414148659,0.07482477243475225,-0.11334190757419317,0.2704567558556217,0.102850040491718
AKE.AX,-0.0024338291678178982,0.7500339483356313,0.13602356953392422,0.16152718207802508,0.09716290546901643,-0.11011329539948257,0.28752318931540144,0.10353170508528206
ALB,-0.002538890021200096,0.7435892792177348,0.23902645696173638,0.031342173369223084,0.11103559701611043,-0.11154329702347118,0.27720315087975844,0.10265126558046994
ALL.L,-0.0019114421853273751,0.8080770756124892,0.1133527333292323,0.05713779736970931,0.0595886042902179,-0.11231658497951011,0.2774306854433878,0.10341187208198337
AMLI,-0.001961598984559991,0.8058603448447799,0.020587239416855002,0.6267575025320256,0.042334813826447985,-0.10876407594104039,0.2897390991759383,0.10273418186403466
CRE.V,-0.00191848623155163,0.8093821458836371,0.04587407714534311,0.508247852593458,0.06934139510223486,-0.10949206994158008,0.2892317422771695,0.10331307301946585
ERA.PA,-0.0016138049706743937,0.8398521092241322,0.05297249818453675,0.528656878980879,0.084075639412491,-0.10917411022951382,0.28659435309563464,0.10245102447942722
INF.AX,-0.001860686144903938,0.8156011801032024,-0.008655938369162047,0.8250266017057789,0.03915216354182098,-0.10895353579272207,0.28732820804943715,0.10239983523863702
LAC,,,,,,,,
LEL.AX,0.005451251774180449,0.7169792369241349,0.12967710092160795,0.27823380056911395,0.1195957200827371,-0.007482179560239079,0.9437455338799788,0.10603540458278198
LIS.V,-0.001822268317824856,0.8226707277087794,0.004751906652737977,0.9278339234711771,0.05246642090942448,-0.1087474644817655,0.28853858475771266,0.10246309354724985
LITH.V,-0.0017577665059643035,0.823482333078249,0.09145554497466166,0.10693749076046817,0.05673025468219636,-0.10555235868186222,0.2934641087112574,0.1004731757902757
LPI.AX,-0.0017914597221680467,0.8222251716350396,0.0338036138556621,0.5682564042750275,0.05924001829470615,-0.10863329934333792,0.2933176172685802,0.10337448550155025
LTH.V,0.004250830132152992,0.7633329561120351,-0.0023596567207871816,0.9727434045281627,0.06906098763241304,-0.0012579448148120238,0.9907754567504238,0.10880456180691014
LTHM,-0.00033420785127463975,0.9662913264600065,0.14472015316482678,0.020649411757510755,0.06253209661167873,-0.05571807215187902,0.5914633649923073,0.10381282920454207
MIN.AX,-0.002473930996619079,0.7508847031244791,0.13953914663488226,0.20427139264576366,0.10991870764111665,-0.10092356166057002,0.3431841535101666,0.10647152013302413
PLS.AX,-0.0026602699503324966,0.7278272093305211,0.11982716004679803,0.10671918574431566,0.07428301381317227,-0.11041315682958054,0.2839451418748098,0.10304551084301153
SGML.V,-0.0027176000139474805,0.7195460246645433,0.0690343838701425,0.5088826685334789,0.10450595217561204,-0.11159953145686713,0.27482129597860394,0.10219485958567952
SLI.V,-0.0020239318565757054,0.7996559294120716,0.023206380537656474,0.6978430004078175,0.059774235975396814,-0.10890728067989786,0.28835911794006297,0.10257548610573328
SQM,-0.0021891412406196582,0.7790960865019668,0.1966005099324213,0.040423342287805,0.0959309207898548,-0.10959942605225771,0.29549332785995674,0.10476487745376081
SYA.AX,-0.0028283510230761,0.7166652209263018,0.1177504869736633,0.0011690313903135368,0.036271875541236766,-0.11308070938523437,0.26718781244667056,0.10191472768963233
WML.V,-0.0014696503173034646,0.8544314232594542,0.08159443930408453,0.17878968693211106,0.06068798040129649,-0.11493689839746271,0.24355705088054747,0.09856166877023818
