,Name,Stock,Exchange,Currency,Time Zone,Market Cap
0,Jiangxi Special Electric Motor,002176.SZ,SHZ,CNY,CST,19213.275136
1,Ganfeng Lithium,002460.SZ,SHZ,CNY,CST,110657.830912
2,Tianqi Lithium,002466.SZ,SHZ,CNY,CST,95878.569984
3,Sichuan Yahua Group,002497.SZ,SHZ,CNY,CST,20699.97568
4,Allkem Limited,AKE.AX,ASX,AUD,AEST,9067.496448
5,Albemarle,ALB,NYQ,USD,EDT,22788.99712
6,Atlantic Lithium,ALL.L,LSE,GBp,BST,125.040856
7,American Lithium,AMLI,NCM,USD,EDT,306.95664
8,Critical Elements Lithium Corporation,CRE.V,VAN,CAD,EDT,363.700928
9,Eramet SA,ERA.PA,PAR,EUR,CEST,2222.308864
10,Infinity Lithium Corporation Limited,INF.AX,ASX,AUD,AEST,53.19808
11,Lithium Americas,LAC,NYQ,USD,EDT,2994.33344
12,Lithium Energy Limited,LEL.AX,ASX,AUD,AEST,70.561848
13,Lithium South Development Corporation,LIS.V,VAN,CAD,EDT,46.99626
14,Lithium Chile,LITH.V,VAN,CAD,EDT,162.91696
15,Lithium Power International,LPI.AX,ASX,AUD,AEST,176.18664
16,Lithium Ionic Corp,LTH.V,VAN,CAD,EDT,300.235904
17,Livent Corp,LTHM,NYQ,USD,EDT,4181.339904
18,Mineral Resources Limited,MIN.AX,ASX,AUD,AEST,13504.760832
19,Pilbara Minerals,PLS.AX,ASX,AUD,AEST,15860.425728
20,Sigma Lithium Resources Corporation,SGML.V,VAN,CAD,EDT,5187.891712
21,Standard lithium,SLI.V,VAN,CAD,EDT,1035.312
22,Sociedad Química y Minera de Chile S.A.,SQM,NYQ,USD,EDT,19900.399616
23,Sayona Mining Limited,SYA.AX,ASX,AUD,AEST,1328.58688
24,Wealth Minerals Ltd,WML.V,VAN,CAD,EDT,129.639896
