"Date","Price","Open","High","Low","Vol.","Change %"
"07/18/2023","1,860,000","1,860,000","1,870,000","1,850,000","","-2.62%"
"07/17/2023","1,910,000","1,910,000","1,920,000","1,900,000","","0.00%"
"07/14/2023","1,910,000","1,910,000","1,920,000","1,900,000","","0.00%"
"07/13/2023","1,910,000","1,910,000","1,920,000","1,900,000","","0.00%"
"07/12/2023","1,910,000","1,910,000","1,920,000","1,900,000","","0.00%"
"07/11/2023","1,910,000","1,910,000","1,920,000","1,900,000","","-1.55%"
"07/10/2023","1,940,000","1,940,000","1,950,000","1,930,000","","0.00%"
"07/07/2023","1,940,000","1,940,000","1,950,000","1,930,000","","-3.00%"
"07/06/2023","2,000,000","2,000,000","2,010,000","1,990,000","","-2.91%"
"07/05/2023","2,060,000","2,060,000","2,070,000","2,050,000","","-2.37%"
"07/04/2023","2,110,000","2,110,000","2,120,000","2,100,000","","0.00%"
"07/03/2023","2,110,000","2,110,000","2,120,000","2,100,000","","0.00%"
"06/30/2023","2,110,000","2,110,000","2,120,000","2,100,000","","0.00%"
"06/29/2023","2,110,000","2,110,000","2,120,000","2,100,000","","0.00%"
"06/28/2023","2,110,000","2,110,000","2,120,000","2,100,000","","0.00%"
"06/27/2023","2,110,000","2,110,000","2,120,000","2,100,000","","-1.40%"
"06/26/2023","2,140,000","2,140,000","2,150,000","2,130,000","","0.00%"
"06/21/2023","2,140,000","2,140,000","2,150,000","2,130,000","","-2.28%"
"06/20/2023","2,190,000","2,190,000","2,200,000","2,180,000","","0.00%"
