,dates,DocumentIdentifier
33,2015-03-04 19:30:00,http://www.marketwatch.com/story/global-and-china-lithium-battery-separator-industry-report-2014-2016-2015-03-04
34,2015-03-04 19:30:00,http://finance.yahoo.com/news/global-china-lithium-battery-separator-190500142.html
47,2015-03-10 05:00:00,https://ca.news.yahoo.com/aircraft-makers-call-ban-lithium-battery-shipments-ap-044304507--sector.html
48,2015-03-10 05:45:00,http://www.euronews.com/newswires/2975326-aircraft-makers-call-for-ban-on-lithium-battery-shipments-ap/
49,2015-03-10 06:00:00,http://www.todayonline.com/world/aircraft-makers-call-ban-lithium-battery-shipments-ap
50,2015-03-10 06:15:00,http://news.yahoo.com/aircraft-makers-call-ban-lithium-battery-shipments-ap-044304507--sector.html
51,2015-03-10 06:45:00,http://economictimes.indiatimes.com/news/international/business/aircraft-makers-call-for-ban-on-lithium-battery-shipments/articleshow/46512535.cms
52,2015-03-10 07:15:00,http://www.freemalaysiatoday.com/category/world/2015/03/10/aircraft-makers-call-for-ban-on-lithium-battery-shipments/
53,2015-03-10 10:30:00,http://www.dw.de/aircraft-makers-shun-lithium-battery-cargos/a-18305073
68,2015-04-13 15:00:00,http://moneyweek.com/right-side-four-tech-giants-are-fighting-to-create-the-next-generation-lithium-battery/
79,2015-04-21 05:00:00,http://www.marketwatch.com/story/toshiba-to-supply-lithium-ion-battery-energy-storage-system-for-frequency-regulation-project-in-the-usa-2015-04-21
80,2015-04-21 05:15:00,http://www.finanznachrichten.de/nachrichten-2015-04/33458440-toshiba-to-supply-lithium-ion-battery-energy-storage-system-for-frequency-regulation-project-in-the-usa-004.htm
81,2015-04-21 05:45:00,http://www.military-technologies.net/2015/04/21/toshiba-to-supply-lithium-ion-battery-energy-storage-system-for-frequency-regulation-project-in-the-usa/
82,2015-04-21 06:15:00,http://businesswireindia.com/news/news-details/toshiba-supply-lithium-ion-battery-energy-storage-system-frequency-reg/43467
83,2015-04-21 07:30:00,http://www.virtual-strategy.com/2015/04/21/toshiba-supply-lithium-ion-battery-energy-storage-system-frequency-regulation-project-usa
85,2015-04-21 18:45:00,http://resourceinvestingnews.com/86102-toshiba-to-supply-large-scale-lithium-ion-battery-energy-storage-system-for-ohio-frequency-regulation-project.html
86,2015-04-22 07:45:00,http://africamedianetwork.ning.com/profiles/blogs/toshiba-to-supply-lithium-ion-battery-energy-storage-system-for
91,2015-04-28 15:30:00,http://www.livescience.com/50643-watch-lithium-battery-explode.html
94,2015-05-01 21:45:00,http://news.yahoo.com/safer-packaging-sought-lithium-battery-air-cargo-u-211540601--sector.html
95,2015-05-01 22:00:00,http://www.businessinsider.com/r-safer-packaging-sought-for-lithium-battery-air-cargo-un-panel-2015-5
97,2015-05-02 00:15:00,http://newsdaily.com/2015/05/safer-packaging-sought-for-lithium-battery-air-cargo-u-n-panel/
100,2015-05-04 06:15:00,http://www.eco-business.com/news/safer-packaging-sought-for-lithium-battery-air-cargo-un-panel/
103,2015-05-07 18:00:00,http://www.i2e.org/blog/lithium-battery-fires-the-need-for-testing/
217,2016-02-10 21:45:00,http://www.lidtime.com/faa-urges-airlines-to-assess-lithium-battery-risks-6851/
219,2016-02-11 15:00:00,http://mro-network.com/opinion/2016/02/faa-lithium-battery-warning-fuels-fresh-scepticism/7361
221,2016-02-13 11:15:00,http://www.lidtime.com/faa-warns-airlines-of-risk-in-lithium-battery-5784/
253,2016-02-26 03:30:00,https://au.finance.yahoo.com/news/proposed-lithium-battery-air-shipment-030116860.html
310,2016-03-15 14:15:00,http://www.huffingtonpost.com/entry/lithium-battery-south-america_us_56e80b84e4b0b25c91832fa0
348,2016-04-06 18:15:00,http://integrated.processmyquote.com/u-s-again-warns-airlines-against-carrying-lithium-battery-cargo/
385,2016-04-18 11:15:00,http://cleantechnica.com/2016/04/18/palo-alto-startup-electriq-launching-10-kwh-lithium-ion-home-energy-storage-system-fall/
431,2016-05-08 13:00:00,http://www.spacedaily.com/reports/Clues_on_the_path_to_a_new_lithium_battery_technology_999.html
444,2016-05-12 12:45:00,http://www.marketwatch.com/story/two-us-airlines-to-pilot-72-volt-flux-power-lithium-battery-pack-for-electric-aviation-ground-support-equipment-2016-05-12
445,2016-05-12 13:30:00,http://energy.einnews.com/pr_news/325807587/two-us-airlines-to-pilot-72-volt-flux-power-lithium-battery-pack-for-electric-aviation-ground-support-equipment
465,2016-05-17 14:45:00,http://www.afr.com/business/mining/jadarite-feeds-rio-tintos-lithium-batterypowered-future-20160517-gox83l
469,2016-05-18 22:00:00,http://www.republicofmining.com/2016/05/18/opinion-jadarite-feeds-rio-tintos-lithium-battery-powered-future-by-matthew-stevens-australian-financial-review-may-18-2016/
515,2016-05-27 23:15:00,http://renewableelectron.com/question/is-lithium-ion-going-to-be-the-dominant-energy-storage-technology-for-the-next-few-years/
579,2016-06-10 15:30:00,https://cleantechnica.com/category/energy-storage/batteries/lithium-ion-batteries/
582,2016-06-13 08:00:00,http://www.marketwatch.com/story/american-lithium-announces-the-appointment-of-internationally-recognized-lithium-battery-expert-dr-david-h-swan-2016-06-13
583,2016-06-13 09:00:00,http://www.military-technologies.net/2016/06/13/american-lithium-announces-the-appointment-of-internationally-recognized-lithium-battery-expert-dr-david-h-swan/
584,2016-06-13 11:15:00,http://www.prnewswire.com/news-releases/american-lithium-announces-the-appointment-of-internationally-recognized-lithium-battery-expert-dr-david-h-swan-582653581.html
585,2016-06-13 17:15:00,http://investingnews.com/daily/resource-investing/energy-investing/lithium-investing/american-lithium-appoints-internationally-recognized-lithium-battery-expert-to-advisory-board/
598,2016-06-16 08:00:00,http://aviationweek.com/master-supply-chain/lithium-battery-shipping-rules-could-get-safety-overhaul
640,2016-07-06 11:00:00,http://www.finanznachrichten.de/nachrichten-2016-07/37894509-pomm-unveils-new-android-and-iphone-biometric-authentication-security-case-with-up-to-256gb-of-encrypted-data-storage-and-a-1500-mah-lithium-battery-f-256.htm
687,2016-07-26 16:30:00,http://cleantechnica.com/2016/07/26/new-glass-battery-lithium-air-technology-for-ev-energy-storage/
689,2016-07-28 12:15:00,http://www.spacedaily.com/reports/Garnet_type_fast_ionic_conductor_for_all_solid_state_lithium_battery_999.html
706,2016-08-05 08:30:00,http://reports.pr-inside.com/qyresearch-global-motorcycle-lithium-battery-marke-r4496311.htm
727,2016-08-16 01:00:00,https://skift.com/2016/08/15/airline-groups-seek-crackdown-on-rogue-lithium-battery-shipments/
745,2016-08-17 17:30:00,http://www.courthousenews.com/2016/08/17/lithium-battery-antitrust-case-hangs-in-the-air.htm
788,2016-08-25 19:00:00,http://kfor.com/2016/08/25/fire-crews-baker-hughes-evacuated-after-lithium-battery-overheats/
801,2016-09-02 22:15:00,http://www.cbsnews.com/news/lithium-battery-fire-risk-samsung-galaxy-note-7/
804,2016-09-04 07:45:00,http://www.yakimaherald.com/news/lithium-battery-problems-go-well-beyond-samsung/article_5b029a62-725f-11e6-bfca-37c98438e6f6.html
815,2016-09-08 02:30:00,http://reports.pr-inside.com/global-consumer-electronics-lithium-battery-market-r4519968.htm
818,2016-09-08 14:15:00,http://www.altenergymag.com/article/2016/09/increasing-the-storage-capacity-of-lithium-batteries/24525
836,2016-09-15 18:45:00,http://www.nasdaq.com/article/tesla-to-complete-massive-lithium-ion-battery-storage-project-in-california-cm680193
837,2016-09-15 19:30:00,http://www.foxbusiness.com/markets/2016/09/15/tesla-to-complete-massive-lithium-ion-battery-storage-project-in-california.html
840,2016-09-16 05:30:00,http://www.investopedia.com/news/tesla-wins-largest-lithium-ion-battery-storage-world-tsla-aes/
842,2016-09-17 09:30:00,https://cleantechnica.com/2016/09/17/tesla-wins-contract-largest-lithium-ion-battery-storage-installation-world-20mw80mwh-powerpack-installation-southern-california-edison-mira-loma-substation/
846,2016-09-19 03:30:00,http://www.southcarolinasc.com/2016/09/tesla-wins-contract-for-largest-lithium-ion-battery-storage-installation-in-world/
847,2016-09-19 06:30:00,http://reneweconomy.com.au/2016/tesla-wins-contract-largest-lithium-ion-battery-storage-installation-world-61917
848,2016-09-19 06:30:00,https://pacetoday.com.au/largest-lithium-ion-battery-storage/
850,2016-09-19 10:15:00,http://www.icstation.com/lithium-battery-protection-board-overcharge-protection-over-discharge-protection-p-9518.html
851,2016-09-19 17:45:00,http://www.canadianmanufacturing.com/technology/tesla-wins-california-battery-deal-will-build-largest-lithium-ion-storage-site-175762/
852,2016-09-20 04:45:00,http://auto.ndtv.com/news/tesla-to-build-the-worlds-largest-lithium-ion-electricity-storage-facility-in-just-three-months-1461196
853,2016-09-20 11:15:00,http://www.energy-storage.news/news/sce-gives-tesla-green-light-for-largest-lithium-ion-storage-facility-in-wor
903,2016-10-12 14:15:00,http://cleantechnica.com/2016/10/12/new-lithium-ion-energy-storage-solution-fearlessly-deploys-100-silicon/
914,2016-10-17 10:15:00,http://www.icstation.com/display-step-module-double-output-lithium-battery-mobile-supply-p-9840.html
922,2016-10-18 21:00:00,http://udaipurkiran.com/lithium-battery-dangers-mean-samsung-recall-wont-be-last/
1001,2016-11-04 17:30:00,http://www.foxbusiness.com/markets/2016/11/04/here-why-lithium-ion-batteries-probably-arent-future-stationary-energy-storage.html
1087,2016-12-06 23:00:00,http://www.utilitydive.com/news/inside-construction-of-the-worlds-largest-lithium-ion-battery-storage-faci/431765/
1131,2016-12-28 13:30:00,http://www.marketwatch.com/story/lithium-exploration-group-prepares-for-21-percent-anticipated-growth-in-lithium-battery-market-next-year-in-sector-named-by-goldman-sachs-as-the-new-gasoline-2016-12-28
1132,2016-12-28 15:00:00,http://www.prnewswire.com/news-releases/lithium-exploration-group-prepares-for-21-percent-anticipated-growth-in-lithium-battery-market-next-year-in-sector-named-by-goldman-sachs-as-the-new-gasoline-608497935.html
1169,2017-01-09 19:15:00,http://www.energy-storage.news/news/albemarle-lico-expand-lithium-mining-operations-in-chile-and-nevada
1194,2017-01-17 15:15:00,http://www.prnewswire.com/news-releases/lithium-exploration-group-announces-12m-sales-contract-negotiation-as-new-york-times-reports-on-3-california-utilities-lithium-ion-battery-storage-facilities-610928635.html
1299,2017-02-11 17:15:00,http://www.tribune.net.ph/etc/energizer-enhances-world-s-first-lithium-battery-with-more-power-longer-run-time
1345,2017-02-24 15:45:00,http://www.prnewswire.com/news-releases/sdge-unveils-worlds-largest-lithium-ion-battery-energy-storage-facility-300413077.html
1347,2017-02-24 20:30:00,http://www.altenergymag.com/news/2017/02/24/sdge-unveils-worlds-largest-lithium-ion-battery-energy-storage-facility/25681/
1352,2017-02-28 13:45:00,http://www.prnewswire.com/news-releases/sdge-and-aes-energy-storage-unveil-worlds-largest-lithium-ion-battery-based-energy-storage-installation-300414777.html
1353,2017-02-28 20:15:00,http://www.energy-storage.news/news/sdge-and-aes-complete-worlds-largest-lithium-ion-battery-facility
1363,2017-03-02 02:30:00,http://www.times-advocate.com/articles/sdge-unveils-worlds-largest-lithium-ion-battery-energy-storage-in-escondido/
1373,2017-03-06 11:45:00,http://news.thomasnet.com/companystory/sdg-and-e-and-aes-energy-storage-unveil-world-s-largest-lithium-ion-battery-based-energy-storage-installation-40002532
1389,2017-03-10 20:15:00,http://www.einnews.com/pr_news/370448685/smart-battery-market-predicts-automotive-industry-to-fuel-future-smart-lithium-battery-demand-for-electric-vehicles-marketintelreports
1390,2017-03-10 20:45:00,http://automotive.einnews.com/pr_news/370448685/smart-battery-market-predicts-automotive-industry-to-fuel-future-smart-lithium-battery-demand-for-electric-vehicles-marketintelreports
1395,2017-03-13 22:30:00,http://www.prnewswire.com/news-releases/global-rmb-586-billion-lithium-battery-electrolyte-industry-report-2017-2021-with-focus-on-the-chinese-industry---research-and-markets-300422469.html
1405,2017-03-17 23:45:00,http://www.sandiegouniontribune.com/business/sd-fi-lithium-battery-20170309-story.html
1407,2017-03-20 02:30:00,http://www.sandiegouniontribune.com/business/technology/sd-fi-lithium-battery-20170309-story.html
