"Date","Price","Open","High","Low","Vol.","Change %"
"04/11/2024","14.40","14.46","14.46","14.40","1.85K","1.48%"
"04/10/2024","14.19","14.22","14.22","14.07","4.69K","-1.94%"
"04/09/2024","14.47","14.51","14.54","14.37","3.55K","3.28%"
"04/08/2024","14.01","14.00","14.10","13.99","5.81K","1.19%"
"04/05/2024","13.85","13.77","13.87","13.77","4.19K","0.40%"
"04/04/2024","13.79","14.18","14.27","13.79","1.08K","-2.34%"
"04/03/2024","14.12","14.00","14.12","13.95","1.84K","1.44%"
"04/02/2024","13.92","13.89","13.92","13.85","1.52K","0.14%"
"04/01/2024","13.90","13.89","13.91","13.89","1.74K","1.83%"
"03/28/2024","13.65","13.71","13.71","13.65","0.40K","0.15%"
"03/27/2024","13.63","13.31","13.66","13.31","1.84K","1.41%"
"03/26/2024","13.44","13.61","13.61","13.44","2.62K","-0.44%"
"03/25/2024","13.50","13.62","13.63","13.50","2.58K","-1.46%"
"03/22/2024","13.70","13.80","13.80","13.70","1.40K","-2.70%"
"03/21/2024","14.08","14.14","14.15","14.06","2.20K","-1.19%"
"03/20/2024","14.25","13.88","14.28","13.88","2.68K","1.55%"
"03/19/2024","14.03","14.11","14.11","14.01","2.81K","-1.64%"
"03/18/2024","14.27","14.31","14.31","14.26","0.85K","-0.24%"
"03/15/2024","14.30","14.18","14.30","14.16","7.62K","-0.07%"
"03/14/2024","14.31","14.63","14.63","14.27","5.95K","-2.85%"
"03/13/2024","14.73","14.69","14.81","14.69","0.61K","1.24%"
"03/12/2024","14.55","14.63","14.65","14.51","9.96K","0.34%"
"03/11/2024","14.50","14.18","14.51","14.18","9.85K","5.30%"
"03/08/2024","13.77","14.11","14.11","13.77","3.56K","-2.41%"
"03/07/2024","14.11","14.22","14.22","14.09","10.44K","0.35%"
"03/06/2024","14.06","13.84","14.15","13.84","18.08K","4.38%"
"03/05/2024","13.47","14.08","14.08","13.47","18.22K","-7.74%"
"03/04/2024","14.60","14.86","14.86","14.58","19.41K","-2.74%"
"03/01/2024","15.01","14.61","15.07","14.61","23.24K","3.60%"
"02/29/2024","14.49","14.30","14.58","14.30","5.71K","4.17%"
"02/28/2024","13.91","13.87","13.93","13.87","1.40K","0.80%"
"02/27/2024","13.80","13.67","13.81","13.67","6.11K","1.55%"
"02/26/2024","13.59","13.45","13.60","13.45","2.73K","1.68%"
"02/23/2024","13.36","13.34","13.36","13.20","3.00K","-0.50%"
"02/22/2024","13.43","13.53","13.53","13.37","17.61K","-0.72%"
"02/21/2024","13.53","13.47","13.53","13.47","0.75K","1.73%"
"02/20/2024","13.30","13.68","13.68","13.30","2.94K","-2.74%"
"02/16/2024","13.68","13.51","13.82","13.51","14.26K","3.64%"
