,Model Name,Adj R^2,AIC,BIC,Rho_1,Rho_2,Ljung-Box Test Statistic,Ljung-Box P-value
0,Model with Only Constant,2.220446049250313e-16,-1091.2087686271934,-1087.4311163039708,0.7051491115846917,0.5939695382896838,372.71304911867526,1.7996068972050845e-80
1,Model with Weekly Zero,0.0006396222829437859,-1086.0365555375033,-1078.4874524464144,0.7033701906196563,0.5908909175502778,370.0266260053934,6.870124334073737e-80
2,Model with Monthly Zero,0.00043030332805416016,-1085.9691187576136,-1078.4200156665247,0.704146496376675,0.5930101123396581,370.92228693755567,4.395380344949907e-80
3,AR(1),0.4956643744483322,-1306.2438167084683,-1298.6947136173794,-0.1356912954248646,0.02417237892107988,29.881012620618524,1.461922715402241e-06
4,AR(2),0.5128527872241293,-1311.318225508016,-1300.003902138626,-0.025673654543057242,-0.05067886504282071,17.42342656969924,0.0005782616530108395
5,AR(1) with Weekly Zero Interaction,0.49294967265322254,-1302.5340415943133,-1287.4358354121357,-0.13479051264275915,0.02251678901729949,29.763726221081924,1.5473588401116546e-06
6,AR(1) with Monthly Zero Interaction,0.49628199580928833,-1304.6572025805049,-1289.5589963983273,-0.10700004709102476,0.026896555881336548,29.414772333817737,1.832154994375916e-06
7,AR(2) with Weekly Zero Interaction,0.5127447891107964,-1308.2897461017178,-1285.6610993629376,-0.02327658656985997,-0.06344992042876285,18.971899628236205,0.00027708098141720073
8,AR(2) with Monthly Zero Interaction,0.5194093779465099,-1312.7106295895924,-1290.0819828508122,-0.035235679222936384,-0.08749058938374132,23.101765389640835,3.8457884576106816e-05
9,AR(2) with Separate Weekly and Monthly Zero Interactions,0.5131122848344245,-1307.552609400545,-1281.1525215386348,-0.0364309638420215,-0.08550912709705655,20.599383574776333,0.00012749525510854525
