,Model Name,Adj R^2,AIC,BIC,Rho_1,Rho_2,Ljung-Box Test Statistic,Ljung-Box P-value
0,Model with Only Constant,3.3306690738754696e-16,-1129.6314046367324,-1125.826269667816,0.7345946179183339,0.5997278534251737,383.393733423569,8.749828086232154e-83
1,Model with Weekly Zero,-0.0015243351787677106,-1123.7250132381773,-1116.1207764874232,0.7327797490558713,0.5983789793575569,380.61905623055236,3.490952743252467e-82
2,Model with Monthly Zero,-9.826455511507959e-05,-1124.1966600474789,-1116.5924232967247,0.733883153652476,0.5989658994510134,381.73385775671676,2.002164075177208e-82
3,AR(1),0.5382307541461196,-1379.9895675709663,-1372.3853308202122,-0.09593281484946242,0.04771025742450191,4.922570199686606,0.17755553347138409
4,AR(2),0.5447343740533538,-1378.5015778982604,-1367.1042999348788,-0.0038355974340777074,-0.019796150845353307,0.5311140933125282,0.9120044970665508
5,AR(1) with Weekly Zero Interaction,0.5369816932146954,-1377.1137380806786,-1361.9052645791703,-0.08889427167496415,0.05465040262697347,4.679437982052594,0.19683247834698503
6,AR(1) with Monthly Zero Interaction,0.5361682469072273,-1376.5327362367798,-1361.3242627352715,-0.08368647486013457,0.04993412616090531,4.309916299168381,0.22988499813851404
7,AR(2) with Weekly Zero Interaction,0.5623701361413097,-1388.5805650781188,-1365.7860091513555,-0.011922386047237972,0.017260370733125974,0.19937132616917788,0.9776907233741919
8,AR(2) with Monthly Zero Interaction,0.5503206131290315,-1379.617315688911,-1356.8227597621478,-0.02411845582948623,-0.04455039034174976,1.388723554182887,0.708180108850241
9,AR(2) with Separate Weekly and Monthly Zero Interactions,0.5505979703054391,-1378.84101231318,-1352.2473637319563,-0.017609125547069608,-0.04974084196507659,1.1814110684277064,0.7574660705088695
