Date,Log_Return,Zero_Count_22,Zero_Count_5,Zero_Fraction_5,Zero_Fraction_22
2017-06-16,0.0,21.0,5.0,1.0,0.9545454545454546
2017-06-23,0.0,22.0,5.0,1.0,1.0
2017-06-30,0.016000341346440905,21.0,4.0,0.8,0.9545454545454546
2017-07-07,0.0,21.0,5.0,1.0,0.9545454545454546
2017-07-14,0.0,21.0,5.0,1.0,0.9545454545454546
2017-07-21,0.0,21.0,5.0,1.0,0.9545454545454546
2017-07-28,0.0,21.0,5.0,1.0,0.9545454545454546
2017-08-04,0.0,22.0,5.0,1.0,1.0
2017-08-11,0.0,22.0,5.0,1.0,1.0
2017-08-18,0.01574835696813892,21.0,4.0,0.8,0.9545454545454546
2017-08-25,0.007782140442055052,20.0,4.0,0.8,0.9090909090909091
2017-09-01,0.0,20.0,5.0,1.0,0.9090909090909091
2017-09-08,0.11000089521432876,18.0,3.0,0.6,0.8181818181818182
2017-09-15,0.013793322132334751,18.0,4.0,0.8,0.8181818181818182
2017-09-22,0.0,19.0,5.0,1.0,0.8636363636363636
2017-09-29,0.0,19.0,5.0,1.0,0.8636363636363636
2017-10-13,0.040273899137940106,18.0,3.0,0.6,0.8181818181818182
2017-10-20,0.0,20.0,5.0,1.0,0.9090909090909091
2017-10-27,0.0,20.0,5.0,1.0,0.9090909090909091
2017-11-03,0.01954459607297032,19.0,4.0,0.8,0.8636363636363636
2017-11-10,0.0,20.0,5.0,1.0,0.9090909090909091
2017-11-17,0.0,21.0,5.0,1.0,0.9545454545454546
2017-11-24,0.0,21.0,5.0,1.0,0.9545454545454546
2017-12-01,0.0,21.0,5.0,1.0,0.9545454545454546
2017-12-08,0.0,22.0,5.0,1.0,1.0
2017-12-15,-0.01954459607297032,21.0,4.0,0.8,0.9545454545454546
2017-12-22,-0.013245226750020933,20.0,4.0,0.8,0.9090909090909091
2017-12-29,0.0,20.0,5.0,1.0,0.9090909090909091
2018-01-05,0.0,20.0,5.0,1.0,0.9090909090909091
2018-01-12,-0.010050335853501124,19.0,4.0,0.8,0.8636363636363636
2018-01-19,-0.013559529785633018,19.0,4.0,0.8,0.8636363636363636
2018-01-26,-0.013745920904634445,19.0,4.0,0.8,0.8636363636363636
2018-02-02,0.0,19.0,5.0,1.0,0.8636363636363636
2018-02-09,0.0,20.0,5.0,1.0,0.9090909090909091
2018-02-23,0.0,20.0,5.0,1.0,0.9090909090909091
2018-03-02,0.0,21.0,5.0,1.0,0.9545454545454546
2018-03-09,0.0,22.0,5.0,1.0,1.0
2018-03-16,0.0,22.0,5.0,1.0,1.0
2018-03-23,0.0,22.0,5.0,1.0,1.0
2018-03-30,0.0,22.0,5.0,1.0,1.0
2018-04-13,-0.014337163146405985,18.0,3.0,0.6,0.8181818181818182
2018-04-20,-0.02930612658549947,16.0,3.0,0.6,0.7272727272727273
2018-04-27,-0.007462721201589417,15.0,4.0,0.8,0.6818181818181818
2018-05-04,-0.01509462622248492,13.0,3.0,0.6,0.5909090909090909
