,Stock,Stock_EOD,Name,Product,Currency,Market Cap CNY
0,ALB,ALB,Albemarle Corporation,"Brine, Spodumene",USD,157817.4652
1,AKE.AX,AKE.AU,Allkem Limited,"Brine, Spodumene",AUD,38133.8403
2,AMLI,AMLI,American Lithium Corp.,Spodumene,USD,2304.6381
3,AMG.AS,AMG.AS,AMG Critical Materials N.V.,Spodumene,EUR,7655.457
4,LIT.V,LIT.V,Argentina Lithium & Energy Corp.,Brine,CAD,146.8628
5,ALL.L,ALL.LSE,Atlantic Lithium Limited,Spodumene,GBp,1427.3761
6,BM8.AX,BM8.AU,Battery Age Minerals Ltd,Spodumene,AUD,141.5789
7,002240.SZ,002240.SHE,"Chengxin Lithium Group Co., Ltd.",Spodumene,CNY,21127.3339
8,CTL.L,CTL.LSE,CleanTech Lithium Plc,Brine,GBp,576.7302
9,CMP,CMP,"Compass Minerals International, Inc.",Brine,USD,8712.246
10,CXO.AX,CXO.AU,Core Lithium Ltd,Spodumene,AUD,3850.0329
11,CRE.V,CRE.V,Critical Elements Lithium Corporation,Spodumene,CAD,2107.8145
12,CRR.AX,CRR.AU,Critical Resources Limited,Brine,AUD,307.8909
13,ERA.PA,ERA.PA,Eramet S.A.,Brine,EUR,15935.613
14,ESS.AX,ESS.AU,Essential Metals Limited,Spodumene,AUD,553.8613
15,GLN.AX,GLN.AU,Galan Lithium Limited,Brine,AUD,1058.2302
16,002460.SZ,002460.SHE,"Ganfeng Lithium Group Co., Ltd.",Brine,CNY,90120.3722
17,GT1.AX,GT1.AU,Green Technology Metals Limited,Spodumene,AUD,627.0506
18,ILI.V,ILI.V,Imagine Lithium Inc.,Spodumene,CAD,89.4054
19,INF.AX,INF.AU,Infinity Lithium Corporation Limited,Spodumene,AUD,197.0887
20,ILC.V,ILC.V,International Lithium Corp.,Spodumene,CAD,60.1482
21,002176.SZ,002176.SHE,"Jiangxi Special Electric Motor Co.,Ltd",Lithium Porcelain Ore,CNY,15647.0456
22,KZR.AX,KZR.AU,Kalamazoo Resources Limited,Spodumene,AUD,87.3373
23,LKE.AX,LKE.AU,Lake Resources NL,Brine,AUD,1165.4513
24,LRS.AX,LRS.AU,Latin Resources Limited,Spodumene,AUD,3939.2083
25,LAC,LAC,Lithium Americas Corp.,Brine,USD,22265.843
26,LITH.V,LITH.V,Lithium Chile Inc.,Brine,CAD,853.8113
27,LEXI.V,LEXI.V,Lithium Energi Exploration Inc.,Brine,CAD,111.1933
28,LEL.AX,LEL.AU,Lithium Energy Limited,Brine,AUD,294.1923
29,LTH.V,LTH.V,Lithium Ionic Corp.,Spodumene,CAD,1627.1971
30,LPI.AX,LPI.AU,Lithium Power International Limited,"Brine, Spodumene",AUD,677.5868
31,LIS.V,LIS.V,Lithium South Development Corporation,Brine,CAD,237.2349
32,LTHM,LTHM,Livent Corporation,Brine,USD,25857.0393
33,MIN.AX,MIN.AU,Mineral Resources Limited,Spodumene,AUD,62837.9071
34,1MC.AX,1MC.AU,Morella Corporation Limited,"Brine, Spodumene",AUD,172.4436
35,NOAL.V,NOAL.V,NOA Lithium Brines Inc.,Brine,CAD,258.5608
36,PLL.AX,PLL.AU,Piedmont Lithium Inc.,Spodumene,AUD,6156.3201
37,PLS.AX,PLS.AU,Pilbara Minerals Limited,Spodumene,AUD,61951.4665
38,PKX,PKX,POSCO Holdings Inc.,Brine,USD,223040.487
39,PWM.V,PWM.V,Power Metals Corp.,Spodumene,CAD,352.5268
40,PE.V,PE.V,Pure Energy Minerals Limited,Brine,CAD,184.6689
41,000792.SZ,000792.SHE,"QingHai Salt Lake Industry Co.,Ltd",Brine,CNY,97248.5509
42,QMC.V,QMC.V,QMC Quantum Minerals Corp,Spodumene,CAD,61.64
43,RIO,RIO,Rio Tinto Group,Brine,USD,745716.2034
44,SYA.AX,SYA.AU,Sayona Mining Limited,Spodumene,AUD,4819.2204
45,002497.SZ,002497.SHE,"Sichuan Yahua Industrial Group Co., Ltd.","Brine, Spodumene",CNY,17968.4106
46,SGML,SGML,Sigma Lithium Corporation,Spodumene,USD,29284.0306
47,002738.SZ,002738.SHE,"Sinomine Resource Group Co., Ltd.",Spodumene,CNY,27665.2216
48,SQM,SQM,Sociedad Química y Minera de Chile S.A.,Brine,USD,123905.4168
49,SLI.V,SLI.V,Standard lithium Ltd.,Brine,CAD,4017.3516
50,002466.SZ,002466.SHE,Tianqi Lithium Corporation,Spodumene,CNY,85302.526
51,ULT.V,ULT.V,Ultra Lithium Inc.,"Brine, Spodumene",CAD,65.5166
52,WML.V,WML.V,Wealth Minerals Ltd.,Brine,CAD,471.6139
53,2899.HK,2899.HK,Zijin Mining Group Company Limited,Brine,HKD,330015.7498
54,002756.SZ,002756.SHE,"Yongxing Special Materials Technology Co.,Ltd",Lithium Porcelain Ore,CNY,25812.2056
55,002192.SZ,002192.SHE,"YOUNGY Co.,Ltd.",Spodumene,CNY,13738.3465
