,Country,Organizations,Value
75,AFG,new york times company,213
55,AFG,barrick gold corp,152
56,AFG,chinese estates holdings limited,148
70,AFG,metallurgical corporation of china ltd adr,125
65,AFG,groupe gorgé sa,102
57,AFG,cnnc international limited,82
63,AFG,gase energy inc,75
39,AFG, pm&e inc,38
50,AFG, ubs ag london branch,32
13,AFG, gase energy inc,31
83,AFG,ubs ag london branch,31
85,AFG,walmart inc,24
7,AFG, central bank corporation,22
62,AFG,ganfeng lithium co ltd,20
27,AFG, metallurgical corporation of china ltd adr,16
48,AFG, tianqi lithium h yc 1,16
72,AFG,morgan stanley,16
9,AFG, cowen group inc,15
67,AFG,lithium americas corp,11
157,AGO, vulcan energy resources limited,14
142,AGO, rio tinto adr,12
88,AGO, aeon metals ltd.,10
89,AGO, alchemy resources limited,10
90,AGO, anson resources limited,10
91,AGO, arcadia minerals cdi/1:1,10
92,AGO, ardiden limited,10
93,AGO, arizona lithium limited,10
94,AGO, aruma resources ltd,10
95,AGO, auroch minerals limited,10
97,AGO, bryah resources limited,10
98,AGO, bulletin resources limited,10
101,AGO, dreadnought resources ltd,10
102,AGO, european lithium limited,10
103,AGO, ev resources ltd.,10
104,AGO, firefinch limited,10
106,AGO, galan lithium limited,10
108,AGO, golden mile resources ltd,10
109,AGO, halliburton company,10
112,AGO, impact minerals ltd,10
113,AGO, ioneer ltd,10
114,AGO, kairos minerals limited,10
115,AGO, kula gold,10
116,AGO, latin resources limited,10
117,AGO, lepidico ltd,10
119,AGO, lodestar minerals limited,10
121,AGO, magnis energy technologies limited,10
122,AGO, marquee resources ltd,10
123,AGO, metals creek resources corp,10
124,AGO, minerals technologies inc,10
125,AGO, minesto ab (publ),10
126,AGO, minrex resources ltd,10
128,AGO, morella corporation ltd.,10
129,AGO, neometals ltd adr,10
130,AGO, norwest minerals limited,10
131,AGO, nova minerals limited,10
133,AGO, piedmont lithium ltd adr,10
134,AGO, pilbara minerals limited,10
136,AGO, prospect resources ltd,10
137,AGO, qx resources ltd,10
138,AGO, ragnar metals ltd,10
139,AGO, ragusa minerals ltd,10
140,AGO, red dirt metals ltd,10
