,2016-2023,2016,2017,2018,2019,2020,2021,2022,2023
Albemarle Corporation,26023,4450,5173,4662,3082,2617,2410,1843,1786
Allkem Limited,1805,132,253,310,166,53,125,297,469
Altura Mining Limited,506,199,70,78,57,15,83,2,2
American Lithium,1772,382,179,143,80,74,202,249,463
Arena Minerals Inc.,527,137,89,23,17,5,35,137,84
Critical Elements Lithium Corporation,1975,151,161,124,83,181,502,437,336
Bacanora Lithium Ltd,296,4,0,49,27,14,196,6,0
EnerSys,5235,626,775,955,798,653,544,533,351
Eramet SA,18,1,0,1,0,0,2,3,11
European Metals Holdings Limited,2173,375,868,424,100,91,161,68,86
Galaxy Resources Limited,2142,291,472,525,367,117,173,89,108
Ganfeng Lithium Co Ltd,2020,171,260,254,244,125,361,278,327
Infinity Lithium Corporation Limited,213,0,0,19,26,17,62,58,31
International Lithium Corp.,1353,264,332,196,111,59,125,168,98
Jiangxi Special Electric Motor,26,3,11,1,6,2,0,1,2
Lithium Americas Corporation,4416,294,649,459,375,351,887,595,806
Lithium Energy Limited,51,0,0,0,0,0,1,2,48
Lithium Chile Inc.,617,0,9,197,52,115,20,151,73
Lithium Corporation,5368,174,410,545,330,342,1135,1354,1078
Lithium Ionic Corp.,179,0,0,0,0,0,0,62,117
Lithium Power International,1039,137,251,233,119,36,34,135,94
Lithium South Development Corporation,234,0,0,0,0,1,84,90,59
Lithium X Energy Corp.,867,429,260,116,24,9,8,6,15
Livent Corporation,3311,70,114,242,838,341,469,499,738
LSC Lithium Corporation,28,0,12,6,1,0,5,4,0
Mineral Resources Limited,64383,10786,10558,19705,5967,4324,4724,4811,3508
MGX Minerals Inc.,448,76,107,225,17,2,10,10,1
Piedmont Lithium Ltd,687,0,16,63,69,81,241,113,104
Pilbara Minerals,546,100,129,33,78,15,40,89,62
QMC Quantum Minerals Corp.,35,0,13,9,8,0,0,0,5
RB Energy,668,137,65,158,111,55,79,33,30
Rio Tinto,198205,55354,43004,27545,16157,14600,16833,14156,10556
Rock Tech Lithium Inc.,695,17,44,42,51,37,188,156,160
Sichuan Yahua Group,0,0,0,0,0,0,0,0,0
Sigma Lithium Resources Corporation,179,0,1,30,80,24,35,2,7
Sinomine Resource Group,526,3,6,13,20,72,11,198,203
Sociedad Quimica y Minera de Chile SA,13,0,2,4,6,0,0,1,0
Standard Lithium Ltd,1695,3,213,262,303,82,229,379,224
Tianqi Lithium Corporation,1957,141,179,549,272,173,127,204,312
Vulcan Energy Resources Limited,933,0,0,0,5,39,341,267,281
Wealth Minerals Ltd.,1370,196,212,315,375,82,60,80,50
Yongxing Special Materials Technology,16,0,0,0,0,0,1,3,12
Zadar Ventures Ltd.,177,86,40,6,7,9,1,22,6
