,num_news,tone_mean,tone_std
count,2772.0,2772.0,2772.0
mean,160.7305194805195,-0.3463814227378943,2.220295224951463
std,111.90379964332202,0.7282339046582199,0.4571374859499017
min,2.0,-6.170580869618049,0.8561685128107618
25%,72.0,-0.6953337831303491,1.9297239758672151
50%,142.0,-0.24806362325608963,2.161766380503904
75%,220.0,0.13663342767220518,2.458001408042591
max,886.0,4.576719264836675,6.367458879892775
IQR,148.0,0.8319672108025543,0.528277432175376
lower whisker,-150.0,-1.9432845993341807,1.137307827604151
upper whisker,442.0,1.3845842438760367,3.2504175563056554
