,ALB,AKE.AU,AMLI,AMG.AS,LIT.V,ALL.LSE,BM8.AU,002240.SHE,CTL.LSE,CMP,CXO.AU,CRE.V,CRR.AU,ERA.PA,ESS.AU,GLN.AU,002460.SHE,GT1.AU,ILI.V,INF.AU,ILC.V,002176.SHE,KZR.AU,LKE.AU,LRS.AU,LAC,LITH.V,LEXI.V,LEL.AU,LTH.V,LPI.AU,LIS.V,LTHM,MIN.AU,1MC.AU,NOAL.V,PLL.AU,PLS.AU,PKX,PWM.V,PE.V,000792.SHE,QMC.V,RIO,SYA.AU,002497.SHE,SGML,002738.SHE,SQM,SLI.V,002466.SHE,ULT.V,WML.V,2899.HK,002756.SHE,002192.SHE
1993,135.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,132.7273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.9516,,,,,,,
1995,133.3260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.2817,,,,,,,
1996,111.0700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.7450,,,,,,,
1997,107.9620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.5694,,,,,,,
1998,95.4920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386.2857,,,,,1619.3501,,,,,302.6598,,,,,,,
1999,93.6000,,,,,,,,,,,,,,,,,,,,,,,28.5148,,,,,,,,,,,,,,,378.7401,,,,,1619.3501,,,,,298.6894,,,,,,,
2000,93.9375,,0.0384,,,,,,,,,,,24.1721,,,,,,,,,,19.1408,,,,,,,,,,,,,,,341.5448,,,,,1619.3501,,,,,263.4401,,,,,,,
2001,88.4105,,0.0449,,,,,,,,,,,24.2752,,,,,,,,,,34.0052,,,,,,,,,,,,,,,326.2037,,,,,1619.3501,,,,,265.1102,,,,,,,
2002,83.9760,,0.0500,,,,,,,,,,,24.6473,,,,,,,,,,29.4120,,,,,,,,,,,,,,,326.7070,,,,,1085.0000,,,,,265.1102,,,,,,,
2003,85.0438,,0.0529,,,,,,,30.0299,,,,25.6169,,,,,,,,,,37.8539,,,,,,,,,,,,,,,325.7227,,,,,1376.1905,9.0247,,,,265.1102,,,,,,,
2004,93.5346,,0.0728,,,,,,,31.1407,,,,25.7878,,,,,,,,,,34.1451,,,,,,,,,,,,,,,323.6890,,,,,1543.8202,14.3957,,,,265.1107,,,,,,,
2005,96.5700,,0.0728,,,,,,,32.1216,,,,25.9350,,,,,,,,,,34.1451,,,,,,,,,,,,,,,318.0462,,,,,1619.3501,16.9455,,,,265.1102,,,,,,,
2006,97.5040,,0.0864,,,,,,,32.5790,,,,25.8187,,,,,,,,,,34.1451,,,,,,,,,,119.2795,,,,,311.5455,,,,,1324.3636,25.0546,,,,265.1102,,,,,,,
2007,93.6880,,0.1114,,,,,,,32.9925,,,,25.7547,,,,,,,,,,34.1451,,10.2440,,,,,,,,122.9634,,,,9.9620,312.3581,,,,,1619.3501,38.9825,,,,265.1102,,,,,19862.5384,,
2008,91.7970,,0.1445,,,,,,,32.4930,,,,26.0827,,,,,,,,,,31.1436,,10.2440,,,,,,,,126.2336,,,,19.7180,301.5768,,,,,1619.3501,51.5318,,,,265.0515,,,,,21903.1349,,
2009,92.1930,,0.1445,,,,,,,32.6680,39.6798,,,26.4197,,,,,,,,,,35.1615,,15.8012,,,,,,,,145.4813,,,,29.9653,306.2797,,,,,1619.3501,54.6785,,,,265.1102,,,,,19197.5711,,
