Date,LiOH 56.5%
2005-01-04,27000
2005-01-05,27000
2005-01-06,27000
2005-01-07,27000
2005-01-10,27000
2005-01-11,27000
2005-01-12,27000
2005-01-13,27000
2005-01-14,27000
2005-01-18,27000
2005-01-19,27000
2005-01-20,27000
2005-01-21,27000
2005-01-24,27000
2005-01-25,27000
2005-01-26,27000
2005-01-27,27000
2005-01-28,27000
2005-01-31,27000
2005-02-01,27000
2005-02-02,27000
2005-02-03,27000
2005-02-04,27000
2005-02-16,27000
2005-02-17,27000
2005-02-18,27000
2005-02-21,27000
2005-02-22,27000
2005-02-23,27000
2005-02-24,27000
2005-02-25,27000
2005-02-28,27000
2005-03-01,27000
2005-03-02,27000
2005-03-03,27000
2005-03-04,27000
2005-03-07,27000
2005-03-08,27000
2005-03-09,27000
2005-03-10,27000
2005-03-11,27000
2005-03-14,27000
2005-03-15,27000
2005-03-16,27000
2005-03-17,27000
2005-03-18,27000
2005-03-21,27000
2005-03-22,27000
2005-03-23,27000
2005-03-24,27000
2005-03-25,27000
2005-03-28,27000
2005-03-29,27000
2005-03-30,27000
2005-03-31,27000
2005-04-01,27000
2005-04-04,27000
2005-04-05,27000
2005-04-06,27000
2005-04-07,27000
2005-04-08,27000
2005-04-11,27000
2005-04-12,27000
2005-04-13,27000
2005-04-14,27000
2005-04-15,27000
2005-04-18,27000
2005-04-19,27000
2005-04-20,27000
2005-04-21,27000
2005-04-22,27000
2005-04-25,27000
2005-04-26,27000
2005-04-27,27000
2005-04-28,27000
2005-04-29,27000
2005-05-09,27000
2005-05-10,27000
2005-05-11,27000
2005-05-12,27000
2005-05-13,27000
2005-05-16,27000
2005-05-17,27000
2005-05-18,27000
2005-05-19,27000
2005-05-20,27000
2005-05-23,27000
2005-05-24,27005
2005-05-25,27000
2005-05-26,27000
2005-05-27,27000
2005-05-30,27000
2005-05-31,27000
2005-06-01,27000
2005-06-02,27000
2005-06-03,27000
2005-06-06,27000
2005-06-07,27000
2005-06-08,27000
2005-06-09,27000
2005-06-13,27000
2005-06-14,27000
2005-06-15,27000
2005-06-16,27000
2005-06-17,27000
2005-06-20,27000
2005-06-21,27000
2005-06-23,27000
2005-06-24,27000
2005-06-27,27000
2005-06-28,27000
2005-06-29,27000
2005-06-30,27000
2005-07-01,27000
2005-07-04,27000
2005-07-05,27000
2005-07-06,27000
2005-07-07,27000
2005-07-08,27000
2005-07-11,27000
2005-07-12,27000
2005-07-13,27000
2005-07-14,27000
2005-07-15,27000
2005-07-18,27000
2005-07-19,27000
2005-07-20,27000
2005-07-28,27000
2005-07-29,27000
2005-08-01,27000
2005-08-02,27000
2005-08-03,27000
2005-08-04,27000
2005-08-05,27000
2005-08-08,27000
2005-08-09,27000
2005-08-10,27000
2005-08-11,27000
2005-08-12,27000
