DATE1,V2Tone,FinalThemes,DATE2,Li2CO3 56.5%,Li2CO3 99%,Li2CO3 99.5%,LiOH 56.5%,Lithium Mineral 99%
2016/1/2,1.618122977,RATIFY,2016/1/4,,,,,
2016/1/3,-1.017164654,"TAX_ETHNICITY,EDUCATION,SCIENCE,LEGISLATION,DELAY,ARMEDCONFLICT",2016/1/5,,0,,0,
2016/1/4,1.251042535,"MANMADE_DISASTER_IMPLIED,ECON_STOCKMARKET,SLFID_MINERAL_RESOURCES,TAX_ETHNICITY,LEGISLATION,ENV_MINING,DELAY,GENERAL_GOVERNMENT",2016/1/6,,0,,0,
2016/1/4,1.355661882,"MANMADE_DISASTER_IMPLIED,ECON_STOCKMARKET,SLFID_MINERAL_RESOURCES,TAX_ETHNICITY,LEGISLATION,ENV_MINING,DELAY,GENERAL_GOVERNMENT",2016/1/7,,0,,0,
2016/1/5,0.970873786,ECON_STOCKMARKET,2016/1/8,,0,,0,
2016/1/6,1.187335092,"MANMADE_DISASTER_IMPLIED,SLFID_MINERAL_RESOURCES,TAX_ETHNICITY,LEGISLATION,ENV_MINING,DELAY,GENERAL_GOVERNMENT",2016/1/11,,0,,0,
2016/1/6,1.095140315,"MANMADE_DISASTER_IMPLIED,SLFID_MINERAL_RESOURCES,TAX_ETHNICITY,LEGISLATION,ENV_MINING,DELAY,GENERAL_GOVERNMENT",2016/1/12,,0.08583691,,0.096618357,
2016/1/6,1.208053691,"MANMADE_DISASTER_IMPLIED,SLFID_MINERAL_RESOURCES,TAX_ETHNICITY,LEGISLATION,ENV_MINING,DELAY,GENERAL_GOVERNMENT",2016/1/13,,0,,0,
2016/1/6,1.095890411,"MANMADE_DISASTER_IMPLIED,SLFID_MINERAL_RESOURCES,TAX_ETHNICITY,LEGISLATION,ENV_MINING,DELAY,GENERAL_GOVERNMENT",2016/1/14,,0,,0,
2016/1/6,-0.019976029,MANMADE_DISASTER_IMPLIED,2016/1/15,,0,,0,
2016/1/7,0.173010381,"ENV_MINING,ENV_OIL",2016/1/18,,0,,0,
2016/1/10,1.070663812,RATIFY,2016/1/19,,0.041152263,,0.046082949,
2016/1/12,-1.648351648,"MEDICAL,RETALIATE,DELAY,TRIAL,ECON_STOCKMARKET",2016/1/20,,0,,0,
2016/1/13,-2.203182375,"MANMADE_DISASTER_IMPLIED,SCIENCE,EDUCATION,TAX_ETHNICITY,BAN,SEIZE,NEGOTIATIONS,DELAY,TRIAL,ECON_STOCKMARKET",2016/1/21,,0,,0,
2016/1/16,4.117647059,ENV_GREEN,2016/1/22,,0,,0,
2016/1/19,-0.796812749,"ENV_GREEN,ENV_SOLAR,GENERAL_GOVERNMENT,ENV_OIL,TAX_ETHNICITY,EDUCATION",2016/1/25,,0.039525692,,0.044052863,
2016/1/19,0.829187396,RATIFY,2016/1/26,,0,,0,
2016/1/19,-0.869565217,"TAX_ETHNICITY,ENV_OIL,MANMADE_DISASTER_IMPLIED,ENV_MINING,SLFID_MINERAL_RESOURCES,PUBLIC_TRANSPORT,MILITARY,LEGISLATION,DELAY,GENERAL_GOVERNMENT,SHORTAGE",2016/1/27,,0,,0,
